Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R01.mzML
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1.54666e+07
A6NC78	GOG8I_HUMAN	GOLGA8IP	Putative golgin subfamily A member 8I	4.66485e+06
A6NC98	CC88B_HUMAN	CCDC88B	Coiled-coil domain-containing protein 88B	47540.7
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	5.07623e+06
A6NCN2	KR87P_HUMAN	KRT87P	Putative keratin-87 protein	1.79552e+07
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	8.05805e+06
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	6.05851e+06
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	3.57833e+06
A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316	201785
A6NGY5	O51F1_HUMAN	OR51F1	Olfactory receptor 51F1	7.43222e+06
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	4.86577e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	8.54674e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	1.31737e+06
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	3.42636e+06
A6ZJ46;Q20621;Q8I4I4				3.611e+06
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	1.45182e+06
A7DT40				1.32957e+06
A7DT45				9.10976e+06
A7DTF0;Q9XWW2				827024
A7DTF5;Q9U222				8.90438e+06
A7LPE6;P34517;Q7JMU1	GPDH2_CAEEL	gpdh-2		1.33785e+07
A7LPF3;Q20364				1.30265e+06
A7LPG5;Q5FC71				7.92543e+06
A7LPI4;Q93616				366745
A7LPJ5				4.10284e+06
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	1.70627e+08
A8MXV4	NUD19_HUMAN	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	1.60429e+06
A8WHR6;Q19775;Q7JLJ3	PPM1A_CAEEL	ppm-1.A		9.51125e+06
A8WI97;L8E6L7;L8E811;L8EC36;Q8I4B8;Q9U1T6				1.40261e+06
A9CZN9;Q966L2				3.37926e+06
A9D0C6				1.87656e+06
A9D2X7;Q9BKU2;X5LPX5				3.49351e+06
A9UJN7				9.99746e+06
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	7.08577e+06
B0M0L8;H2KYS1				7.53671e+06
B1Q250;H2KYQ0				242769
B1Q254;B1Q255				557591
B1V898				401081
B2D6K7;D4PH96;G5ED29	ATX2_CAEEL	atx-2		5.02154e+06
B2D6M2	LIN61_CAEEL	lin-61	Protein lin-61	482571
B2D6P1				7.67646e+06
B2FDA8	SMC3_CAEEL	smc-3	Structural maintenance of chromosomes protein 3	2.88149e+06
B2MZA9;Q10923;Q95QZ3;Q95QZ4				832881
B3CJ34				8.26435e+06
B3GWA1				3.81364e+06
B3GWC0;Q19427	NPY1_CAEEL	ndx-9		592409
B3WFT8				5.4229e+06
B3WFV9;G5EC65;G5EDF4				6.29766e+06
B3WFW9				6.4994e+06
B3WFY7;P90933				1.24784e+06
B3WFZ3;B3WFZ4				1.7021e+06
B4E3X6				1.76719e+06
B5BM23;Q21531;Q7JMF0				7.58027e+06
B5BM32;Q9XVS7	NXF1_CAEEL	nxf-1		842151
B5BM47;Q9XTY7				1.08873e+06
B5U8N2				2.69631e+06
B6VQ41;Q21020				1.87478e+06
B6VQ59;Q19346				5.22759e+06
B7FAR9;D9PTN8				1.12676e+07
B7FAS8;Q7YTU4;V6CJW5;V6CLA8	ERO1_CAEEL	ero-1		845642
B7WN66;I2HAA6;I2HAA7;Q94279				308676
B7WN92				3.34816e+06
B7WN95				2.64222e+08
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	2.10595e+06
B9WRS6;H2KYL7;H2KYL8				2.84052e+07
C0P278				2.51854e+06
C0Z1Y9				1.72654e+06
C1P622;Q09517;S6FCZ1	LE767_CAEEL	let-767		1.41688e+07
C1P629;C6KRJ2;Q18937				1.72257e+06
C1P636;Q27481				2.60973e+07
C2BR91				5.42641e+06
C2BR94;H2L0N5				7.26838e+06
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	872628
C5VUK2;Q95PZ0	CSN6_CAEEL	csn-6		2.69835e+06
C6KRG1;H2KZY6				7.51276e+06
C6KRI9;Q22847;X5M5W2;X5M900				2.96812e+06
C6KRK8;Q21890	YF64_CAEEL	R102.4		2.55907e+06
C6KRQ4;Q9XTQ6	TBH1_CAEEL	tbh-1		1.79949e+06
C7FZU3;C7FZU4;Q93791				4.4389e+06
C9IY21;C9IY22				5.2836e+06
D0IMZ5;U4PR92				3.16313e+07
D0PV95	DDX3_CAEEL	laf-1	ATP-dependent RNA helicase laf-1	1.6356e+07
D0VWL6				5.68725e+06
D0VWM8;Q20414	TADBP_CAEEL	tdp-1	Tar DNA-binding protein homolog 1	471806
D0Z5P0				258066
D1MN80;Q20184				1.01753e+06
D3NQA9;Q2YS41				2.54516e+06
D3YT36;D3YT37;Q23539				1.51617e+06
D3YT56				1.43658e+07
D4YWC3				2.60128e+06
D5MCN2	LARP1_CAEEL	larp-1	La-related protein 1	7.49844e+06
D5MCQ1;D5MCQ2;D5MCQ3;D5MCQ4;D5MCQ5;D5MCQ6;D5MCQ7;D5MCQ8;D5MCQ9;D5MCR3;D5MCR4;D5MCR5;Q21900;Q7JMB8				1.72974e+07
D7SFI3				1.18602e+07
D7SFK2				200765
D9PTP5;D9PTP6				4.49339e+06
E0AHA7;G5EG85				1.39836e+07
E0R7L2				1.51948e+06
E1B6Q7				7.30824e+06
E1B6R3;P34445	YL87_CAEEL	F54C8.7		5.02157e+06
E2JKZ0;L8E938;L8EC32;Q23542				1.59406e+06
E2JL04				1.13392e+06
E3W741;Q18878				2.43117e+06
E5QCI8;O45666	NHR49_CAEEL	nhr-49		531475
E9P883;G5ECN9;Q18772	NEC2_CAEEL	egl-3		1.2998e+06
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1.09928e+08
E9RKC7				897180
F3Y5Q2;Q9U2B0;S6FWQ3				454017
F5GU60;H2KZS0				3.15463e+06
F5GU86;F5GU87;Q19681				3.95193e+06
F5GUC7;Q19553				1.59588e+06
F5GUI0;O17883	STAL1_CAEEL	strl-1		635880
G1K0V8;P34563	IF5A1_CAEEL	iff-1		3.97275e+07
G3MTW9;P34471	PRI1_CAEEL	pri-1		175299
G3MU08;Q17424	THIO2_CAEEL	trx-2		2.70247e+06
G3MU14;Q27497	GLC7A_CAEEL	gsp-1		1.63728e+06
G3MU28;G3MU29;G3MU30;Q23318;Q7JLE3				4.84586e+06
G3MU38;Q18785	MIF2_CAEEL	mif-2		3.11484e+06
G3MU56;G3MU57;P90897	RDE12_CAEEL	rde-12		2.31926e+06
G3MU79;G3MU80;G3MU81;G3MU82;G3MU83;N1NSD8;N1NSE3;N1NTD2;N1NTD8;N1NTI7;N1NTJ2;N1NV07;N1NVB4;O45623;O45624;Q7JKC3	UBP7_CAEEL	math-33		2.90315e+06
G3MU88;O18239				1.58244e+07
G4RYA5				1.36622e+06
G4S034				1.35249e+07
G4SF15;Q95XR3				776111
G4SI07				4.49103e+07
G4SL51				1.47916e+07
G4SLD6;G4SLH0;G5EFF0	TTN1_CAEEL	ttn-1		8.30615e+06
G4SPY0;G4SPY1				7.21701e+06
G4SRS5				1.30506e+06
G5EBF3				1.6748e+08
G5EBF4				5.09647e+06
G5EBH3;G5EC35;G5EFW3				3.6376e+06
G5EBH7				4.13839e+07
G5EBI0				1.28179e+07
G5EBJ7				2.74022e+07
G5EBJ8				1.33406e+08
G5EBK3				1.91555e+07
G5EBP4;G5EEG8;G5EEP9				6.21814e+06
G5EBP5				2.31978e+07
G5EBR1;Q2V4S2				2.07136e+07
G5EBS1				408092
G5EBT3				3.77902e+06
G5EBU8;G5EFT0				1.4605e+06
G5EBV4				1.01721e+07
G5EBV6	PGL3_CAEEL	pgl-3	Guanyl-specific ribonuclease pgl-3	4.43761e+06
G5EBW5				2.1432e+06
G5EBX6				439856
G5EBY3				7.65831e+06
G5EBZ4	LE418_CAEEL	let-418	Protein let-418	424622
G5EC10				2.63758e+07
G5EC22;Q9XUD6				3.51699e+06
G5EC23				3.40831e+06
G5EC24	PTP2_CAEEL	ptp-2	Tyrosine-protein phosphatase non-receptor type ptp-2	528713
G5EC31				2.36384e+07
G5EC67				1.92269e+06
G5EC71				1.38877e+06
G5EC78;G5EFF7	UBQL_CAEEL	ubql-1		1.40721e+07
G5EC87				5.50324e+06
G5EC91				1.71476e+07
G5EC98				7.68645e+06
G5ECA7				1.35161e+07
G5ECB3;G5ECB4;G5EDB1				4.04066e+06
G5ECC1				1.69088e+06
G5ECC9				2.29777e+06
G5ECD7;G5EEB3;G5EG29;G5EGT0				461269
G5ECE7				7.80383e+06
G5ECF0;G5EDQ3;G5EFI0;G5EG71				2.19284e+06
G5ECF8				1.4215e+06
G5ECG7				8.13002e+06
G5ECI8;G5EEN1				1.78295e+06
G5ECK7;G5ED34				1.71292e+06
G5ECL3				3.4909e+06
G5ECM6				3.0233e+07
G5ECP9;G5EEC4;G5EFW2				1.94784e+07
G5ECR0				1.58196e+07
G5ECR5;P34461	SODE_CAEEL	sod-4		2.53989e+06
G5ECR7				3.49485e+06
G5ECS4				1.14527e+06
G5ECS9				6.22524e+06
G5ECT6				2.63579e+07
G5ECU1	SKR1_CAEEL	skr-1	Skp1-related protein	1.42954e+07
G5ECU3;P40614	MPCP_CAEEL	F01G4.6		7.86655e+07
G5ECV9				7.66623e+06
G5ECW7;Q9U3K7				8.22912e+06
G5ECX8;G5EDV6				6.09112e+06
G5ECX9				1.39588e+06
G5ECY0	DLG1_CAEEL	dlg-1	Disks large homolog 1	1.26559e+07
G5ECZ2;G5EDI2				2.15145e+07
G5ED01				8.46824e+06
G5ED07				8.41484e+07
G5ED17				763688
G5ED26				313050
G5ED27;G5EG33				3.56244e+06
G5ED31;G5EDD1				3.70301e+07
G5ED33;O18250;Q7YTG1				7.2218e+06
G5ED36;O62178				497937
G5ED41	CAND1_CAEEL	cand-1	Cullin-associated NEDD8-dissociated protein 1	2.65464e+07
G5ED95				1.19982e+07
G5ED97				1.36039e+07
G5EDA8;G5EGA2				2.99597e+06
G5EDB7;Q8I4E0				4.90001e+06
G5EDC6				4.3077e+06
G5EDD3;G5EFM4				3.92501e+08
G5EDD4				1.17333e+07
G5EDD8				3.86293e+06
G5EDE8				1.1645e+07
G5EDF5				1.57859e+06
G5EDJ3				1.029e+06
G5EDL9;G5EFP2				1.34411e+07
G5EDM4;G5EE55;G5EFP7;X5LQ26;X5LVA5	NHRF1_CAEEL	nrfl-1	Na(+)/H(+) exchange regulatory cofactor-like protein nrfl-1	1.68926e+07
G5EDN6;H9G2Y1	CANB_CAEEL	cnb-1	Protein phosphatase 2B regulatory subunit cnb-1	3.04958e+06
G5EDP2	NLTP2_CAEEL	daf-22	Non-specific lipid-transfer protein-like 2	1.65157e+07
G5EDQ2				4.04247e+06
G5EDQ4;G5EDV5;G5EF89;G5EGA4				3.31694e+06
G5EDR3	2AB1_CAEEL	sur-6	Serine/threonine-protein phosphatase 2A regulatory subunit sur-6	6.28823e+06
G5EDS2;K8ESK9;K8F7Z0;K8FE00				4.26356e+06
G5EDT9				1.7841e+06
G5EDV0				1.38354e+06
G5EDV3				1.58266e+07
G5EDV7				5.43394e+06
G5EDW1	ADBP1_CAEEL	adbp-1	Adr-2-binding protein 1	883895
G5EDW8				1.06479e+07
G5EDY2				6.03638e+06
G5EDY8;Q8WQC9				1.71485e+06
G5EDZ2	UMPS_CAEEL	umps-1	Uridine 5'-monophosphate synthase	5.51765e+06
G5EDZ5;O62305	KCC2D_CAEEL	unc-43		7.63741e+06
G5EDZ7				2.17933e+06
G5EDZ9	CPI1_CAEEL	cpi-1	Cystatin cpi-1	1.25869e+07
G5EE04				1.6069e+07
G5EE09;Q8I4B4;Q9U1P4				1.75586e+06
G5EE11				4.43174e+06
G5EE12				4.26179e+06
G5EE32;G5EGD0				384628
G5EE41				6.12985e+06
G5EE42				3.77364e+06
G5EE46				8.79168e+06
G5EE67				2.85227e+06
G5EE72	MRP5_CAEEL	mrp-5	Multidrug resistance-associated protein 5	1.80465e+06
G5EE74				8.04254e+06
G5EE80				3.97744e+06
G5EEA2				3.17578e+06
G5EEA8				2.99986e+07
G5EEE5				1.28378e+07
G5EEG4				1.7264e+07
G5EEG7	SMU1_CAEEL	smu-1	Smu-1 suppressor of mec-8 and unc-52 protein	882206
G5EEH6				1.54566e+07
G5EEH9	NUP98_CAEEL	npp-10	Nuclear pore complex protein Nup98-Nup96	4.24561e+06
G5EEI4	ASP1_CAEEL	asp-1	Aspartic protease 1	7.77391e+07
G5EEJ7				1.56963e+07
G5EEK2				2.12119e+06
G5EEK8				2.51356e+07
G5EEK9				8.67738e+06
G5EEL2				933294
G5EEM5	ZYG9_CAEEL	zyg-9	Zygote defective protein 9	2.24604e+06
G5EEN7				1.31466e+06
G5EEQ8				1.47466e+06
G5EER4	FCL_CAEEL	ger-1	GDP-L-fucose synthase	983699
G5EER7;G5EG67				1.09494e+06
G5EES3;G5EGR6				1.91434e+06
G5EES6;G5EFK5	UFD3_CAEEL	ufd-3	Ubiquitin fusion degradation protein 3 homolog	3.32493e+06
G5EES9				1.17785e+07
G5EET2				3.37573e+06
G5EET3				2.30949e+06
G5EET8				4.85149e+07
G5EEV5;H2KZS1				9.21406e+06
G5EEW5				2.04891e+06
G5EF01				1.98421e+06
G5EF05				2.88231e+06
G5EF32				5.42075e+07
G5EF37				8.64684e+07
G5EF39				946666
G5EF43				755984
G5EF60	STIM1_CAEEL	stim-1	Stromal interaction molecule 1	2.22478e+06
G5EF86				5.34724e+06
G5EF87;H8ESF3				9.94681e+06
G5EF97				1.66199e+06
G5EF99				1.59716e+06
G5EFB5				1.02148e+07
G5EFC1				8.50689e+06
G5EFC4				9.6399e+06
G5EFC8				1.23424e+06
G5EFD1				5.44841e+06
G5EFD4				1.30943e+06
G5EFD7				2.79566e+06
G5EFE3				1.67284e+07
G5EFF8;Q304D5				1.081e+07
G5EFF9;G5EG28				1.46202e+06
G5EFG4				2.37815e+07
G5EFH0				3.87139e+06
G5EFH8				3.27483e+06
G5EFI4				1.9621e+07
G5EFJ0;G5EGS3				1.5552e+06
G5EFJ8				301448
G5EFK4				1.23346e+07
G5EFL1				99260.9
G5EFL5				7.75301e+06
G5EFP3				487401
G5EFP4				2.54787e+06
G5EFR0				3.02948e+06
G5EFS2				3.45194e+06
G5EFS4	DCPS_CAEEL	dcs-1	m7GpppX diphosphatase	3.36934e+06
G5EFS5;Q9N5T2				4.97326e+07
G5EFV4				1.67993e+07
G5EFY6				1.49085e+06
G5EFZ1	GPMI_CAEEL	ipgm-1	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	2.41375e+07
G5EFZ5;G5EG22				2.35989e+06
G5EG13				9.17224e+06
G5EG14	CATIN_CAEEL	cacn-1	Cactin	428387
G5EG18				2.09029e+06
G5EG26				2.16965e+06
G5EG50				2.46179e+06
G5EG58				1.61411e+06
G5EG62				5.28788e+06
G5EGA5	FAT2_CAEEL	fat-2	Delta(12) fatty acid desaturase fat-2	7.0008e+06
G5EGA6	DHRS4_CAEEL	dhrs-4	Dehydrogenase/reductase SDR family member 4	1.76074e+06
G5EGA7				949412
G5EGB1				9.39567e+07
G5EGB3				849590
G5EGG0;Q2EEM5				1.31864e+06
G5EGK1				8.98607e+06
G5EGK8	PP2A_CAEEL	let-92	Serine/threonine-protein phosphatase 2A catalytic subunit	5.37604e+06
G5EGL2				1.42091e+07
G5EGN2	FAT6_CAEEL	fat-6	Delta(9)-fatty-acid desaturase fat-6	1.51054e+06
G5EGP4				6.24253e+06
G5EGP8	CATZ1_CAEEL	cpz-1	Cathepsin Z-1	2.38002e+07
G5EGS5				343340
G5EGT7				5.6434e+06
G5EGU1				5.6695e+06
G8JY31;Q21268	YMSO_CAEEL	K07C11.7		2.24004e+06
G8JY38;P05690	VIT2_CAEEL	vit-2		1.38848e+08
G8JY40;P43510;Q8MQC6	CPR6_CAEEL	cpr-6		2.10818e+07
G8JY63;Q19200	STO1_CAEEL	sto-1		506985
G8JY83;P0CG71	UBIQ1_CAEEL	ubq-1		1.73077e+07
G8JY94;Q21067	IFC2_CAEEL	ifc-2		9.61478e+07
G8JYG1;Q9U757	NXT1_CAEEL	nxt-1		7.95811e+06
G8XYY4;O01839	VPS51_CAEEL	vps-51		9.5792e+07
H1ZUV6;O01824	PDXK_CAEEL	pdxk-1		1.42223e+06
H2FLJ1				8.20275e+06
H2FLK8				4.72456e+07
H2FLK9				1.76734e+06
H2KMJ3				3.02182e+06
H2KMK6				2.04708e+06
H2KYB8;H2KYB9				304062
H2KYC4;H2KYC6				8.53293e+06
H2KYC9;Q8MQF7;V6CLC8				4.8727e+06
H2KYD7;Q7YZW5	VEM1_CAEEL	vem-1		3.11252e+06
H2KYE0;Q9UAN9	NRA4_CAEEL	nra-4	Nicotinic receptor-associated protein 4	1.11447e+07
H2KYH5;Q95QX5				3.56532e+06
H2KYI5;Q86NI2				7.89411e+06
H2KYJ2				7.39781e+06
H2KYJ5				9.93043e+06
H2KYM1				2.99819e+06
H2KYN3				745482
H2KYN5;O16466	ATG18_CAEEL	atg-18		1.04774e+06
H2KYN6				409005
H2KYP1;Q8I7L5				2.04793e+06
H2KYP2;H2KYP4				1.38759e+06
H2KYQ2;H2KYQ3;Q17921				2.25053e+06
H2KYQ5	GYG1_CAEEL	gyg-1	Glycogenin-1	1.64041e+07
H2KYR1				6.57698e+07
H2KYS8;Q7JPE2	CPNA1_CAEEL	cpna-1	Copine family protein 1	1.62929e+06
H2KYU6;Q95QZ7	NPL41_CAEEL	npl-4.1	Nuclear protein localization protein 4 homolog 1	4.49172e+06
H2KYV1				1.55646e+07
H2KYV3;Q18076				1.17375e+07
H2KYV8;Q8MNV5				1.19667e+06
H2KYV9;Q86NJ8				1.22174e+06
H2KYX9;H2KYY0;U4PRA9				4.16124e+06
H2KYY4;Q95QA6	PAT12_CAEEL	pat-12		1.9304e+07
H2KZ18;H2KZ19				4.09932e+06
H2KZ37				1.22112e+06
H2KZ48				2.2754e+06
H2KZ73;H8W3Y1;Q8T3B7				6.01583e+06
H2KZA2;Q95Q55				2.95389e+06
H2KZA5;Q8ITY8				4.07353e+06
H2KZD5;Q27GU1				4.0824e+06
H2KZG6				1.62712e+08
H2KZJ5				9.14396e+06
H2KZJ7				1.5932e+06
H2KZK7;Q965K3				1.02806e+07
H2KZL7;Q8IG31				1.23212e+08
H2KZR3;O76566				2.73092e+06
H2KZS4				6.5275e+06
H2KZV5				1.97597e+07
H2KZV8;L8E6X8;Q9GP94;Q9GP96				3.20873e+07
H2KZX4;Q7JP80				3.87986e+06
H2L003;Q3Y409				355394
H2L034				6.71813e+06
H2L048;Q8MQ42				8.70006e+06
H2L056;Q6A589	UBXN3_CAEEL	ubxn-3	UBX domain-containing protein 3	2.37162e+06
H2L099;H2L0A0;Q6ABW4	GCK1_CAEEL	gck-1	Germinal center kinase 1	1.41292e+06
H2L0A8				559184
H2L0C0				3.21172e+06
H2L0D5;Q21164				3.5691e+06
H2L0G6;Q9BKQ5				330965
H2L0G7;Q9BKS2				3.96027e+06
H2L0I2				2.04468e+07
H2L0I7;U4PBY2				646026
H2L0K4;Q8WTM0				206396
H2L0M0;Q9GZI3				4.97175e+06
H2L0N0;H2L0N1;O01619;Q95ZK4				2.34198e+06
H2L0N9				1.4929e+07
H2L0Q1;Q6EZG8				1.15521e+07
H2L0Q6;Q9N3F8				2.1772e+06
H2L2A8;Q19583;Q9U3I7				597772
H2L2E8;O18688				3.44371e+07
H2L2J5;H2L2J6;O02238				2.36218e+06
H9G2T4;Q21032				1.10206e+08
H9G2V4;Q20471	KIN20_CAEEL	kin-20		710835
H9G340;H9G341;Q9XTW9				3.92701e+06
I2HA82;Q22267	PLC2_CAEEL	acl-2		1.24241e+06
I2HA91				1.68295e+06
I2HA98;P90925	PH4H_CAEEL	pah-1		3.61663e+06
I2HAF6;Q9U1S2				1.12523e+07
I2HAG1;Q09581	LEC3_CAEEL	lec-3		7.17549e+07
I2HAJ8;Q20881				2.18203e+06
I2HAL2;Q94051	CAV1_CAEEL	cav-1		2.61702e+06
K8ERV5				7.74791e+06
K8ES47;Q9NF23				1.57418e+06
K8ESC3				2.0645e+06
K8ESC5;Q9NA30	ATG41_CAEEL	atg-4.1	Cysteine protease atg-4.1	1.39561e+06
K8ESE2;O45391				1.19839e+07
K8ESM2				5.40863e+06
K8FDY0;Q93636				8.8657e+06
K8FE02;Q21605				8.03199e+06
L8E817				2.76982e+06
L8E951;P34416	LASP1_CAEEL	F42H10.3		2.49659e+06
M1Z854;Q19286	IFB2_CAEEL	ifb-2		1.2916e+08
M1Z882				851226
N1NTN5;Q17971				3.33697e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	8.84076e+06
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	1.806e+07
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	1.19807e+07
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	2.9393e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	1.12684e+07
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	1.28463e+07
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	9.26819e+06
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	4.77045e+06
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	2.17461e+06
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	1.49687e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	7.95183e+06
O00180	KCNK1_HUMAN	KCNK1	Potassium channel subfamily K member 1	1.85561e+06
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	1.15047e+07
O00193	SMAP_HUMAN	SMAP	Small acidic protein	8.0085e+07
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	1.14301e+06
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	6.72296e+06
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	3.61075e+07
O00220	TR10A_HUMAN	TNFRSF10A	Tumor necrosis factor receptor superfamily member 10A	839001
