Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R02.mzML
A2A2Z9;Q8IVF6	AN18A_HUMAN;AN18B_HUMAN	ANKRD18A;ANKRD18B	Ankyrin repeat domain-containing protein 18B	3.79002e+07
A2RRD8	ZN320_HUMAN	ZNF320	Zinc finger protein 320	1.52275e+07
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	1.38312e+06
A2RTX5	SYTC2_HUMAN	TARS3	Threonine--tRNA ligase 2, cytoplasmic	1.10886e+07
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	5.94268e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	4.85183e+06
A3QMB7				1.4782e+07
A3QMC2;G5EFT4	AMP1_CAEEL	ltah-1.1		1.53425e+06
A3QMC5				1.1371e+08
A3QMC8	GMPPB_CAEEL	tag-335	Mannose-1-phosphate guanyltransferase beta	1.13208e+06
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	1.42867e+06
A4UGR9	XIRP2_HUMAN	XIRP2	Xin actin-binding repeat-containing protein 2	2.7576e+06
A5A3E0	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F	2.72979e+06
A5A8Q9;B1V8A0;O61843	SH3GH_CAEEL	unc-57		6.16536e+06
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	442643
A5HU98;P91425				3.64247e+06
A5HWA4;Q9XW51				146814
A5JYR4;Q8I4G9;Q8I4H0;Q9U3A6				1.20988e+06
A5JYX3;I7J4D2;I7K4K5;I7LFF2;P90947	HMP1_CAEEL	hmp-1		603536
A5JYX4				2.30398e+06
A5JYX8;O18033	NCLN_CAEEL	nra-2	Nicalin	2.16269e+06
A5PEX6;G2HK02;G2HK03;K8ESL3;Q9U207				1.09749e+06
A5PLL7	TM189_HUMAN	TMEM189	Plasmanylethanolamine desaturase	1.93728e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	4.81219e+07
A5Z2W3;H9G321				7.82225e+06
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	3.01071e+07
A6NC78	GOG8I_HUMAN	GOLGA8IP	Putative golgin subfamily A member 8I	4.81679e+06
A6NC98	CC88B_HUMAN	CCDC88B	Coiled-coil domain-containing protein 88B	75572.1
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	4.57291e+06
A6NCN2	KR87P_HUMAN	KRT87P	Putative keratin-87 protein	1.74631e+07
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	9.43667e+06
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	7.81348e+06
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	3.04328e+06
A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316	310520
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	5.29776e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	3.34239e+07
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	1.32318e+06
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	2.30185e+06
A6NKT7	RGPD3_HUMAN	RGPD3	RanBP2-like and GRIP domain-containing protein 3	6.20758e+06
A6ZJ46;Q20621;Q8I4I4				2.37805e+06
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	1.86468e+06
A7DT40				980199
A7DT45				4.88709e+06
A7DTF0;Q9XWW2				1.28242e+06
A7DTF5;Q9U222				2.81291e+06
A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	90798.7
A7LPE6;P34517;Q7JMU1	GPDH2_CAEEL	gpdh-2		3.53766e+07
A7LPF3;Q20364				1.65097e+06
A7LPG5;Q5FC71				6.43124e+06
A8MT69	CENPX_HUMAN	CENPX	Centromere protein X	642484
A8MT70	ZBBX_HUMAN	ZBBX	Zinc finger B-box domain-containing protein 1	6.31946e+06
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	1.19216e+08
A8MXV4	NUD19_HUMAN	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	1.49891e+06
A8WHR6;Q19775;Q7JLJ3	PPM1A_CAEEL	ppm-1.A		5.58841e+06
A9CZN9;Q966L2				1.89889e+06
A9D0C6				706818
A9D2X7;Q9BKU2;X5LPX5				2.47142e+06
A9UJN7				5.62966e+06
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	6.03451e+06
B0M0L8;H2KYS1				3.21851e+06
B1Q254;B1Q255				416063
B2D6K7;D4PH96;G5ED29	ATX2_CAEEL	atx-2		3.31378e+06
B2D6P1				3.88639e+06
B2FDA8	SMC3_CAEEL	smc-3	Structural maintenance of chromosomes protein 3	3.45421e+06
B3CJ34				1.05501e+07
B3GWA1				2.37576e+06
B3WFT8				3.81662e+06
B3WFV9;G5EC65;G5EDF4				3.12204e+06
B3WFW9				4.65023e+06
B3WFZ3;B3WFZ4				1.87008e+06
B4E3X6				3.88806e+06
B5BM23;Q21531;Q7JMF0				6.83352e+06
B5BM32;Q9XVS7	NXF1_CAEEL	nxf-1		844715
B5U8N2				802731
B6VQ59;Q19346				2.14806e+06
B7FAR9;D9PTN8				8.45862e+06
B7WN95				1.97844e+08
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	1.93378e+06
B9WRS6;H2KYL7;H2KYL8				1.83389e+07
C0Z1Y9				757400
C1P622;Q09517;S6FCZ1	LE767_CAEEL	let-767		8.74941e+06
C1P629;C6KRJ2;Q18937				3.33706e+06
C1P636;Q27481				8.71844e+06
C2BR91				5.85354e+06
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	1.72416e+06
C5VUK2;Q95PZ0	CSN6_CAEEL	csn-6		1.48832e+06
C6KRG1;H2KZY6				3.67189e+06
C6KRK8;Q21890	YF64_CAEEL	R102.4		612077
C6KRN4;Q5FC39				1.64819e+06
C6KRQ4;Q9XTQ6	TBH1_CAEEL	tbh-1		758143
C7FZU3;C7FZU4;Q93791				2.54715e+06
C9IY21;C9IY22				4.87465e+06
D0IMZ5;U4PR92				1.74469e+07
D0PV95	DDX3_CAEEL	laf-1	ATP-dependent RNA helicase laf-1	1.10834e+07
D0VWL6				3.86291e+06
D1MN80;Q20184				670134
D3NQA9;Q2YS41				2.16142e+06
D3YT36;D3YT37;Q23539				6.1456e+06
D3YT56				9.27552e+06
D5MCN2	LARP1_CAEEL	larp-1	La-related protein 1	8.60448e+06
D5MCQ1;D5MCQ2;D5MCQ3;D5MCQ4;D5MCQ5;D5MCQ6;D5MCQ7;D5MCQ8;D5MCQ9;D5MCR3;D5MCR4;D5MCR5;Q21900;Q7JMB8				1.1534e+07
D7SFI3				6.72802e+06
D9PTP5;D9PTP6				2.24326e+06
E0AHA7;G5EG85				7.61432e+06
E0R7L2				1.00019e+06
E1B6Q7				7.83688e+06
E1B6R3;P34445	YL87_CAEEL	F54C8.7		1.52184e+06
E2JKZ0;L8E938;L8EC32;Q23542				2.57684e+06
E2JL04				637385
E3W741;Q18878				2.164e+06
E9P883;G5ECN9;Q18772	NEC2_CAEEL	egl-3		1.26321e+06
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	9.39575e+07
E9RKC7				870625
F5GU60;H2KZS0				3.10242e+06
F5GU86;F5GU87;Q19681				3.16756e+06
F5GUI0;O17883	STAL1_CAEEL	strl-1		489861
G1K0V8;P34563	IF5A1_CAEEL	iff-1		2.62368e+07
G3MU08;Q17424	THIO2_CAEEL	trx-2		2.5312e+06
G3MU14;Q27497	GLC7A_CAEEL	gsp-1		1.48958e+06
G3MU28;G3MU29;G3MU30;Q23318;Q7JLE3				504702
G3MU56;G3MU57;P90897	RDE12_CAEEL	rde-12		1.16498e+06
G3MU79;G3MU80;G3MU81;G3MU82;G3MU83;N1NSD8;N1NSE3;N1NTD2;N1NTD8;N1NTI7;N1NTJ2;N1NV07;N1NVB4;O45623;O45624;Q7JKC3	UBP7_CAEEL	math-33		1.63605e+06
G3MU88;O18239				9.81629e+06
G4RYA5				357821
G4S034				9.85718e+06
G4SI07				2.02114e+07
G4SL51				1.024e+07
G4SLD6;G4SLH0;G5EFF0	TTN1_CAEEL	ttn-1		9.22546e+06
G4SPY0;G4SPY1				1.7332e+07
G5EBF3				1.11866e+08
G5EBH3;G5EC35;G5EFW3				3.01319e+06
G5EBH7				2.3087e+07
G5EBI0				1.16495e+07
G5EBJ7				2.0184e+07
G5EBJ8				1.19298e+08
G5EBK3				1.29069e+07
G5EBP4;G5EEG8;G5EEP9				8.63072e+06
G5EBP5				1.74323e+07
G5EBR1;Q2V4S2				1.25233e+07
G5EBT3				2.4439e+06
G5EBU8;G5EFT0				233002
G5EBV6	PGL3_CAEEL	pgl-3	Guanyl-specific ribonuclease pgl-3	1.80606e+06
G5EBW5				1.41434e+06
G5EBY3				5.18464e+06
G5EC10				2.22574e+07
G5EC22;Q9XUD6				2.55175e+06
G5EC23				1.10092e+06
G5EC24	PTP2_CAEEL	ptp-2	Tyrosine-protein phosphatase non-receptor type ptp-2	1.18016e+06
G5EC31				1.95604e+07
G5EC67				1.16694e+06
G5EC71				570072
G5EC78;G5EFF7	UBQL_CAEEL	ubql-1		1.01152e+07
G5EC87				2.13036e+06
G5EC91				1.29803e+07
G5EC98				4.12335e+06
G5ECA7				9.71289e+06
G5ECB3;G5ECB4;G5EDB1				3.9309e+06
G5ECC1				1.23787e+06
G5ECC9				2.14627e+06
G5ECE7				6.01724e+06
G5ECF0;G5EDQ3;G5EFI0;G5EG71				2.62362e+06
G5ECF4;G5EGL7				5.15016e+06
G5ECF8				1.1193e+06
G5ECG7				3.21832e+06
G5ECK7;G5ED34				702819
G5ECL3				1.58888e+06
G5ECM6				2.09762e+07
G5ECP9;G5EEC4;G5EFW2				1.65693e+07
G5ECR0				1.00008e+07
G5ECR5;P34461	SODE_CAEEL	sod-4		1.56869e+06
G5ECR7				4.65112e+06
G5ECS4				1.42624e+06
G5ECS9				4.88149e+06
G5ECT6				1.99605e+07
G5ECU1	SKR1_CAEEL	skr-1	Skp1-related protein	9.48096e+06
G5ECU3;P40614	MPCP_CAEEL	F01G4.6		5.30821e+07
G5ECV9				6.83518e+06
G5ECW7;Q9U3K7				6.18294e+06
G5ECX8;G5EDV6				3.54991e+06
G5ECX9				1.03748e+06
G5ECY0	DLG1_CAEEL	dlg-1	Disks large homolog 1	6.69699e+06
G5ECZ2;G5EDI2				1.44314e+07
G5ED01				4.65848e+06
G5ED07				6.56856e+07
G5ED27;G5EG33				2.94778e+06
G5ED31;G5EDD1				2.60657e+07
G5ED33;O18250;Q7YTG1				4.68383e+06
G5ED36;O62178				278984
G5ED41	CAND1_CAEEL	cand-1	Cullin-associated NEDD8-dissociated protein 1	4.50746e+06
G5ED95				4.31611e+06
G5ED97				1.56117e+07
G5EDB7;Q8I4E0				3.70231e+06
G5EDC6				2.6519e+06
G5EDD3;G5EFM4				2.93535e+08
G5EDD4				5.61396e+06
G5EDD8				2.30093e+06
G5EDE8				3.10442e+06
G5EDF5				1.03904e+06
G5EDJ3				1.33027e+06
G5EDL3				111918
G5EDL9;G5EFP2				8.80296e+06
G5EDM4;G5EE55;G5EFP7;X5LQ26;X5LVA5	NHRF1_CAEEL	nrfl-1	Na(+)/H(+) exchange regulatory cofactor-like protein nrfl-1	1.2897e+07
G5EDN6;H9G2Y1	CANB_CAEEL	cnb-1	Protein phosphatase 2B regulatory subunit cnb-1	1.55699e+06
G5EDP2	NLTP2_CAEEL	daf-22	Non-specific lipid-transfer protein-like 2	1.26471e+07
G5EDP6				644376
G5EDQ2				1.97714e+06
G5EDR3	2AB1_CAEEL	sur-6	Serine/threonine-protein phosphatase 2A regulatory subunit sur-6	4.18596e+06
G5EDS2;K8ESK9;K8F7Z0;K8FE00				2.91955e+06
G5EDT4;G5EEP7				1.66797e+06
G5EDT9				2.04279e+06
G5EDV3				1.26747e+07
G5EDV7				2.15528e+06
G5EDW8				1.05922e+07
G5EDX9				1.3944e+07
G5EDY2				5.30262e+06
G5EDY8;Q8WQC9				1.55256e+06
G5EDZ2	UMPS_CAEEL	umps-1	Uridine 5'-monophosphate synthase	3.71035e+06
G5EDZ5;O62305	KCC2D_CAEEL	unc-43		6.66564e+06
G5EDZ7				1.74704e+06
G5EDZ9	CPI1_CAEEL	cpi-1	Cystatin cpi-1	6.63786e+06
G5EE04				8.86793e+06
G5EE09;Q8I4B4;Q9U1P4				1.07697e+06
G5EE11				2.53326e+06
G5EE12				2.18808e+06
G5EE41				5.16773e+06
G5EE42				2.05773e+06
G5EE46				6.47709e+06
G5EE67				2.31752e+06
G5EE72	MRP5_CAEEL	mrp-5	Multidrug resistance-associated protein 5	211398
G5EE74				4.20048e+06
G5EE80				3.01091e+06
G5EEA2				4.05806e+06
G5EEA8				2.12992e+07
G5EEE5				1.09087e+07
G5EEG4				1.20536e+07
G5EEG7	SMU1_CAEEL	smu-1	Smu-1 suppressor of mec-8 and unc-52 protein	570519
G5EEH6				7.90998e+06
G5EEH9	NUP98_CAEEL	npp-10	Nuclear pore complex protein Nup98-Nup96	2.73155e+06
G5EEI4	ASP1_CAEEL	asp-1	Aspartic protease 1	5.73847e+07
G5EEJ7				1.1023e+07
G5EEK2				1.70814e+06
G5EEK8				1.68853e+07
G5EEK9				7.4881e+06
G5EEM5	ZYG9_CAEEL	zyg-9	Zygote defective protein 9	1.32146e+06
G5EEM6	TAB1_CAEEL	tap-1	TGF-beta-activated kinase 1 and MAP3K7-binding protein 1	2.94215e+06
G5EEN7				710746
G5EEQ8				1.37546e+06
G5EER7;G5EG67				755965
G5EES3;G5EGR6				2.73268e+06
G5EES6;G5EFK5	UFD3_CAEEL	ufd-3	Ubiquitin fusion degradation protein 3 homolog	2.51382e+06
G5EES9				6.35796e+06
G5EET2				2.29689e+06
G5EET3				1.64689e+06
G5EET8				3.86417e+07
G5EEV5;H2KZS1				8.95567e+06
G5EEZ4				1.27297e+06
G5EF01				1.84952e+06
G5EF05				1.81268e+06
G5EF32				4.74729e+07
G5EF37				6.48251e+07
G5EF39				376266
G5EF60	STIM1_CAEEL	stim-1	Stromal interaction molecule 1	1.37029e+06
G5EF77				1.77295e+07
G5EF84	GIP2_CAEEL	gip-2	Gamma-tubulin interacting protein 2	123573
G5EF86				6.74292e+06
G5EF87;H8ESF3				6.95655e+06
G5EF99				1.93291e+06
G5EFB5				6.3377e+06
G5EFC1				5.26253e+06
G5EFC4				2.8969e+06
G5EFC8				956814
G5EFD1				396403
G5EFE3				1.07128e+07
G5EFF8;Q304D5				5.36241e+06
G5EFG4				1.16397e+07
G5EFH0				2.61277e+06
G5EFH8				3.52328e+06
G5EFI4				1.73912e+07
G5EFJ0;G5EGS3				795076
G5EFK4				9.04635e+06
G5EFL5				5.95823e+06
G5EFP4				2.10727e+06
G5EFS2				2.49486e+06
G5EFS4	DCPS_CAEEL	dcs-1	m7GpppX diphosphatase	2.44531e+06
G5EFS5;Q9N5T2				2.7807e+07
G5EFV4				1.62716e+07
G5EFY6				729208
G5EFZ1	GPMI_CAEEL	ipgm-1	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	1.65544e+07
G5EFZ5;G5EG22				2.11158e+06
G5EG13				6.2383e+06
G5EG18				1.67985e+06
G5EG50				1.696e+06
G5EG58				1.00438e+06
G5EG62				3.03127e+06
G5EGA5	FAT2_CAEEL	fat-2	Delta(12) fatty acid desaturase fat-2	6.94126e+06
G5EGA6	DHRS4_CAEEL	dhrs-4	Dehydrogenase/reductase SDR family member 4	1.65636e+06
G5EGB1				6.58288e+07
G5EGB3				669508
G5EGG0;Q2EEM5				1.25905e+06
G5EGK1				7.03903e+06
G5EGK8	PP2A_CAEEL	let-92	Serine/threonine-protein phosphatase 2A catalytic subunit	4.31016e+06
G5EGL2				1.13679e+07
G5EGN2	FAT6_CAEEL	fat-6	Delta(9)-fatty-acid desaturase fat-6	808205
G5EGP4				5.42974e+06
G5EGP8	CATZ1_CAEEL	cpz-1	Cathepsin Z-1	1.43355e+07
G5EGS9				206011
G5EGT7				3.08418e+06
G5EGU1				4.51674e+06
G8JY31;Q21268	YMSO_CAEEL	K07C11.7		1.63536e+06
G8JY38;P05690	VIT2_CAEEL	vit-2		9.03015e+07
G8JY40;P43510;Q8MQC6	CPR6_CAEEL	cpr-6		1.7049e+07
G8JY63;Q19200	STO1_CAEEL	sto-1		249352
G8JY83;P0CG71	UBIQ1_CAEEL	ubq-1		1.49866e+07
G8JY94;Q21067	IFC2_CAEEL	ifc-2		6.03242e+07
G8JYA5				394914
G8JYE4;P91406	GCP2_CAEEL	gcp-2.1		1.66607e+06
G8JYG1;Q9U757	NXT1_CAEEL	nxt-1		5.19367e+06
G8XYY4;O01839	VPS51_CAEEL	vps-51		6.44439e+07
H1ZUV6;O01824	PDXK_CAEEL	pdxk-1		1.69083e+06
H2FLJ1				6.82763e+06
H2FLK8				2.39214e+07
H2FLK9				1.4755e+06
H2KMJ3				2.86103e+06
H2KMK6				1.23289e+06
H2KYC4;H2KYC6				7.86039e+06
H2KYC9;Q8MQF7;V6CLC8				2.67034e+06
H2KYD7;Q7YZW5	VEM1_CAEEL	vem-1		2.58649e+06
H2KYE0;Q9UAN9	NRA4_CAEEL	nra-4	Nicotinic receptor-associated protein 4	3.5904e+07
H2KYH5;Q95QX5				2.99626e+06
H2KYI5;Q86NI2				3.80116e+06
H2KYJ2				4.78614e+06
H2KYJ5				7.30446e+06
H2KYM1				2.56257e+06
H2KYN6				259355
H2KYP1;Q8I7L5				1.2784e+06
H2KYQ2;H2KYQ3;Q17921				1.25709e+06
H2KYQ5	GYG1_CAEEL	gyg-1	Glycogenin-1	8.21297e+06
H2KYR1				4.3419e+07
H2KYS8;Q7JPE2	CPNA1_CAEEL	cpna-1	Copine family protein 1	1.51111e+06
H2KYU6;Q95QZ7	NPL41_CAEEL	npl-4.1	Nuclear protein localization protein 4 homolog 1	3.55495e+06
H2KYV1				1.05456e+07
H2KYV3;Q18076				8.08324e+06
H2KYV8;Q8MNV5				554075
H2KYX9;H2KYY0;U4PRA9				1.62162e+06
H2KYY4;Q95QA6	PAT12_CAEEL	pat-12		1.25854e+07
H2KZ18;H2KZ19				3.60054e+06
H2KZ48				1.86615e+06
H2KZ73;H8W3Y1;Q8T3B7				4.06974e+06
H2KZA5;Q8ITY8				6.77711e+06
H2KZA6;Q8ITY9				1.90442e+06
H2KZD5;Q27GU1				1.44553e+07
H2KZG6				1.38094e+08
H2KZJ5				8.40425e+06
H2KZK7;Q965K3				2.18867e+06
H2KZL7;Q8IG31				7.92245e+07
H2KZL8;Q09315	5NT3_CAEEL	F25B5.3		885571
H2KZR3;O76566				2.09646e+06
H2KZS4				4.63317e+06
H2KZV5				8.70568e+06
H2KZV8;L8E6X8;Q9GP94;Q9GP96				1.65575e+07
H2L034				5.44385e+06
H2L045;H2L046	TENSH_CAEEL	tns-1	Tensin homolog	920931
H2L048;Q8MQ42				4.26994e+06
H2L056;Q6A589	UBXN3_CAEEL	ubxn-3	UBX domain-containing protein 3	1.00391e+06
H2L0C0				1.99753e+06
H2L0D5;Q21164				2.26987e+06
H2L0G7;Q9BKS2				2.42675e+06
H2L0I2				1.22189e+07
H2L0M0;Q9GZI3				4.06384e+06
H2L0N9				1.62619e+07
H2L0Q1;Q6EZG8				8.29027e+06
H2L0Q6;Q9N3F8				2.07325e+06
H2L2E8;O18688				1.75882e+07
H2L2J5;H2L2J6;O02238				2.26761e+06
H7BZ55	CRCC2_HUMAN	CROCC2	Putative ciliary rootlet coiled-coil protein 2	5.11808e+06
H9G2T4;Q21032				8.80762e+07
H9G2V4;Q20471	KIN20_CAEEL	kin-20		592658
H9G340;H9G341;Q9XTW9				2.61991e+06
I2HA82;Q22267	PLC2_CAEEL	acl-2		777882
I2HA91				793320
I2HA98;P90925	PH4H_CAEEL	pah-1		4.35043e+06
I2HAF6;Q9U1S2				7.36648e+06
I2HAG1;Q09581	LEC3_CAEEL	lec-3		3.47449e+07
I2HAJ8;Q20881				1.50375e+06
I2HAL2;Q94051	CAV1_CAEEL	cav-1		1.48805e+06
K8ERV5				5.06546e+06
K8ES47;Q9NF23				1.08041e+06
K8ESC3				1.79674e+06
K8ESC5;Q9NA30	ATG41_CAEEL	atg-4.1	Cysteine protease atg-4.1	921145
K8ESE2;O45391				9.85135e+06
K8ESM2				3.14928e+06
K8F7X5;Q9NA35				69577.1
K8FDY0;Q93636				6.53466e+06
K8FE02;Q21605				6.60987e+06
L8E817				2.21832e+06
M1Z854;Q19286	IFB2_CAEEL	ifb-2		7.56935e+07
N1NTN5;Q17971				2.4868e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	7.57221e+06
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	1.7791e+07
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	8.26239e+06
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	2.03563e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	7.77595e+06
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	1.00361e+07
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	1.82933e+07
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	5.89405e+06
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	1.40758e+06
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	3.52791e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	6.41335e+06
O00180	KCNK1_HUMAN	KCNK1	Potassium channel subfamily K member 1	1.34492e+06
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	7.65751e+06
O00193	SMAP_HUMAN	SMAP	Small acidic protein	5.4108e+07
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	1.48207e+06
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	7.58021e+06
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	2.8139e+07
O00220	TR10A_HUMAN	TNFRSF10A	Tumor necrosis factor receptor superfamily member 10A	708908
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	2.01752e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	1.64687e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	1.01015e+07
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	1.1915e+07
O00255	MEN1_HUMAN	MEN1	Menin	1.10554e+06
O00257	CBX4_HUMAN	CBX4	E3 SUMO-protein ligase CBX4	551568
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	3.50665e+07
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	1.36838e+07
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	678070
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	8.75973e+06
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	4.62148e+06
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	1.15575e+08
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	1.91592e+07
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	8.20122e+06
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	3.76134e+06
O00400	ACATN_HUMAN	SLC33A1	Acetyl-coenzyme A transporter 1	1.49774e+06
O00401	WASL_HUMAN	WASL	Neural Wiskott-Aldrich syndrome protein	705344
O00410	IPO5_HUMAN	IPO5	Importin-5	2.84096e+07
O00418	EF2K_HUMAN	EEF2K	Eukaryotic elongation factor 2 kinase	6.56408e+06
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	8.94391e+07
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	3.58371e+07
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	1.39235e+07
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	1.30388e+07
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	1.68068e+06
O00458	IFRD1_HUMAN	IFRD1	Interferon-related developmental regulator 1	1.74303e+06
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	757080
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	2.5394e+06
O00468	AGRIN_HUMAN	AGRN	Agrin	194306
