Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R02.mzML
F5GU86;F5GU87;Q19681				2.18987e+06
F5GUC7;Q19553				1.47967e+06
F5GUI0;O17883	STAL1_CAEEL	strl-1		334561
G1K0V8;P34563	IF5A1_CAEEL	iff-1		3.47902e+07
G3MU08;Q17424	THIO2_CAEEL	trx-2		3.22549e+06
G3MU14;Q27497	GLC7A_CAEEL	gsp-1		1.85563e+06
G3MU28;G3MU29;G3MU30;Q23318;Q7JLE3				465552
G3MU38;Q18785	MIF2_CAEEL	mif-2		2.15722e+06
G3MU56;G3MU57;P90897	RDE12_CAEEL	rde-12		1.94611e+06
G3MU79;G3MU80;G3MU81;G3MU82;G3MU83;N1NSD8;N1NSE3;N1NTD2;N1NTD8;N1NTI7;N1NTJ2;N1NV07;N1NVB4;O45623;O45624;Q7JKC3	UBP7_CAEEL	math-33		1.60325e+06
G3MU88;O18239				1.25004e+07
G4RYA5				1.24936e+06
G4S034				1.23419e+07
G4SF15;Q95XR3				1.33238e+06
G4SGU1;G5EEM9;G8JYA8;Q8WQE0				1.08774e+06
G4SI07				3.29222e+07
G4SL51				1.18415e+07
G4SLD6;G4SLH0;G5EFF0	TTN1_CAEEL	ttn-1		7.31509e+06
G4SPY0;G4SPY1				4.86888e+06
G4SRS5				1.49728e+06
G5EBF3				1.2755e+08
G5EBF4				5.37077e+06
G5EBH3;G5EC35;G5EFW3				1.24132e+06
G5EBH7				3.73465e+07
G5EBI0				1.29561e+07
G5EBJ7				2.23611e+07
G5EBJ8				1.50853e+08
G5EBK3				1.60548e+07
G5EBP4;G5EEG8;G5EEP9				5.38011e+06
G5EBP5				2.25998e+07
G5EBR1;Q2V4S2				1.40595e+07
G5EBT3				3.04874e+06
G5EBU8;G5EFT0				164156
G5EBV4				6.83649e+06
G5EBV6	PGL3_CAEEL	pgl-3	Guanyl-specific ribonuclease pgl-3	4.19164e+06
G5EBW5				1.16276e+06
G5EBY3				8.41664e+06
G5EC05				390133
G5EC10				2.59398e+07
G5EC22;Q9XUD6				3.0235e+06
G5EC23				2.09387e+06
G5EC24	PTP2_CAEEL	ptp-2	Tyrosine-protein phosphatase non-receptor type ptp-2	600405
G5EC31				1.3408e+07
G5EC67				2.21281e+06
G5EC71				1.17181e+06
G5EC78;G5EFF7	UBQL_CAEEL	ubql-1		9.84438e+06
G5EC87				4.41008e+06
G5EC91				1.52232e+07
G5EC98				5.72959e+06
G5ECA7				8.86635e+06
G5ECB3;G5ECB4;G5EDB1				6.06426e+06
G5ECC1				1.04874e+06
G5ECC9				1.94917e+06
G5ECD7;G5EEB3;G5EG29;G5EGT0				352994
G5ECE7				6.90992e+06
G5ECF4;G5EGL7				7.7954e+06
G5ECF8				3.49066e+06
G5ECG7				5.95505e+06
G5ECI8;G5EEN1				1.87918e+06
G5ECK7;G5ED34				1.53989e+06
G5ECL3				2.60332e+06
G5ECM6				2.60786e+07
G5ECP9;G5EEC4;G5EFW2				1.81195e+07
G5ECR0				1.25297e+07
G5ECR5;P34461	SODE_CAEEL	sod-4		2.13741e+06
G5ECR6				452662
G5ECR7				5.75016e+06
G5ECS4				2.02302e+06
G5ECS9				7.49902e+06
G5ECT6				2.30896e+07
G5ECU1	SKR1_CAEEL	skr-1	Skp1-related protein	1.14774e+07
G5ECU3;P40614	MPCP_CAEEL	F01G4.6		6.60817e+07
G5ECV9				8.81829e+06
G5ECW3				2.15869e+06
G5ECW7;Q9U3K7				6.96118e+06
G5ECX8;G5EDV6				3.4302e+06
G5ECX9				1.57413e+06
G5ECY0	DLG1_CAEEL	dlg-1	Disks large homolog 1	1.23635e+07
G5ECZ0				1.13191e+06
G5ECZ2;G5EDI2				1.75729e+07
G5ED01				7.46269e+06
G5ED07				7.81591e+07
G5ED17				411544
G5ED26				389274
G5ED27;G5EG33				3.42551e+06
G5ED31;G5EDD1				3.14772e+07
G5ED33;O18250;Q7YTG1				6.46141e+06
G5ED36;O62178				373326
G5ED41	CAND1_CAEEL	cand-1	Cullin-associated NEDD8-dissociated protein 1	5.60293e+06
G5ED75;Q9XU12				1.51394e+06
G5ED95				5.49348e+06
G5EDD3;G5EFM4				3.37199e+08
G5EDD4				7.21459e+06
G5EDD8				3.77623e+06
G5EDE8				9.97168e+06
G5EDF5				1.59001e+06
G5EDJ3				1.32008e+06
G5EDL9;G5EFP2				1.34096e+07
G5EDM4;G5EE55;G5EFP7;X5LQ26;X5LVA5	NHRF1_CAEEL	nrfl-1	Na(+)/H(+) exchange regulatory cofactor-like protein nrfl-1	1.56671e+07
G5EDN6;H9G2Y1	CANB_CAEEL	cnb-1	Protein phosphatase 2B regulatory subunit cnb-1	1.06174e+06
G5EDP0				1.92773e+06
G5EDP2	NLTP2_CAEEL	daf-22	Non-specific lipid-transfer protein-like 2	1.57008e+07
G5EDQ2				1.87426e+07
G5EDQ4;G5EDV5;G5EF89;G5EGA4				2.65857e+06
G5EDR3	2AB1_CAEEL	sur-6	Serine/threonine-protein phosphatase 2A regulatory subunit sur-6	4.40616e+06
G5EDS2;K8ESK9;K8F7Z0;K8FE00				4.26422e+06
G5EDT4;G5EEP7				2.30334e+06
G5EDT9				1.63962e+06
G5EDV0				2.10496e+06
G5EDV3				1.43657e+07
G5EDV7				3.14133e+06
G5EDW1	ADBP1_CAEEL	adbp-1	Adr-2-binding protein 1	623164
G5EDW8				9.79886e+06
G5EDY2				6.33618e+06
G5EDY3				1.53026e+06
G5EDY8;Q8WQC9				2.09363e+06
G5EDZ2	UMPS_CAEEL	umps-1	Uridine 5'-monophosphate synthase	4.77634e+06
G5EDZ5;O62305	KCC2D_CAEEL	unc-43		6.37318e+06
G5EDZ7				2.20974e+06
G5EDZ9	CPI1_CAEEL	cpi-1	Cystatin cpi-1	1.12597e+07
G5EE04				1.49622e+07
G5EE09;Q8I4B4;Q9U1P4				1.48418e+06
G5EE11				4.61669e+06
G5EE12				7.63694e+06
G5EE32;G5EGD0				293213
G5EE41				6.74515e+06
G5EE42				2.95761e+06
G5EE46				7.30963e+06
G5EE67				2.70054e+06
G5EE72	MRP5_CAEEL	mrp-5	Multidrug resistance-associated protein 5	1.18825e+06
G5EE74				7.81081e+06
G5EE80				4.06009e+06
G5EEA2				3.02802e+06
G5EEA8				2.62363e+07
G5EEE5				1.22527e+07
G5EEG4				1.46755e+07
G5EEG7	SMU1_CAEEL	smu-1	Smu-1 suppressor of mec-8 and unc-52 protein	866817
G5EEH6				1.46522e+07
G5EEH9	NUP98_CAEEL	npp-10	Nuclear pore complex protein Nup98-Nup96	2.6849e+06
G5EEI4	ASP1_CAEEL	asp-1	Aspartic protease 1	6.02346e+07
G5EEJ7				1.22064e+07
G5EEK2				1.68366e+06
G5EEK8				2.17301e+07
G5EEK9				8.74185e+06
G5EEM5	ZYG9_CAEEL	zyg-9	Zygote defective protein 9	1.54353e+06
G5EEM6	TAB1_CAEEL	tap-1	TGF-beta-activated kinase 1 and MAP3K7-binding protein 1	1.43891e+06
G5EEN7				3.7129e+06
G5EEQ8				1.58618e+06
G5EER4	FCL_CAEEL	ger-1	GDP-L-fucose synthase	1.03579e+06
G5EER7;G5EG67				1.41579e+06
G5EES3;G5EGR6				1.72845e+06
G5EES6;G5EFK5	UFD3_CAEEL	ufd-3	Ubiquitin fusion degradation protein 3 homolog	3.48627e+06
G5EES9				7.74433e+06
G5EET2				2.86171e+06
G5EET3				2.3448e+06
G5EET8				4.7663e+07
G5EEV5;H2KZS1				8.41943e+06
G5EEZ4				1.04923e+06
G5EF01				2.25306e+06
G5EF05				5.91254e+06
G5EF08;Q1RPT9				793473
G5EF32				4.96121e+07
G5EF37				7.48093e+07
G5EF39				1.00509e+06
G5EF60	STIM1_CAEEL	stim-1	Stromal interaction molecule 1	2.07555e+06
G5EF65;X5M5R6				199785
G5EF84	GIP2_CAEEL	gip-2	Gamma-tubulin interacting protein 2	202454
G5EF86				6.52139e+06
G5EF87;H8ESF3				7.5938e+06
G5EF97				2.01471e+06
G5EF99				1.43306e+06
G5EFB5				7.94249e+06
G5EFC1				5.42282e+06
G5EFC4				2.89186e+06
G5EFC8				2.048e+06
G5EFD1				5.88967e+06
G5EFD4				1.29505e+06
G5EFD7				2.79682e+06
G5EFE3				1.3098e+07
G5EFF8;Q304D5				6.45687e+06
G5EFF9;G5EG28				966746
G5EFG4				7.5697e+06
G5EFH0				3.98849e+06
G5EFH8				3.10207e+06
G5EFI4				1.75515e+07
G5EFJ0;G5EGS3				660629
G5EFK4				1.07857e+07
G5EFL1				94035.8
G5EFL5				8.02936e+06
G5EFP4				2.98927e+06
G5EFR0				2.45894e+06
G5EFS2				2.88219e+06
G5EFS4	DCPS_CAEEL	dcs-1	m7GpppX diphosphatase	2.69005e+06
G5EFS5;Q9N5T2				3.44581e+07
G5EFV4				2.01343e+07
G5EFY6				1.13712e+06
G5EFZ1	GPMI_CAEEL	ipgm-1	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	1.99047e+07
G5EFZ5;G5EG22				2.45214e+06
G5EG13				6.01626e+06
G5EG18				2.30339e+06
G5EG26				1.61422e+06
G5EG50				2.20174e+06
G5EG58				1.32873e+06
G5EG62				3.43215e+06
G5EGA1;O02330				231052
G5EGA5	FAT2_CAEEL	fat-2	Delta(12) fatty acid desaturase fat-2	6.05577e+06
G5EGA6	DHRS4_CAEEL	dhrs-4	Dehydrogenase/reductase SDR family member 4	1.5297e+06
G5EGA7				1.19944e+06
G5EGB1				8.13998e+07
G5EGB3				1.09921e+06
G5EGG0;Q2EEM5				1.10176e+06
G5EGK1				9.01572e+06
G5EGK8	PP2A_CAEEL	let-92	Serine/threonine-protein phosphatase 2A catalytic subunit	4.82413e+06
G5EGL2				1.27109e+07
G5EGN2	FAT6_CAEEL	fat-6	Delta(9)-fatty-acid desaturase fat-6	1.28108e+06
G5EGP4				5.55258e+06
G5EGP8	CATZ1_CAEEL	cpz-1	Cathepsin Z-1	1.86958e+07
G5EGS5				542053
G5EGS9				83021.3
G5EGT6;Q9N574				492280
G5EGT7				4.38862e+06
G5EGU1				4.30299e+06
G8JY31;Q21268	YMSO_CAEEL	K07C11.7		2.04997e+06
G8JY38;P05690	VIT2_CAEEL	vit-2		1.15377e+08
G8JY40;P43510;Q8MQC6	CPR6_CAEEL	cpr-6		1.83729e+07
G8JY63;Q19200	STO1_CAEEL	sto-1		590168
G8JY83;P0CG71	UBIQ1_CAEEL	ubq-1		1.68079e+07
G8JY94;Q21067	IFC2_CAEEL	ifc-2		7.93548e+07
G8JYG1;Q9U757	NXT1_CAEEL	nxt-1		5.51318e+06
G8XYY4;O01839	VPS51_CAEEL	vps-51		9.19928e+07
H1ZUV6;O01824	PDXK_CAEEL	pdxk-1		1.59061e+06
H2FLJ1				7.62667e+06
H2FLK8				3.79888e+07
H2FLK9				1.70315e+06
H2KMJ3				1.12809e+07
H2KMK6				2.75844e+06
H2KYB8;H2KYB9				301152
H2KYC4;H2KYC6				5.55575e+06
H2KYC9;Q8MQF7;V6CLC8				3.01883e+06
H2KYD7;Q7YZW5	VEM1_CAEEL	vem-1		5.09065e+06
H2KYE0;Q9UAN9	NRA4_CAEEL	nra-4	Nicotinic receptor-associated protein 4	1.33396e+07
H2KYH5;Q95QX5				3.32237e+06
H2KYI5;Q86NI2				6.7284e+06
H2KYJ2				6.19235e+06
H2KYJ5				8.64584e+06
H2KYM1				3.0648e+06
H2KYN3				758294
H2KYN5;O16466	ATG18_CAEEL	atg-18		1.60875e+06
H2KYN6				596123
H2KYP1;Q8I7L5				1.69042e+06
H2KYQ2;H2KYQ3;Q17921				2.40311e+06
H2KYQ5	GYG1_CAEEL	gyg-1	Glycogenin-1	1.19278e+07
H2KYR1				6.1431e+07
H2KYS8;Q7JPE2	CPNA1_CAEEL	cpna-1	Copine family protein 1	1.51175e+06
H2KYU6;Q95QZ7	NPL41_CAEEL	npl-4.1	Nuclear protein localization protein 4 homolog 1	4.31252e+06
H2KYV1				1.29502e+07
H2KYV3;Q18076				9.59162e+06
H2KYV8;Q8MNV5				1.02534e+06
H2KYV9;Q86NJ8				1.72147e+06
H2KYX9;H2KYY0;U4PRA9				4.23195e+06
H2KYY4;Q95QA6	PAT12_CAEEL	pat-12		1.58104e+07
H2KZ18;H2KZ19				4.25808e+06
H2KZ41				68931.3
H2KZ48				860780
H2KZ73;H8W3Y1;Q8T3B7				5.02916e+06
H2KZA2;Q95Q55				2.41204e+06
H2KZA5;Q8ITY8				5.06215e+06
H2KZA6;Q8ITY9				1.10852e+06
H2KZD5;Q27GU1				4.14518e+06
H2KZG6				1.81448e+08
H2KZJ5				7.23418e+06
H2KZK7;Q965K3				1.06252e+07
H2KZL7;Q8IG31				1.18145e+08
H2KZR3;O76566				2.48608e+06
H2KZS4				6.2106e+06
H2KZV5				1.7685e+07
H2KZV8;L8E6X8;Q9GP94;Q9GP96				2.94424e+07
H2KZX2;Q8MQ17				680449
H2KZX4;Q7JP80				3.50941e+06
H2L003;Q3Y409				264101
H2L034				6.45869e+06
H2L045;H2L046	TENSH_CAEEL	tns-1	Tensin homolog	2.21718e+06
H2L048;Q8MQ42				6.112e+06
H2L056;Q6A589	UBXN3_CAEEL	ubxn-3	UBX domain-containing protein 3	1.99307e+06
H2L0A8				240551
H2L0C0				1.98232e+06
H2L0D0;H2L0D1;Q8MXF3				1.66215e+06
H2L0D5;Q21164				1.8406e+06
H2L0G7;Q9BKS2				3.70501e+06
H2L0I2				1.26116e+07
H2L0K4;Q8WTM0				228189
H2L0M0;Q9GZI3				9.38315e+06
H2L0N0;H2L0N1;O01619;Q95ZK4				2.09413e+06
H2L0N9				1.08588e+07
H2L0Q1;Q6EZG8				1.16936e+07
H2L0Q6;Q9N3F8				1.57749e+06
H2L2A8;Q19583;Q9U3I7				1.11587e+06
H2L2E8;O18688				2.66284e+07
H2L2J5;H2L2J6;O02238				2.30888e+06
H9G2T4;Q21032				1.09211e+08
H9G2V4;Q20471	KIN20_CAEEL	kin-20		743358
H9G340;H9G341;Q9XTW9				2.7324e+06
I2HA82;Q22267	PLC2_CAEEL	acl-2		1.78829e+06
I2HA91				1.79673e+06
I2HA98;P90925	PH4H_CAEEL	pah-1		5.38229e+06
I2HAF6;Q9U1S2				9.7193e+06
I2HAG1;Q09581	LEC3_CAEEL	lec-3		6.75224e+07
I2HAL2;Q94051	CAV1_CAEEL	cav-1		2.35706e+06
K8ERV5				7.29291e+06
K8ES47;Q9NF23				1.29346e+06
K8ESC3				1.81222e+06
K8ESC5;Q9NA30	ATG41_CAEEL	atg-4.1	Cysteine protease atg-4.1	1.60204e+06
K8ESE2;O45391				1.1855e+07
K8ESM2				4.18288e+06
K8FDY0;Q93636				6.71875e+06
K8FE02;Q21605				2.89124e+06
L8E6W9				114872
L8E817				2.5543e+06
M1Z854;Q19286	IFB2_CAEEL	ifb-2		9.84418e+07
M1Z882				473275
N1NTN5;Q17971				1.26631e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	6.34867e+06
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	2.05522e+07
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	9.12288e+06
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	2.29063e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	8.81121e+06
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	1.00661e+07
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	9.44463e+06
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	3.35257e+06
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	1.33088e+06
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	2.06898e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	3.81695e+06
O00180	KCNK1_HUMAN	KCNK1	Potassium channel subfamily K member 1	1.25961e+06
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	1.13623e+07
O00193	SMAP_HUMAN	SMAP	Small acidic protein	6.87018e+07
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	1.28913e+06
