Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R03.mzML
A5JYX3;I7J4D2;I7K4K5;I7LFF2;P90947	HMP1_CAEEL	hmp-1		319305
A5JYX4				2.92062e+06
A5JYX8;O18033	NCLN_CAEEL	nra-2	Nicalin	1.55238e+06
A5PEX6;G2HK02;G2HK03;K8ESL3;Q9U207				1.21054e+06
A5PLL7	TM189_HUMAN	TMEM189	Plasmanylethanolamine desaturase	2.16459e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	4.03031e+07
A5Z2W3;H9G321				6.98801e+06
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1.81015e+07
A6NC78	GOG8I_HUMAN	GOLGA8IP	Putative golgin subfamily A member 8I	5.05581e+06
A6NC98	CC88B_HUMAN	CCDC88B	Coiled-coil domain-containing protein 88B	1.52843e+06
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	4.09872e+06
A6NCN2	KR87P_HUMAN	KRT87P	Putative keratin-87 protein	1.68656e+07
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	1.05158e+07
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	6.20774e+06
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	4.0025e+06
A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316	460013
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	5.57119e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	8.3143e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	4.85779e+06
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	2.84265e+06
A6ZJ46;Q20621;Q8I4I4				1.44206e+06
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	1.14988e+06
A7DT45				5.48934e+06
A7DTF5;Q9U222				3.80994e+06
A7LPE6;P34517;Q7JMU1	GPDH2_CAEEL	gpdh-2		1.08029e+07
A7LPF3;Q20364				210455
A7LPG5;Q5FC71				3.95786e+06
A7LPJ5				867831
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	1.44293e+08
A8MXV4	NUD19_HUMAN	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	1.12866e+06
A8WHR6;Q19775;Q7JLJ3	PPM1A_CAEEL	ppm-1.A		5.8732e+06
A9CZN9;Q966L2				1.82099e+06
A9D0C6				1.41808e+06
A9UJN7				6.21851e+06
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	5.59947e+06
B0M0L8;H2KYS1				3.54015e+06
B1Q254;B1Q255				617140
B2D6K7;D4PH96;G5ED29	ATX2_CAEEL	atx-2		3.85262e+06
B2D6P1				3.87848e+06
B2FDA8	SMC3_CAEEL	smc-3	Structural maintenance of chromosomes protein 3	1.46079e+06
B2MZA9;Q10923;Q95QZ3;Q95QZ4				678999
B3CJ34				1.11026e+07
B3GWA1				2.843e+06
B3WFT8				3.02478e+06
B3WFV9;G5EC65;G5EDF4				2.5766e+06
B3WFW9				5.20111e+06
B3WFZ3;B3WFZ4				1.2752e+06
B4E3X6				2.26974e+06
B5BM23;Q21531;Q7JMF0				5.72721e+06
B5BM32;Q9XVS7	NXF1_CAEEL	nxf-1		780348
B5U8N2				1.20684e+06
B6VQ59;Q19346				2.27739e+06
B7FAR9;D9PTN8				6.63995e+06
B7WN95				1.80864e+08
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	2.24603e+06
B9WRS6;H2KYL7;H2KYL8				1.75372e+07
C0Z1Y9				1.29011e+06
C1P622;Q09517;S6FCZ1	LE767_CAEEL	let-767		7.14524e+06
C1P629;C6KRJ2;Q18937				5.49052e+06
C1P636;Q27481				1.13061e+07
C2BR91				2.67445e+06
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	2.09936e+06
C6KRG1;H2KZY6				5.56382e+06
C6KRI9;Q22847;X5M5W2;X5M900				2.31082e+06
C6KRQ4;Q9XTQ6	TBH1_CAEEL	tbh-1		664469
C7FZU3;C7FZU4;Q93791				4.58556e+06
C9IY21;C9IY22				4.26164e+06
D0IMZ5;U4PR92				1.34372e+07
D0PV95	DDX3_CAEEL	laf-1	ATP-dependent RNA helicase laf-1	1.09258e+07
D0VWL6				2.62502e+06
D0VWM8;Q20414	TADBP_CAEEL	tdp-1	Tar DNA-binding protein homolog 1	1.32039e+06
D1MN80;Q20184				1.03153e+06
D3NQA9;Q2YS41				1.5641e+06
D3YT36;D3YT37;Q23539				5.23973e+06
D3YT56				9.21166e+06
D5MCN2	LARP1_CAEEL	larp-1	La-related protein 1	1.00652e+07
D5MCQ1;D5MCQ2;D5MCQ3;D5MCQ4;D5MCQ5;D5MCQ6;D5MCQ7;D5MCQ8;D5MCQ9;D5MCR3;D5MCR4;D5MCR5;Q21900;Q7JMB8				9.2559e+06
D7SFI3				6.01502e+06
D9PTP5;D9PTP6				3.53686e+06
E0AHA7;G5EG85				1.19633e+07
E0R7L2				1.17486e+06
E1B6Q7				9.2008e+06
E2JKZ0;L8E938;L8EC32;Q23542				300804
E2JL04				520188
E3W741;Q18878				1.82296e+06
E9P883;G5ECN9;Q18772	NEC2_CAEEL	egl-3		2.0621e+06
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1.15178e+08
E9RKC7				1.65318e+06
F3Y5Q2;Q9U2B0;S6FWQ3				240868
F5GU60;H2KZS0				3.13612e+06
G1K0V8;P34563	IF5A1_CAEEL	iff-1		1.4226e+07
G3MU08;Q17424	THIO2_CAEEL	trx-2		2.48371e+06
G3MU14;Q27497	GLC7A_CAEEL	gsp-1		1.45266e+06
G3MU28;G3MU29;G3MU30;Q23318;Q7JLE3				509849
G3MU56;G3MU57;P90897	RDE12_CAEEL	rde-12		3.65576e+06
G3MU79;G3MU80;G3MU81;G3MU82;G3MU83;N1NSD8;N1NSE3;N1NTD2;N1NTD8;N1NTI7;N1NTJ2;N1NV07;N1NVB4;O45623;O45624;Q7JKC3	UBP7_CAEEL	math-33		1.47016e+06
G3MU88;O18239				1.18366e+07
G4RYA5				592924
G4S034				1.0327e+07
G4SGU1;G5EEM9;G8JYA8;Q8WQE0				1.07663e+06
G4SI07				6.06708e+07
G4SL51				1.08705e+07
G4SLD6;G4SLH0;G5EFF0	TTN1_CAEEL	ttn-1		7.17733e+06
G4SPY0;G4SPY1				1.70892e+07
G5EBF3				1.16797e+08
G5EBH3;G5EC35;G5EFW3				1.20618e+06
G5EBH7				3.00718e+07
G5EBI0				1.03091e+07
G5EBJ7				1.77939e+07
G5EBJ8				9.60825e+07
G5EBK3				1.49738e+07
G5EBP4;G5EEG8;G5EEP9				3.81119e+06
G5EBP5				1.64524e+07
G5EBR1;Q2V4S2				1.1169e+07
G5EBT3				2.7984e+06
G5EBV6	PGL3_CAEEL	pgl-3	Guanyl-specific ribonuclease pgl-3	1.35983e+06
G5EBW5				912009
G5EBY3				1.57499e+06
G5EC05				264985
G5EC10				1.7833e+07
G5EC23				2.56709e+06
G5EC31				1.71184e+07
G5EC67				1.07353e+06
G5EC71				1.03916e+06
G5EC78;G5EFF7	UBQL_CAEEL	ubql-1		9.56836e+06
G5EC87				3.06012e+06
G5EC91				1.26734e+07
G5EC98				4.08928e+06
G5ECA7				8.01316e+06
G5ECB3;G5ECB4;G5EDB1				2.76696e+06
G5ECC1				318416
G5ECC9				1.69095e+06
G5ECD7;G5EEB3;G5EG29;G5EGT0				226494
G5ECE7				5.03161e+06
G5ECF0;G5EDQ3;G5EFI0;G5EG71				2.3641e+06
G5ECF8				829365
G5ECG7				3.42503e+06
G5ECI8;G5EEN1				255086
G5ECK7;G5ED34				1.00243e+06
G5ECL3				5.32829e+06
G5ECM6				2.14863e+07
G5ECP9;G5EEC4;G5EFW2				1.52252e+07
G5ECR0				7.89997e+06
G5ECR5;P34461	SODE_CAEEL	sod-4		1.72695e+06
G5ECR7				5.63494e+06
G5ECS4				838327
G5ECS9				3.97145e+06
G5ECT6				1.53247e+07
G5ECU1	SKR1_CAEEL	skr-1	Skp1-related protein	8.9386e+06
G5ECU3;P40614	MPCP_CAEEL	F01G4.6		4.85652e+07
G5ECV9				5.80102e+06
G5ECW7;Q9U3K7				8.3996e+06
G5ECX8;G5EDV6				3.18457e+06
G5ECX9				1.23117e+06
G5ECY0	DLG1_CAEEL	dlg-1	Disks large homolog 1	7.53871e+06
G5ECZ0				1.55546e+06
G5ECZ2;G5EDI2				1.20341e+07
G5ED01				4.1059e+06
G5ED07				5.23314e+07
G5ED26				321215
G5ED27;G5EG33				3.11813e+06
G5ED31;G5EDD1				2.4843e+07
G5ED33;O18250;Q7YTG1				3.69309e+06
G5ED36;O62178				582240
G5ED41	CAND1_CAEEL	cand-1	Cullin-associated NEDD8-dissociated protein 1	5.2282e+06
G5ED95				3.76971e+06
G5ED97				1.40309e+07
G5EDC6				2.57466e+06
G5EDD3;G5EFM4				3.70752e+08
G5EDD4				6.59402e+06
G5EDD8				3.57784e+06
G5EDE8				3.56437e+06
G5EDF5				2.01952e+06
G5EDJ3				1.28946e+06
G5EDL9;G5EFP2				7.95831e+06
G5EDM4;G5EE55;G5EFP7;X5LQ26;X5LVA5	NHRF1_CAEEL	nrfl-1	Na(+)/H(+) exchange regulatory cofactor-like protein nrfl-1	1.04893e+07
G5EDP2	NLTP2_CAEEL	daf-22	Non-specific lipid-transfer protein-like 2	1.1545e+07
G5EDP6				3.26397e+06
G5EDQ2				2.1642e+06
G5EDR3	2AB1_CAEEL	sur-6	Serine/threonine-protein phosphatase 2A regulatory subunit sur-6	4.28959e+06
G5EDS2;K8ESK9;K8F7Z0;K8FE00				2.98098e+06
G5EDT9				1.04973e+06
G5EDV0				5.53602e+06
G5EDV3				1.07088e+07
G5EDV7				2.39094e+06
G5EDW8				8.38743e+06
G5EDY2				5.16887e+06
G5EDY8;Q8WQC9				1.28681e+06
G5EDZ2	UMPS_CAEEL	umps-1	Uridine 5'-monophosphate synthase	4.83345e+06
G5EDZ5;O62305	KCC2D_CAEEL	unc-43		6.41214e+06
G5EDZ7				1.62577e+06
G5EDZ9	CPI1_CAEEL	cpi-1	Cystatin cpi-1	5.70328e+06
G5EE04				1.20455e+07
G5EE09;Q8I4B4;Q9U1P4				1.0247e+06
G5EE11				3.04447e+06
G5EE12				2.35432e+06
G5EE41				4.369e+06
G5EE42				2.74465e+06
G5EE46				6.23446e+06
G5EE67				1.42307e+06
G5EE74				5.88725e+06
G5EE80				4.07115e+06
G5EEA2				1.76284e+06
G5EEA8				1.93678e+07
G5EEE5				7.21111e+06
G5EEG4				1.19206e+07
G5EEG7	SMU1_CAEEL	smu-1	Smu-1 suppressor of mec-8 and unc-52 protein	132906
G5EEH6				9.80963e+06
G5EEH9	NUP98_CAEEL	npp-10	Nuclear pore complex protein Nup98-Nup96	2.32891e+06
G5EEI4	ASP1_CAEEL	asp-1	Aspartic protease 1	4.88621e+07
G5EEJ7				9.07781e+06
G5EEK2				1.07654e+06
G5EEK8				1.75452e+07
G5EEK9				6.35988e+06
G5EEM5	ZYG9_CAEEL	zyg-9	Zygote defective protein 9	2.8869e+06
G5EEN7				768341
G5EEQ8				1.2534e+06
G5EER7;G5EG67				803483
G5EES3;G5EGR6				714701
G5EES6;G5EFK5	UFD3_CAEEL	ufd-3	Ubiquitin fusion degradation protein 3 homolog	2.597e+06
G5EES9				2.74301e+06
G5EET2				2.28625e+06
G5EET3				1.65304e+06
G5EET8				3.52554e+07
G5EEV5;H2KZS1				6.83536e+06
G5EF01				1.57006e+06
G5EF05				3.21356e+06
G5EF32				4.0906e+07
G5EF37				6.87811e+07
G5EF39				470317
G5EF60	STIM1_CAEEL	stim-1	Stromal interaction molecule 1	1.49045e+06
G5EF86				1.87431e+06
G5EF87;H8ESF3				5.95801e+06
G5EF97				443299
G5EF99				1.73671e+06
G5EFB5				6.10499e+06
G5EFC1				4.01471e+06
G5EFC4				2.04894e+06
G5EFC8				993902
G5EFD1				1.13749e+06
G5EFE3				1.02797e+07
G5EFF8;Q304D5				4.80919e+06
G5EFG4				6.14049e+06
G5EFH8				1.68582e+06
G5EFI4				1.46184e+07
G5EFK4				7.63008e+06
G5EFL5				6.25564e+06
G5EFP4				1.42707e+06
G5EFR0				2.05722e+06
G5EFS2				1.52338e+06
G5EFS4	DCPS_CAEEL	dcs-1	m7GpppX diphosphatase	1.59985e+06
G5EFS5;Q9N5T2				2.87766e+07
G5EFV4				1.02938e+07
G5EFY6				849390
G5EFZ1	GPMI_CAEEL	ipgm-1	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	1.38726e+07
G5EG13				4.72854e+06
G5EG18				1.77025e+06
G5EG50				1.55096e+06
G5EG58				1.28452e+06
G5EG62				2.75013e+06
G5EGA5	FAT2_CAEEL	fat-2	Delta(12) fatty acid desaturase fat-2	4.55732e+06
G5EGA6	DHRS4_CAEEL	dhrs-4	Dehydrogenase/reductase SDR family member 4	1.68965e+06
G5EGA7				500536
G5EGB1				6.87738e+07
G5EGG0;Q2EEM5				195745
G5EGH7	LON8_CAEEL	lon-8	Protein lon-8	9.16511e+06
G5EGK1				5.39812e+06
G5EGK8	PP2A_CAEEL	let-92	Serine/threonine-protein phosphatase 2A catalytic subunit	4.13374e+06
G5EGL2				1.25583e+07
G5EGN2	FAT6_CAEEL	fat-6	Delta(9)-fatty-acid desaturase fat-6	713001
G5EGP4				4.71847e+06
G5EGP8	CATZ1_CAEEL	cpz-1	Cathepsin Z-1	1.56784e+07
G5EGT7				3.79118e+06
G5EGU1				1.86585e+06
G8JY31;Q21268	YMSO_CAEEL	K07C11.7		1.66639e+06
G8JY38;P05690	VIT2_CAEEL	vit-2		9.32243e+07
G8JY40;P43510;Q8MQC6	CPR6_CAEEL	cpr-6		8.56549e+06
G8JY63;Q19200	STO1_CAEEL	sto-1		299444
G8JY83;P0CG71	UBIQ1_CAEEL	ubq-1		1.18294e+07
G8JY94;Q21067	IFC2_CAEEL	ifc-2		6.83513e+07
G8JYE4;P91406	GCP2_CAEEL	gcp-2.1		1.37373e+06
G8JYG1;Q9U757	NXT1_CAEEL	nxt-1		4.62788e+06
G8XYY4;O01839	VPS51_CAEEL	vps-51		9.16709e+07
H1ZUV6;O01824	PDXK_CAEEL	pdxk-1		1.39916e+06
H2FLJ1				7.54436e+06
H2FLK8				2.81055e+07
H2FLK9				1.80611e+06
H2KMJ3				1.05734e+07
H2KMK6				1.63652e+06
H2KYC4;H2KYC6				4.5557e+06
H2KYC9;Q8MQF7;V6CLC8				3.40025e+06
H2KYE0;Q9UAN9	NRA4_CAEEL	nra-4	Nicotinic receptor-associated protein 4	2.19614e+07
H2KYG4;O45137				573585
H2KYH5;Q95QX5				2.39824e+06
H2KYI5;Q86NI2				4.85362e+06
H2KYJ2				3.43834e+06
H2KYJ5				6.40962e+06
H2KYM1				2.58328e+06
H2KYN3				425807
H2KYN5;O16466	ATG18_CAEEL	atg-18		1.95853e+06
H2KYN6				343999
H2KYP1;Q8I7L5				1.40309e+06
H2KYQ2;H2KYQ3;Q17921				1.06218e+06
H2KYQ5	GYG1_CAEEL	gyg-1	Glycogenin-1	1.2026e+07
H2KYR1				4.24187e+07
H2KYS8;Q7JPE2	CPNA1_CAEEL	cpna-1	Copine family protein 1	1.23358e+06
H2KYU6;Q95QZ7	NPL41_CAEEL	npl-4.1	Nuclear protein localization protein 4 homolog 1	2.48256e+06
H2KYV1				7.02944e+06
H2KYV3;Q18076				6.78211e+06
H2KYV8;Q8MNV5				1.23657e+06
H2KYV9;Q86NJ8				749482
H2KYX9;H2KYY0;U4PRA9				3.40963e+06
H2KYY4;Q95QA6	PAT12_CAEEL	pat-12		1.48396e+07
H2KZ18;H2KZ19				2.80184e+06
H2KZ37				1.87243e+06
H2KZ48				1.64306e+06
H2KZ73;H8W3Y1;Q8T3B7				3.53418e+06
H2KZA5;Q8ITY8				5.02821e+06
H2KZA6;Q8ITY9				1.29316e+06
H2KZD5;Q27GU1				2.82819e+06
H2KZG6				1.55989e+08
H2KZJ5				6.26062e+06
H2KZK7;Q965K3				765457
H2KZL7;Q8IG31				9.50909e+07
H2KZR3;O76566				2.12537e+06
H2KZS4				5.52685e+06
H2KZV5				6.09867e+06
H2KZV8;L8E6X8;Q9GP94;Q9GP96				1.37919e+07
H2L034				1.0728e+07
H2L045;H2L046	TENSH_CAEEL	tns-1	Tensin homolog	1.60999e+06
H2L048;Q8MQ42				5.10332e+06
H2L056;Q6A589	UBXN3_CAEEL	ubxn-3	UBX domain-containing protein 3	1.75229e+06
H2L0C0				1.51027e+06
H2L0D5;Q21164				1.50665e+06
H2L0G7;Q9BKS2				2.9249e+06
H2L0I2				1.44767e+07
H2L0K4;Q8WTM0				343176
H2L0M0;Q9GZI3				5.78355e+06
H2L0N9				9.53726e+06
H2L0Q1;Q6EZG8				6.44186e+06
H2L0Q6;Q9N3F8				2.08723e+06
H2L2E8;O18688				1.96587e+07
H2L2J5;H2L2J6;O02238				2.53628e+06
H9G2T4;Q21032				7.39476e+07
H9G2V4;Q20471	KIN20_CAEEL	kin-20		393741
H9G2Z8				1.0374e+06
H9G340;H9G341;Q9XTW9				1.89702e+06
I2HA82;Q22267	PLC2_CAEEL	acl-2		1.32323e+06
I2HA91				666092
I2HA98;P90925	PH4H_CAEEL	pah-1		4.29164e+06
I2HAF6;Q9U1S2				1.40094e+06
I2HAG1;Q09581	LEC3_CAEEL	lec-3		5.88146e+07
I2HAJ8;Q20881				1.27846e+06
I2HAL2;Q94051	CAV1_CAEEL	cav-1		1.48404e+06
K8ERV5				4.82114e+06
K8ES47;Q9NF23				823301
K8ESC3				1.65731e+06
K8ESC5;Q9NA30	ATG41_CAEEL	atg-4.1	Cysteine protease atg-4.1	826517
K8ESE2;O45391				9.21972e+06
K8ESM2				3.40451e+06
K8FDY0;Q93636				5.57927e+06
K8FE02;Q21605				6.50547e+06
L8E817				2.10143e+06
M1Z854;Q19286	IFB2_CAEEL	ifb-2		7.63861e+07
N1NTN5;Q17971				1.6556e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	5.31151e+06
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	1.47423e+07
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	7.87997e+06
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	1.94354e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	9.05579e+06
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	9.25142e+06
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	8.42645e+06
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	4.88416e+06
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	1.43257e+06
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	2.00197e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	3.78774e+06
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	1.79176e+07
O00193	SMAP_HUMAN	SMAP	Small acidic protein	6.11033e+07
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	948357
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	6.25999e+06
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	2.87827e+07
O00220	TR10A_HUMAN	TNFRSF10A	Tumor necrosis factor receptor superfamily member 10A	283803
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	1.78052e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	1.79329e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	8.40043e+06
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	9.90816e+06
O00255	MEN1_HUMAN	MEN1	Menin	1.77483e+06
O00257	CBX4_HUMAN	CBX4	E3 SUMO-protein ligase CBX4	805914
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	2.72612e+07
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	1.50094e+07
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	1.59506e+06
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	1.16512e+07
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	1.06891e+08
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	2.00808e+07
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	8.77458e+06
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	2.64908e+06
O00400	ACATN_HUMAN	SLC33A1	Acetyl-coenzyme A transporter 1	2.01702e+06
O00401	WASL_HUMAN	WASL	Neural Wiskott-Aldrich syndrome protein	527912
O00410	IPO5_HUMAN	IPO5	Importin-5	2.78133e+07
O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial	124662
O00418	EF2K_HUMAN	EEF2K	Eukaryotic elongation factor 2 kinase	5.93978e+06
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	9.06944e+07
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	3.8095e+07
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	1.41038e+07
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	3.34209e+06
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	2.2092e+06
O00458	IFRD1_HUMAN	IFRD1	Interferon-related developmental regulator 1	1.70775e+06
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	514893
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	1.62163e+06
O00468	AGRIN_HUMAN	AGRN	Agrin	211416
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	5.94191e+06
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	2.5937e+06
O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	9.28366e+06
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	3.10395e+07
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	2.4199e+07
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	6.39649e+06
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	2.4303e+07
O00506	STK25_HUMAN	STK25	Serine/threonine-protein kinase 25	1.14346e+06
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	2.85899e+06
O00541	PESC_HUMAN	PES1	Pescadillo homolog	1.09048e+07
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	3.80367e+06
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	1.0662e+07
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	5.46244e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	6.91714e+07
