Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R01.mzML
A1L429;A6NDE8;A6NER3;O76087;P0CL80;P0CL81;P0CL82;Q13065;Q13067;Q13068;Q13069;Q13070	GAGE1_HUMAN;GAGE5_HUMAN;GAGE6_HUMAN;GAGE7_HUMAN;GG12C_HUMAN;GG12F_HUMAN;GG12G_HUMAN;GG12H_HUMAN;GG12I_HUMAN;GG12J_HUMAN	GAGE1;GAGE12B;GAGE12F;GAGE12G;GAGE12H;GAGE12I;GAGE12J;GAGE5;GAGE6;GAGE7	G antigen 12B/C/D/E	4.0059e+06
A2A2Z9;Q8IVF6	AN18A_HUMAN;AN18B_HUMAN	ANKRD18A;ANKRD18B	Ankyrin repeat domain-containing protein 18B	4.2571e+07
A2RRD8	ZN320_HUMAN	ZNF320	Zinc finger protein 320	2.40048e+07
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	1.19191e+06
A2RTX5	SYTC2_HUMAN	TARS3	Threonine--tRNA ligase 2, cytoplasmic	8.82471e+06
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	3.69255e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	6.33337e+06
A3QMB7				1.27348e+07
A3QMC2;G5EFT4	AMP1_CAEEL	ltah-1.1		1.32764e+06
A3QMC5				1.18572e+08
A3QMC8	GMPPB_CAEEL	tag-335	Mannose-1-phosphate guanyltransferase beta	1.06828e+06
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	1.44727e+06
A4UGR9	XIRP2_HUMAN	XIRP2	Xin actin-binding repeat-containing protein 2	2.13266e+06
A5A3E0	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F	3.39903e+06
A5A8Q9;B1V8A0;O61843	SH3GH_CAEEL	unc-57		4.36137e+06
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	830420
A5JYR4;Q8I4G9;Q8I4H0;Q9U3A6				461142
A5JYX3;I7J4D2;I7K4K5;I7LFF2;P90947	HMP1_CAEEL	hmp-1		548301
A5JYX4				2.48118e+06
A5JYX8;O18033	NCLN_CAEEL	nra-2	Nicalin	8.22735e+06
A5PEX6;G2HK02;G2HK03;K8ESL3;Q9U207				3.18966e+06
A5PLL7	TM189_HUMAN	TMEM189	Plasmanylethanolamine desaturase	2.67383e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	3.83672e+07
A5Z2S4;B2D6K9;Q18696	PPH6R_CAEEL	saps-1		644856
A5Z2W3;H9G321				9.1295e+06
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	3.324e+07
A6NC78	GOG8I_HUMAN	GOLGA8IP	Putative golgin subfamily A member 8I	4.82552e+06
A6NC98	CC88B_HUMAN	CCDC88B	Coiled-coil domain-containing protein 88B	1.64005e+06
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1.41424e+07
A6NCN2	KR87P_HUMAN	KRT87P	Putative keratin-87 protein	2.18661e+07
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	9.59818e+06
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	7.37873e+06
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	3.84498e+06
A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316	232184
A6NGY5	O51F1_HUMAN	OR51F1	Olfactory receptor 51F1	6.65041e+06
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	4.57037e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	8.04218e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	2.41901e+06
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	3.60602e+06
A6ZJ46;Q20621;Q8I4I4				2.68141e+06
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	756178
A7DT45				7.41632e+06
A7DTF0;Q9XWW2				1.04677e+06
A7DTF5;Q9U222				4.09778e+06
A7LPE6;P34517;Q7JMU1	GPDH2_CAEEL	gpdh-2		1.09975e+07
A7LPF3;Q20364				2.16165e+06
A7LPG5;Q5FC71				1.1263e+07
A7LPH5;Q19267	CREL1_CAEEL	crld-1		869143
A7LPI4;Q93616				477320
A7LPJ5				3.28735e+06
A8MT69	CENPX_HUMAN	CENPX	Centromere protein X	708389
A8MT70	ZBBX_HUMAN	ZBBX	Zinc finger B-box domain-containing protein 1	1.99495e+07
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	1.45689e+08
A8MXV4	NUD19_HUMAN	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	1.09944e+06
A8WFI7;Q1WBU8				334271
A8WHR6;Q19775;Q7JLJ3	PPM1A_CAEEL	ppm-1.A		6.56588e+06
A9CZN9;Q966L2				2.61018e+06
A9D0C6				1.22167e+06
A9D2X7;Q9BKU2;X5LPX5				3.22225e+06
A9UJN7				9.52243e+06
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	7.46169e+06
B0M0L8;H2KYS1				5.15355e+06
B1Q254;B1Q255				162784
B2D6K7;D4PH96;G5ED29	ATX2_CAEEL	atx-2		3.66648e+06
B2D6P1				5.03561e+06
B2FDA8	SMC3_CAEEL	smc-3	Structural maintenance of chromosomes protein 3	685992
B2MZA9;Q10923;Q95QZ3;Q95QZ4				939123
B3CJ34				1.13275e+07
B3GWA1				3.40347e+06
B3WFT8				4.60953e+06
B3WFV9;G5EC65;G5EDF4				3.5182e+06
B3WFW9				4.89294e+06
B3WFZ3;B3WFZ4				1.15763e+06
B4E3X6				1.609e+06
B5BM23;Q21531;Q7JMF0				7.14619e+06
B5BM32;Q9XVS7	NXF1_CAEEL	nxf-1		739747
B5BM47;Q9XTY7				507681
B6VQ41;Q21020				1.42036e+06
B6VQ59;Q19346				1.85417e+06
B7FAR9;D9PTN8				8.38898e+06
B7WN95				2.41339e+08
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	2.05646e+06
B9WRS6;H2KYL7;H2KYL8				1.91175e+07
C0Z1Y9				384816
C1P622;Q09517;S6FCZ1	LE767_CAEEL	let-767		1.3962e+07
C1P629;C6KRJ2;Q18937				2.02964e+06
C1P636;Q27481				2.17225e+07
C2BR91				1.7371e+06
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	1.03868e+06
C6KRG1;H2KZY6				8.07564e+06
C6KRI9;Q22847;X5M5W2;X5M900				567466
C6KRK8;Q21890	YF64_CAEEL	R102.4		2.82856e+06
C6KRQ4;Q9XTQ6	TBH1_CAEEL	tbh-1		756528
C7FZU3;C7FZU4;Q93791				4.49893e+06
C9IY21;C9IY22				3.65405e+06
D0IMZ5;U4PR92				1.97666e+07
D0PV95	DDX3_CAEEL	laf-1	ATP-dependent RNA helicase laf-1	1.13948e+07
D0VWL6				7.61847e+06
D0VWM8;Q20414	TADBP_CAEEL	tdp-1	Tar DNA-binding protein homolog 1	100996
D3NQA9;Q2YS41				1.61825e+06
D3YT36;D3YT37;Q23539				1.25767e+06
D3YT56				1.40881e+07
D4YWC3				2.09458e+06
D5MCN2	LARP1_CAEEL	larp-1	La-related protein 1	6.83198e+06
D5MCQ1;D5MCQ2;D5MCQ3;D5MCQ4;D5MCQ5;D5MCQ6;D5MCQ7;D5MCQ8;D5MCQ9;D5MCR3;D5MCR4;D5MCR5;Q21900;Q7JMB8				1.5702e+07
D7SFI3				9.80634e+06
D9PTP5;D9PTP6				2.50152e+06
E0AHA7;G5EG85				7.21872e+06
E0R7L2				259379
E1B6Q7				2.21686e+06
E1B6R3;P34445	YL87_CAEEL	F54C8.7		1.11306e+06
E2JKZ0;L8E938;L8EC32;Q23542				2.10727e+06
E2JL04				1.06689e+06
E3W741;Q18878				2.19952e+06
E5QCI8;O45666	NHR49_CAEEL	nhr-49		267295
E9P883;G5ECN9;Q18772	NEC2_CAEEL	egl-3		961628
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	8.38279e+07
F3Y5Q7				863464
F5GU60;H2KZS0				2.52677e+06
F5GU86;F5GU87;Q19681				2.20741e+06
F5GUD3				132306
F5GUI0;O17883	STAL1_CAEEL	strl-1		480797
G1K0V8;P34563	IF5A1_CAEEL	iff-1		3.06411e+07
G3MU08;Q17424	THIO2_CAEEL	trx-2		2.38316e+06
G3MU14;Q27497	GLC7A_CAEEL	gsp-1		1.39258e+06
G3MU28;G3MU29;G3MU30;Q23318;Q7JLE3				470419
G3MU38;Q18785	MIF2_CAEEL	mif-2		3.22598e+06
G3MU56;G3MU57;P90897	RDE12_CAEEL	rde-12		2.00791e+06
G3MU79;G3MU80;G3MU81;G3MU82;G3MU83;N1NSD8;N1NSE3;N1NTD2;N1NTD8;N1NTI7;N1NTJ2;N1NV07;N1NVB4;O45623;O45624;Q7JKC3	UBP7_CAEEL	math-33		2.01251e+07
G3MU88;O18239				1.23043e+07
G4RYA5				714213
G4S034				1.28568e+07
G4SI07				6.25289e+07
G4SL51				1.09076e+07
G4SLD6;G4SLH0;G5EFF0	TTN1_CAEEL	ttn-1		7.16181e+06
G4SPY0;G4SPY1				5.72132e+06
G4SQY7				1.85599e+06
G5EBF3				1.35629e+08
G5EBF4				9.12894e+06
G5EBH3;G5EC35;G5EFW3				2.00306e+06
G5EBH7				3.14232e+07
G5EBI0				1.1622e+07
G5EBJ7				2.17623e+07
G5EBJ8				1.14887e+08
G5EBK3				1.71191e+07
G5EBP4;G5EEG8;G5EEP9				9.86487e+06
G5EBP5				1.92929e+07
G5EBR1;Q2V4S2				1.38485e+07
G5EBT3				2.21187e+06
G5EBU8;G5EFT0				2.28874e+06
G5EBV6	PGL3_CAEEL	pgl-3	Guanyl-specific ribonuclease pgl-3	3.90194e+06
G5EBW5				950538
G5EBY3				3.66799e+06
G5EC10				2.32802e+07
G5EC23				1.66602e+07
G5EC31				7.80287e+06
G5EC67				1.14354e+06
G5EC71				447688
G5EC78;G5EFF7	UBQL_CAEEL	ubql-1		1.08927e+07
G5EC87				3.85898e+06
G5EC91				1.34741e+07
G5EC98				8.47347e+06
G5ECA7				1.003e+07
G5ECB3;G5ECB4;G5EDB1				6.11993e+06
G5ECC1				2.1461e+06
G5ECC9				1.95847e+06
G5ECD7;G5EEB3;G5EG29;G5EGT0				510247
G5ECE7				7.46447e+06
G5ECF0;G5EDQ3;G5EFI0;G5EG71				2.08488e+06
G5ECF8				1.16874e+06
G5ECG7				5.15883e+06
G5ECI8;G5EEN1				2.08792e+06
G5ECK7;G5ED34				1.62214e+06
G5ECL3				2.58307e+06
G5ECM6				2.34053e+07
G5ECP9;G5EEC4;G5EFW2				1.75164e+07
G5ECR0				1.27101e+07
G5ECR5;P34461	SODE_CAEEL	sod-4		1.4648e+06
G5ECR7				2.0852e+06
G5ECS4				1.20032e+06
G5ECS9				4.0854e+06
G5ECT6				2.11516e+07
G5ECU1	SKR1_CAEEL	skr-1	Skp1-related protein	1.1048e+07
G5ECU3;P40614	MPCP_CAEEL	F01G4.6		6.04909e+07
G5ECV9				9.94201e+06
G5ECW7;Q9U3K7				3.09083e+07
G5ECX8;G5EDV6				4.50911e+06
G5ECX9				1.04998e+06
G5ECY0	DLG1_CAEEL	dlg-1	Disks large homolog 1	1.25104e+07
G5ECZ2;G5EDI2				1.80052e+07
G5ED01				8.69952e+06
G5ED07				6.47234e+07
G5ED27;G5EG33				1.88734e+06
G5ED31;G5EDD1				3.27422e+07
G5ED33;O18250;Q7YTG1				4.23563e+06
G5ED36;O62178				388350
G5ED41	CAND1_CAEEL	cand-1	Cullin-associated NEDD8-dissociated protein 1	6.84186e+06
G5ED75;Q9XU12				637021
G5ED95				4.46895e+06
G5ED97				1.36195e+07
G5EDB7;Q8I4E0				462173
G5EDC6				3.75976e+06
G5EDD3;G5EFM4				3.67406e+08
G5EDD4				9.65646e+06
G5EDD8				3.05546e+06
G5EDE8				1.13474e+07
G5EDF5				1.17114e+06
G5EDJ3				1.36602e+06
G5EDL9;G5EFP2				9.38156e+06
G5EDM4;G5EE55;G5EFP7;X5LQ26;X5LVA5	NHRF1_CAEEL	nrfl-1	Na(+)/H(+) exchange regulatory cofactor-like protein nrfl-1	1.41073e+07
G5EDN6;H9G2Y1	CANB_CAEEL	cnb-1	Protein phosphatase 2B regulatory subunit cnb-1	2.65035e+06
G5EDP2	NLTP2_CAEEL	daf-22	Non-specific lipid-transfer protein-like 2	1.56551e+07
G5EDQ2				1.8307e+06
G5EDQ4;G5EDV5;G5EF89;G5EGA4				2.06219e+06
G5EDR3	2AB1_CAEEL	sur-6	Serine/threonine-protein phosphatase 2A regulatory subunit sur-6	4.72807e+06
G5EDS2;K8ESK9;K8F7Z0;K8FE00				3.85566e+06
G5EDT9				2.56415e+06
G5EDV3				1.37775e+07
G5EDV7				3.03594e+06
G5EDW8				1.04832e+07
G5EDY2				7.57547e+06
G5EDY8;Q8WQC9				2.84783e+06
G5EDZ2	UMPS_CAEEL	umps-1	Uridine 5'-monophosphate synthase	4.20604e+06
G5EDZ5;O62305	KCC2D_CAEEL	unc-43		6.00715e+06
G5EDZ7				2.28369e+06
G5EDZ9	CPI1_CAEEL	cpi-1	Cystatin cpi-1	8.22501e+06
G5EE04				1.16557e+07
G5EE11				3.68523e+06
G5EE12				3.43976e+06
G5EE41				4.08568e+06
G5EE42				2.84162e+06
G5EE46				7.22811e+06
G5EE67				2.6498e+06
G5EE74				8.72971e+06
G5EE80				8.6747e+06
G5EEA2				2.81188e+06
G5EEA8				2.33115e+07
G5EEE5				1.33029e+07
G5EEG4				1.35578e+07
G5EEG7	SMU1_CAEEL	smu-1	Smu-1 suppressor of mec-8 and unc-52 protein	681062
G5EEH6				1.171e+07
G5EEH9	NUP98_CAEEL	npp-10	Nuclear pore complex protein Nup98-Nup96	3.40383e+06
G5EEI4	ASP1_CAEEL	asp-1	Aspartic protease 1	6.12202e+07
G5EEJ7				1.31295e+07
G5EEK2				1.23657e+06
G5EEK8				2.05566e+07
G5EEK9				7.89173e+06
G5EEL2				582568
G5EEM5	ZYG9_CAEEL	zyg-9	Zygote defective protein 9	1.27624e+06
G5EEN7				742153
G5EEQ8				6.56561e+06
G5EER7;G5EG67				454827
G5EES3;G5EGR6				2.23989e+06
G5EES6;G5EFK5	UFD3_CAEEL	ufd-3	Ubiquitin fusion degradation protein 3 homolog	3.21974e+06
G5EES9				7.81947e+06
G5EET2				2.99646e+06
G5EET3				1.63654e+06
G5EET8				4.4038e+07
G5EEV5;H2KZS1				5.61196e+06
G5EF01				2.75515e+06
G5EF05				4.08777e+06
G5EF32				5.18266e+07
G5EF37				6.52747e+07
G5EF60	STIM1_CAEEL	stim-1	Stromal interaction molecule 1	2.08673e+06
G5EF86				2.34231e+06
G5EF87;H8ESF3				6.26362e+06
G5EF97				468620
G5EF99				1.49676e+06
G5EFB5				7.06964e+06
G5EFC1				5.72263e+06
G5EFC4				4.55513e+06
G5EFC8				795787
G5EFD1				1.16917e+07
G5EFD4				1.53181e+06
G5EFE3				1.3057e+07
G5EFF8;Q304D5				4.31001e+06
G5EFF9;G5EG28				920852
G5EFG4				1.33577e+07
G5EFH8				3.18945e+06
G5EFI4				1.75932e+07
G5EFK4				6.01925e+06
G5EFL5				7.45979e+06
G5EFP3				568916
G5EFP4				2.33254e+06
G5EFS2				2.97515e+06
G5EFS4	DCPS_CAEEL	dcs-1	m7GpppX diphosphatase	1.31043e+06
G5EFS5;Q9N5T2				4.05075e+07
G5EFV4				1.09914e+07
G5EFY6				860094
G5EFZ1	GPMI_CAEEL	ipgm-1	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	1.78742e+07
G5EFZ5;G5EG22				3.09011e+06
G5EG13				8.02356e+06
G5EG18				2.00667e+06
G5EG26				1.26216e+06
G5EG50				1.97737e+06
G5EG58				1.16349e+06
G5EG62				2.92188e+06
G5EGA5	FAT2_CAEEL	fat-2	Delta(12) fatty acid desaturase fat-2	4.97145e+07
G5EGA6	DHRS4_CAEEL	dhrs-4	Dehydrogenase/reductase SDR family member 4	1.90117e+06
G5EGA7				941544
G5EGB1				9.12352e+07
G5EGG0;Q2EEM5				1.19512e+06
G5EGK1				7.247e+06
G5EGK8	PP2A_CAEEL	let-92	Serine/threonine-protein phosphatase 2A catalytic subunit	4.81289e+06
G5EGL2				1.2984e+07
G5EGN2	FAT6_CAEEL	fat-6	Delta(9)-fatty-acid desaturase fat-6	1.09179e+06
G5EGP4				5.89959e+06
G5EGP8	CATZ1_CAEEL	cpz-1	Cathepsin Z-1	1.78725e+07
G5EGS9				196664
G5EGT7				4.13794e+06
G5EGU1				5.15935e+06
G8JY31;Q21268	YMSO_CAEEL	K07C11.7		1.90136e+06
G8JY38;P05690	VIT2_CAEEL	vit-2		1.20106e+08
G8JY40;P43510;Q8MQC6	CPR6_CAEEL	cpr-6		1.89709e+07
G8JY63;Q19200	STO1_CAEEL	sto-1		470798
G8JY83;P0CG71	UBIQ1_CAEEL	ubq-1		1.34994e+07
G8JY94;Q21067	IFC2_CAEEL	ifc-2		7.16695e+07
G8JYG1;Q9U757	NXT1_CAEEL	nxt-1		6.27081e+06
G8XYY4;O01839	VPS51_CAEEL	vps-51		9.91711e+07
H1ZUV6;O01824	PDXK_CAEEL	pdxk-1		1.02657e+06
H2FLJ1				8.84793e+06
H2FLK8				3.41656e+07
H2FLK9				1.33283e+06
H2KMJ3				2.94918e+06
H2KMK6				1.63877e+06
H2KYC4;H2KYC6				7.41423e+06
H2KYC9;Q8MQF7;V6CLC8				2.17496e+06
H2KYD7;Q7YZW5	VEM1_CAEEL	vem-1		2.18405e+06
H2KYE0;Q9UAN9	NRA4_CAEEL	nra-4	Nicotinic receptor-associated protein 4	7.50238e+06
H2KYH5;Q95QX5				3.66054e+06
H2KYI5;Q86NI2				9.08794e+06
H2KYJ2				5.56943e+06
H2KYJ5				7.94471e+06
H2KYM1				4.19266e+06
H2KYP1;Q8I7L5				1.23015e+06
H2KYQ2;H2KYQ3;Q17921				1.49742e+06
H2KYQ5	GYG1_CAEEL	gyg-1	Glycogenin-1	8.72873e+06
H2KYR1				6.57905e+07
H2KYS8;Q7JPE2	CPNA1_CAEEL	cpna-1	Copine family protein 1	1.5528e+06
H2KYU6;Q95QZ7	NPL41_CAEEL	npl-4.1	Nuclear protein localization protein 4 homolog 1	3.1525e+06
H2KYV1				7.45618e+06
H2KYV3;Q18076				8.95974e+06
H2KYV9;Q86NJ8				844274
H2KYX9;H2KYY0;U4PRA9				2.08507e+06
H2KYY4;Q95QA6	PAT12_CAEEL	pat-12		1.75336e+07
H2KZ18;H2KZ19				3.64876e+06
H2KZ37				5.93641e+06
H2KZ48				851476
H2KZ73;H8W3Y1;Q8T3B7				3.71593e+06
H2KZA2;Q95Q55				9.46133e+06
H2KZA5;Q8ITY8				433398
H2KZA6;Q8ITY9				1.38497e+06
H2KZD5;Q27GU1				3.74855e+06
H2KZG6				1.71604e+08
H2KZJ5				7.07925e+06
H2KZK7;Q965K3				1.95324e+06
H2KZL7;Q8IG31				9.25555e+07
H2KZR3;O76566				2.10955e+06
H2KZS4				6.53842e+06
H2KZV5				1.46812e+07
H2KZV8;L8E6X8;Q9GP94;Q9GP96				3.3503e+07
H2KZX4;Q7JP80				4.54435e+06
H2L003;Q3Y409				301671
H2L034				7.2479e+06
H2L045;H2L046	TENSH_CAEEL	tns-1	Tensin homolog	3.22509e+06
H2L048;Q8MQ42				6.04979e+06
H2L056;Q6A589	UBXN3_CAEEL	ubxn-3	UBX domain-containing protein 3	1.93811e+06
H2L099;H2L0A0;Q6ABW4	GCK1_CAEEL	gck-1	Germinal center kinase 1	1.70705e+06
H2L0C0				1.87352e+06
H2L0D5;Q21164				574241
H2L0G7;Q9BKS2				3.0494e+06
H2L0I2				2.41119e+07
H2L0M0;Q9GZI3				4.64399e+06
H2L0N0;H2L0N1;O01619;Q95ZK4				1.90171e+06
H2L0N9				1.13762e+07
H2L0Q1;Q6EZG8				8.6872e+06
H2L0Q6;Q9N3F8				6.00402e+06
H2L2A8;Q19583;Q9U3I7				484993
H2L2E8;O18688				2.47766e+07
H2L2J5;H2L2J6;O02238				1.9974e+06
H7BZ55	CRCC2_HUMAN	CROCC2	Putative ciliary rootlet coiled-coil protein 2	8.29311e+06
H9G2R0;H9G2R1;H9G2S0;Q19191	YZ10_CAEEL	F08B12.4		3.12873e+06
H9G2T4;Q21032				9.10716e+07
H9G2V4;Q20471	KIN20_CAEEL	kin-20		932332
H9G340;H9G341;Q9XTW9				3.7851e+06
I2HA82;Q22267	PLC2_CAEEL	acl-2		1.41255e+06
I2HA91				947857
I2HA98;P90925	PH4H_CAEEL	pah-1		6.61153e+06
I2HAF6;Q9U1S2				1.43586e+07
I2HAG1;Q09581	LEC3_CAEEL	lec-3		7.34406e+07
I2HAL2;Q94051	CAV1_CAEEL	cav-1		1.9707e+06
K8ERV5				4.98365e+06
K8ES47;Q9NF23				1.19944e+06
K8ESC3				1.43048e+06
K8ESC5;Q9NA30	ATG41_CAEEL	atg-4.1	Cysteine protease atg-4.1	514963
K8ESE2;O45391				9.51264e+06
K8ESM2				3.84561e+06
K8FDY0;Q93636				7.78608e+06
K8FE02;Q21605				5.27596e+06
L8E817				2.44204e+06
M1Z854;Q19286	IFB2_CAEEL	ifb-2		9.3569e+07
M1Z882				416097
N1NTN5;Q17971				1.83834e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	5.53709e+06
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	1.53588e+07
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	1.10526e+07
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	2.50014e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	1.18235e+07
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	2.6002e+07
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	2.26807e+07
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	7.43357e+06
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	3.58314e+06
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	2.85298e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	9.02233e+06
O00180	KCNK1_HUMAN	KCNK1	Potassium channel subfamily K member 1	1.80862e+06
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	1.28115e+07
O00193	SMAP_HUMAN	SMAP	Small acidic protein	7.51339e+07
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	1.23433e+06
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	6.37735e+06
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	4.01437e+07
O00220	TR10A_HUMAN	TNFRSF10A	Tumor necrosis factor receptor superfamily member 10A	683291
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	2.00105e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	1.75624e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	1.64348e+07
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	1.2579e+07
O00255	MEN1_HUMAN	MEN1	Menin	961002
O00257	CBX4_HUMAN	CBX4	E3 SUMO-protein ligase CBX4	2.96244e+06
O00258	GET1_HUMAN	GET1	Guided entry of tail-anchored proteins factor 1	579686
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	3.61878e+07
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	1.73543e+07
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	1.65647e+06
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	9.11694e+06
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	268624
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	1.30511e+08
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	3.10973e+07
O00308	WWP2_HUMAN	WWP2	NEDD4-like E3 ubiquitin-protein ligase WWP2	562449
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	9.39915e+06
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	3.4023e+06
O00400	ACATN_HUMAN	SLC33A1	Acetyl-coenzyme A transporter 1	1.77798e+06
O00401	WASL_HUMAN	WASL	Neural Wiskott-Aldrich syndrome protein	493892
O00410	IPO5_HUMAN	IPO5	Importin-5	3.44052e+07
O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial	259414
O00418	EF2K_HUMAN	EEF2K	Eukaryotic elongation factor 2 kinase	5.3137e+06
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	5.71668e+07
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	4.58392e+07
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	2.48424e+07
