Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\E20201002yuanch_Connie_TCPA_60minDIA_b4-5.mzML
A2NJV5	KV229_HUMAN	IGKV2-29	Immunoglobulin kappa variable 2-29	6.93346e+06
A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	6.95561e+06
A2RUB1	MEIOC_HUMAN	MEIOC	Meiosis-specific coiled-coil domain-containing protein MEIOC	2.81244e+07
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	3.15953e+07
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	1.11815e+06
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	2.81105e+07
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	1.15683e+07
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	3.80016e+07
A6NCE7	MP3B2_HUMAN	MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	8.02952e+06
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	1.17503e+07
A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	1.32899e+07
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	4.64283e+06
A6NHQ2	FBLL1_HUMAN	FBLL1	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1	1.33027e+07
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	7.78926e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	1.79083e+07
A6NKD9	CC85C_HUMAN	CCDC85C	Coiled-coil domain-containing protein 85C	3.24789e+06
A6NMZ7	CO6A6_HUMAN	COL6A6	Collagen alpha-6(VI) chain	5.59205e+07
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	5.38056e+06
A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	3.78885e+06
A8MVW0	F1712_HUMAN	FAM171A2	Protein FAM171A2	1.93853e+07
A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	1.1269e+07
A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	5.34071e+06
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	7.88806e+06
B7ZAQ6	GPHRA_HUMAN	GPR89A	Golgi pH regulator A	1.66385e+07
B9A064	IGLL5_HUMAN	IGLL5	Immunoglobulin lambda-like polypeptide 5	1.35315e+07
C4AMC7	WASH3_HUMAN	WASH3P	Putative WAS protein family homolog 3	7.92734e+06
C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	1.82313e+07
E9PAV3	NACAM_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1.16662e+08
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	2.40319e+07
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	4.45238e+06
L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	5.9833e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	3.97547e+06
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	6.07765e+07
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	1.92164e+07
O00142	KITM_HUMAN	TK2	Thymidine kinase 2, mitochondrial	2.27123e+07
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	1.91293e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	8.65151e+07
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	5.886e+07
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	1.86872e+08
O00160	MYO1F_HUMAN	MYO1F	Unconventional myosin-If	1.77939e+07
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	2.39109e+07
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	3.4566e+06
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	4.08009e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	1.43492e+07
O00182	LEG9_HUMAN	LGALS9	Galectin-9	3.50787e+07
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	2.87665e+07
O00192	ARVC_HUMAN	ARVCF	Splicing regulator ARVCF	5.31784e+06
O00193	SMAP_HUMAN	SMAP	Small acidic protein	8.09755e+06
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	1.81845e+07
O00213	APBB1_HUMAN	APBB1	Amyloid beta precursor protein binding family B member 1	4.52994e+06
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	3.36914e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	1.90716e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	1.86878e+07
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	7.39549e+06
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	5.75535e+08
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	3.72729e+07
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	2.66444e+06
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	2.08993e+07
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	1.69351e+07
O00292	LFTY2_HUMAN	LEFTY2	Left-right determination factor 2	6.11593e+06
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	1.9449e+08
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	5.15726e+07
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	2.25744e+06
O00339	MATN2_HUMAN	MATN2	Matrilin-2	3.4205e+07
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	2.33216e+08
O00401	WASL_HUMAN	WASL	Actin nucleation-promoting factor WASL	1.58251e+08
O00410	IPO5_HUMAN	IPO5	Importin-5	2.62358e+07
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	3.56459e+06
O00423	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1	7.08066e+06
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	3.13097e+07
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	1.18771e+07
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	6.80128e+06
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	2.18318e+06
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	1.53056e+07
O00468	AGRIN_HUMAN	AGRN	Agrin	5.15681e+07
O00470	MEIS1_HUMAN	MEIS1	Homeobox protein Meis1	2.68936e+07
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	1.58081e+08
O00478	BT3A3_HUMAN	BTN3A3	Butyrophilin subfamily 3 member A3	1.01869e+07
O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	1.21467e+07
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	4.06319e+07
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	2.76311e+07
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	1.07281e+07
O00506	STK25_HUMAN	STK25	Serine/threonine-protein kinase 25	3.64146e+06
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	2.24041e+07
O00541	PESC_HUMAN	PES1	Pescadillo homolog	6.18807e+06
O00562	PITM1_HUMAN	PITPNM1	Membrane-associated phosphatidylinositol transfer protein 1	1.03976e+07
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	6.19824e+06
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	4.01849e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	4.24815e+08
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	1.237e+07
O00592	PODXL_HUMAN	PODXL	Podocalyxin	5.61041e+07
O00625	PIR_HUMAN	PIR	Pirin	1.44253e+07
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	3.17226e+07
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	1.54086e+07
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	1.31924e+07
O00746	NDKM_HUMAN	NME4	Nucleoside diphosphate kinase, mitochondrial	7.65577e+06
O00750	P3C2B_HUMAN	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	2.09556e+07
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	4.16017e+07
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	3.41685e+07
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	1.19822e+07
O14498	ISLR_HUMAN	ISLR	Immunoglobulin superfamily containing leucine-rich repeat protein	3.71274e+07
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	2.2581e+06
O14531	DPYL4_HUMAN	DPYSL4	Dihydropyrimidinase-related protein 4	2.8171e+07
O14558	HSPB6_HUMAN	HSPB6	Heat shock protein beta-6	7.70189e+08
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	1.18228e+07
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	1.96235e+07
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	6.06071e+07
O14593	RFXK_HUMAN	RFXANK	DNA-binding protein RFXANK	2.03858e+06
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	2.03742e+07
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	6.03589e+07
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	1.14699e+07
O14641	DVL2_HUMAN	DVL2	Segment polarity protein dishevelled homolog DVL-2	9.99902e+06
O14646	CHD1_HUMAN	CHD1	Chromodomain-helicase-DNA-binding protein 1	4.08981e+06
O14653	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2	1.29377e+07
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	9.68945e+06
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	1.84621e+06
O14662	STX16_HUMAN	STX16	Syntaxin-16	5.43186e+06
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	9.45813e+06
O14683	P5I11_HUMAN	TP53I11	Tumor protein p53-inducible protein 11	2.8263e+06
O14684	PTGES_HUMAN	PTGES	Prostaglandin E synthase	2.8414e+07
O14733	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	1.00587e+07
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	3.48851e+07
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	6.461e+07
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	1.14156e+07
O14745	NHRF1_HUMAN	NHERF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	2.55488e+07
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	1.37972e+08
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	2.71687e+07
O14786	NRP1_HUMAN	NRP1	Neuropilin-1	2.35672e+07
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	7.5119e+06
O14791	APOL1_HUMAN	APOL1	Apolipoprotein L1	2.13866e+07
O14802	RPC1_HUMAN	POLR3A	DNA-directed RNA polymerase III subunit RPC1	9.66663e+06
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	7.92955e+07
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	1.09256e+08
O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	1.46622e+07
O14874	BCKD_HUMAN	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	1.60623e+07
O14880	MGST3_HUMAN	MGST3	Glutathione S-transferase 3, mitochondrial	2.87192e+06
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	1.39847e+08
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	9.40831e+06
O14910	LIN7A_HUMAN	LIN7A	Protein lin-7 homolog A	8.9095e+06
O14920	IKKB_HUMAN	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	1.89237e+07
O14924	RGS12_HUMAN	RGS12	Regulator of G-protein signaling 12	4.13619e+08
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	1.25444e+07
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	2.10541e+07
O14939	PLD2_HUMAN	PLD2	Phospholipase D2	418010
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	7.98626e+07
O14950	ML12B_HUMAN	MYL12B	Myosin regulatory light chain 12B	6.23307e+08
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	4.89359e+07
O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	2.71163e+06
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	6.26662e+07
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	1.25737e+07
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	1.55662e+08
O14980	XPO1_HUMAN	XPO1	Exportin-1	7.67202e+07
O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	4.76679e+06
O15013	ARHGA_HUMAN	ARHGEF10	Rho guanine nucleotide exchange factor 10	8.82662e+06
O15020	SPTN2_HUMAN	SPTBN2	Spectrin beta chain, non-erythrocytic 2	1.22571e+07
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	1.28932e+07
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	1.78275e+07
O15040	TCPR2_HUMAN	TECPR2	Tectonin beta-propeller repeat-containing protein 2	2.12052e+07
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	1.22911e+08
O15047	SET1A_HUMAN	SETD1A	Histone-lysine N-methyltransferase SETD1A	2.32068e+07
O15061	SYNEM_HUMAN	SYNM	Synemin	1.97265e+07
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	2.6212e+07
O15078	CE290_HUMAN	CEP290	Centrosomal protein of 290 kDa	8.807e+08
O15085	ARHGB_HUMAN	ARHGEF11	Rho guanine nucleotide exchange factor 11	4.97941e+06
O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1	2.45721e+07
O15121	DEGS1_HUMAN	DEGS1	Sphingolipid delta(4)-desaturase DES1	6.90434e+06
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	4.17126e+07
O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	2.59808e+07
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	6.92447e+07
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	1.00534e+08
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	2.61195e+08
O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	1.82792e+07
O15164	TIF1A_HUMAN	TRIM24	Transcription intermediary factor 1-alpha	2.69921e+06
O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	1.54776e+08
O15211	RGL2_HUMAN	RGL2	Ral guanine nucleotide dissociation stimulator-like 2	2.30973e+06
O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	3.69683e+07
O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	4.94148e+07
O15231	ZN185_HUMAN	ZNF185	Zinc finger protein 185	3.76781e+07
O15239	NDUA1_HUMAN	NDUFA1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1	5.26576e+06
O15247	CLIC2_HUMAN	CLIC2	Chloride intracellular channel protein 2	2.52292e+07
O15254	ACOX3_HUMAN	ACOX3	Peroxisomal acyl-coenzyme A oxidase 3	1.43024e+06
O15258	RER1_HUMAN	RER1	Protein RER1	3.81666e+07
O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	1.10563e+08
O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	1.73588e+07
O15270	SPTC2_HUMAN	SPTLC2	Serine palmitoyltransferase 2	3.98278e+06
O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	1.18448e+07
O15297	PPM1D_HUMAN	PPM1D	Protein phosphatase 1D	3.25731e+08
O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	1.18592e+07
O15321	TM9S1_HUMAN	TM9SF1	Transmembrane 9 superfamily member 1	1.64065e+07
O15327	INP4B_HUMAN	INPP4B	Inositol polyphosphate 4-phosphatase type II	6.73707e+06
O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	1.89887e+07
O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	3.10776e+07
O15357	SHIP2_HUMAN	INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	9.14006e+06
O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	2.00521e+07
O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	1.46435e+07
O15382	BCAT2_HUMAN	BCAT2	Branched-chain-amino-acid aminotransferase, mitochondrial	1.48152e+07
O15397	IPO8_HUMAN	IPO8	Importin-8	5.29287e+06
O15400	STX7_HUMAN	STX7	Syntaxin-7	4.92144e+07
O15427	MOT4_HUMAN	SLC16A3	Monocarboxylate transporter 4	5.26955e+06
O15439	MRP4_HUMAN	ABCC4	ATP-binding cassette sub-family C member 4	4.85206e+06
O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2	2.10887e+07
O15484	CAN5_HUMAN	CAPN5	Calpain-5	2.39307e+07
O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6	1.11493e+07
O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	1.271e+08
O15533	TPSN_HUMAN	TAPBP	Tapasin	1.73662e+07
O43143	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	5.99763e+07
O43148	MCES_HUMAN	RNMT	mRNA cap guanine-N7 methyltransferase	3.65453e+06
O43150	ASAP2_HUMAN	ASAP2	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2	6.24777e+06
O43155	FLRT2_HUMAN	FLRT2	Leucine-rich repeat transmembrane protein FLRT2	1.23422e+07
O43159	RRP8_HUMAN	RRP8	Ribosomal RNA-processing protein 8	8.80342e+06
O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B	7.13675e+07
O43172	PRP4_HUMAN	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	2.11015e+07
O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	5.6822e+07
O43181	NDUS4_HUMAN	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	1.70269e+07
O43187	IRAK2_HUMAN	IRAK2	Interleukin-1 receptor-associated kinase-like 2	1.45241e+09
O43189	PHF1_HUMAN	PHF1	PHD finger protein 1	1.19088e+07
O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	6.01958e+07
O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	3.66482e+07
O43251	RFOX2_HUMAN	RBFOX2	RNA binding protein fox-1 homolog 2	2.3227e+07
O43252	PAPS1_HUMAN	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1	2.78813e+07
O43264	ZW10_HUMAN	ZW10	Centromere/kinetochore protein zw10 homolog	2.65067e+08
O43281	EFS_HUMAN	EFS	Embryonal Fyn-associated substrate	8.21128e+06
O43290	SNUT1_HUMAN	SART1	U4/U6.U5 tri-snRNP-associated protein 1	1.64198e+07
O43292	GPAA1_HUMAN	GPAA1	Glycosylphosphatidylinositol anchor attachment 1 protein	2.98295e+07
O43293	DAPK3_HUMAN	DAPK3	Death-associated protein kinase 3	6.50303e+06
O43294	TGFI1_HUMAN	TGFB1I1	Transforming growth factor beta-1-induced transcript 1 protein	6.52799e+07
O43301	HS12A_HUMAN	HSPA12A	Heat shock 70 kDa protein 12A	1.62659e+08
O43310	CTIF_HUMAN	CTIF	CBP80/20-dependent translation initiation factor	2.42819e+06
O43314	VIP2_HUMAN	PPIP5K2	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	3.1314e+06
O43318	M3K7_HUMAN	MAP3K7	Mitogen-activated protein kinase kinase kinase 7	4.87367e+06
O43324	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	1.96932e+07
O43353	RIPK2_HUMAN	RIPK2	Receptor-interacting serine/threonine-protein kinase 2	1.3157e+08
O43374	RASL2_HUMAN	RASA4	Ras GTPase-activating protein 4	1.01602e+06
O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	2.4986e+08
O43395	PRPF3_HUMAN	PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	6.83386e+06
O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1	6.92565e+07
O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54	9.66629e+07
O43427	FIBP_HUMAN	FIBP	Acidic fibroblast growth factor intracellular-binding protein	1.50527e+07
O43432	IF4G3_HUMAN	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3	4.42128e+06
O43447	PPIH_HUMAN	PPIH	Peptidyl-prolyl cis-trans isomerase H	2.03018e+07
O43464	HTRA2_HUMAN	HTRA2	Serine protease HTRA2, mitochondrial	2.17336e+07
O43488	ARK72_HUMAN	AKR7A2	Aflatoxin B1 aldehyde reductase member 2	1.53975e+08
O43491	E41L2_HUMAN	EPB41L2	Band 4.1-like protein 2	5.08698e+07
O43504	LTOR5_HUMAN	LAMTOR5	Ragulator complex protein LAMTOR5	4.08531e+07
O43516	WIPF1_HUMAN	WIPF1	WAS/WASL-interacting protein family member 1	1.94479e+07
O43521	B2L11_HUMAN	BCL2L11	Bcl-2-like protein 11	4.18249e+06
O43556	SGCE_HUMAN	SGCE	Epsilon-sarcoglycan	2.62358e+07
O43561	LAT_HUMAN	LAT	Linker for activation of T-cells family member 1	1.35055e+07
O43583	DENR_HUMAN	DENR	Density-regulated protein	8.13927e+06
O43592	XPOT_HUMAN	XPOT	Exportin-T	1.12602e+07
O43598	DNPH1_HUMAN	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	9.77214e+07
O43615	TIM44_HUMAN	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	1.09181e+07
