Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\E20200929yuanch_Connie_TCPA_60minDIA_b2-2.mzML
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	9.38858e+07
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	1.34088e+07
O00592	PODXL_HUMAN	PODXL	Podocalyxin	7.06004e+06
O00625	PIR_HUMAN	PIR	Pirin	4.53341e+06
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	1.59298e+07
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	1.10129e+07
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	8.84741e+06
O00750	P3C2B_HUMAN	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	2.41527e+07
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	2.14039e+07
O00757	F16P2_HUMAN	FBP2	Fructose-1,6-bisphosphatase isozyme 2	2.7734e+07
O00763	ACACB_HUMAN	ACACB	Acetyl-CoA carboxylase 2	1.90462e+06
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	1.58133e+08
O14495	PLPP3_HUMAN	PLPP3	Phospholipid phosphatase 3	1.5442e+06
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	2.01851e+06
O14498	ISLR_HUMAN	ISLR	Immunoglobulin superfamily containing leucine-rich repeat protein	8.36678e+06
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	787139
O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	9.04254e+06
O14558	HSPB6_HUMAN	HSPB6	Heat shock protein beta-6	8.77489e+07
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	2.70029e+07
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	5.77151e+06
O14569	C56D2_HUMAN	CYB561D2	Transmembrane reductase CYB561D2	1.03263e+06
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	8.25018e+07
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	2.06757e+07
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	1.32321e+07
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	1.03418e+07
O14647	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2	1.05863e+06
O14653	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2	1.85689e+07
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	4.56403e+06
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	2.31191e+06
O14662	STX16_HUMAN	STX16	Syntaxin-16	5.32996e+06
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	1.13062e+07
O14683	P5I11_HUMAN	TP53I11	Tumor protein p53-inducible protein 11	3.08283e+06
O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	1.33522e+08
O14733	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	2.27516e+06
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	1.75794e+07
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	3.42473e+07
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	5.7387e+07
O14745	NHRF1_HUMAN	NHERF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	3.31563e+07
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	1.01102e+08
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	1.17618e+07
O14786	NRP1_HUMAN	NRP1	Neuropilin-1	1.21109e+07
O14791	APOL1_HUMAN	APOL1	Apolipoprotein L1	5.06237e+06
O14795	UN13B_HUMAN	UNC13B	Protein unc-13 homolog B	1.76563e+06
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	7.93335e+07
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	1.88333e+07
O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	1.40552e+07
O14874	BCKD_HUMAN	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	4.23812e+07
O14896	IRF6_HUMAN	IRF6	Interferon regulatory factor 6	2.18336e+06
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	2.63586e+07
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	5.70363e+06
O14910	LIN7A_HUMAN	LIN7A	Protein lin-7 homolog A	2.11077e+07
O14920	IKKB_HUMAN	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	4.55529e+06
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	5.30318e+06
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	1.51641e+07
O14939	PLD2_HUMAN	PLD2	Phospholipase D2	341096
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	4.86074e+07
O14950	ML12B_HUMAN	MYL12B	Myosin regulatory light chain 12B	3.22155e+08
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	1.97348e+07
O14966	RAB7L_HUMAN	RAB29	Ras-related protein Rab-7L1	8.82794e+06
O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	5.32563e+06
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	1.14398e+07
O14975	S27A2_HUMAN	SLC27A2	Long-chain fatty acid transport protein 2	2.38761e+06
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	1.0538e+07
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	7.66352e+07
O14980	XPO1_HUMAN	XPO1	Exportin-1	3.06872e+07
O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	1.76841e+06
O15020	SPTN2_HUMAN	SPTBN2	Spectrin beta chain, non-erythrocytic 2	1.91538e+07
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	7.76693e+07
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	1.39466e+07
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	1.09665e+07
O15061	SYNEM_HUMAN	SYNM	Synemin	4.1548e+06
O15066	KIF3B_HUMAN	KIF3B	Kinesin-like protein KIF3B	1.62748e+06
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	2.58205e+07
O15075	DCLK1_HUMAN	DCLK1	Serine/threonine-protein kinase DCLK1	4.69161e+06
O15084	ANR28_HUMAN	ANKRD28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	9.60268e+06
O15085	ARHGB_HUMAN	ARHGEF11	Rho guanine nucleotide exchange factor 11	4.49198e+06
O15111	IKKA_HUMAN	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha	2.29775e+06
O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1	7.17119e+06
O15120	PLCB_HUMAN	AGPAT2	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	3.32406e+08
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	1.06696e+08
O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	2.75844e+07
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	1.4995e+08
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	6.27256e+07
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	1.29567e+08
O15155	BET1_HUMAN	BET1	BET1 homolog	5.62872e+06
O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	1.52575e+07
O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	1.33429e+08
O15211	RGL2_HUMAN	RGL2	Ral guanine nucleotide dissociation stimulator-like 2	5.39701e+06
O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	1.47045e+07
O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	1.73027e+08
O15239	NDUA1_HUMAN	NDUFA1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1	9.87417e+06
O15240	VGF_HUMAN	VGF	Neurosecretory protein VGF	2.65794e+06
O15247	CLIC2_HUMAN	CLIC2	Chloride intracellular channel protein 2	1.03e+07
O15258	RER1_HUMAN	RER1	Protein RER1	2.08577e+07
O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	1.35492e+08
O15264	MK13_HUMAN	MAPK13	Mitogen-activated protein kinase 13	6.03176e+07
O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	1.2311e+07
O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	6.68053e+06
O15297	PPM1D_HUMAN	PPM1D	Protein phosphatase 1D	4.15103e+08
O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	1.07002e+08
O15321	TM9S1_HUMAN	TM9SF1	Transmembrane 9 superfamily member 1	9.46477e+06
O15327	INP4B_HUMAN	INPP4B	Inositol polyphosphate 4-phosphatase type II	2.16164e+06
O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	7.41868e+06
O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	7.22017e+06
O15357	SHIP2_HUMAN	INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	1.76257e+06
O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	6.92887e+07
O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	2.64263e+07
O15382	BCAT2_HUMAN	BCAT2	Branched-chain-amino-acid aminotransferase, mitochondrial	8.70819e+07
O15397	IPO8_HUMAN	IPO8	Importin-8	3.51395e+06
O15400	STX7_HUMAN	STX7	Syntaxin-7	4.55002e+07
O15431	COPT1_HUMAN	SLC31A1	High affinity copper uptake protein 1	1.14759e+07
O15438	MRP3_HUMAN	ABCC3	ATP-binding cassette sub-family C member 3	2.13147e+06
O15439	MRP4_HUMAN	ABCC4	ATP-binding cassette sub-family C member 4	1.26328e+06
O15455	TLR3_HUMAN	TLR3	Toll-like receptor 3	2.3831e+06
O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2	5.81931e+06
O15484	CAN5_HUMAN	CAPN5	Calpain-5	4.41164e+06
O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6	1.97408e+07
O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	1.14175e+08
O15530	PDPK1_HUMAN	PDPK1	3-phosphoinositide-dependent protein kinase 1	2.25898e+06
O15533	TPSN_HUMAN	TAPBP	Tapasin	6.28235e+07
O15551	CLD3_HUMAN	CLDN3	Claudin-3	6.8031e+06
O43143	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	4.08583e+07
O43148	MCES_HUMAN	RNMT	mRNA cap guanine-N7 methyltransferase	2.05984e+06
O43149	ZZEF1_HUMAN	ZZEF1	Zinc finger ZZ-type and EF-hand domain-containing protein 1	4.29677e+06
O43155	FLRT2_HUMAN	FLRT2	Leucine-rich repeat transmembrane protein FLRT2	3.80968e+06
O43159	RRP8_HUMAN	RRP8	Ribosomal RNA-processing protein 8	4.33209e+06
O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B	3.5714e+07
O43172	PRP4_HUMAN	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	2.84022e+07
O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	3.13136e+08
O43181	NDUS4_HUMAN	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	2.70108e+07
O43187	IRAK2_HUMAN	IRAK2	Interleukin-1 receptor-associated kinase-like 2	5.64442e+08
O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	2.73536e+07
O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	4.06607e+07
O43251	RFOX2_HUMAN	RBFOX2	RNA binding protein fox-1 homolog 2	4.03736e+06
O43252	PAPS1_HUMAN	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1	1.45664e+07
O43264	ZW10_HUMAN	ZW10	Centromere/kinetochore protein zw10 homolog	5.57012e+07
O43290	SNUT1_HUMAN	SART1	U4/U6.U5 tri-snRNP-associated protein 1	8.79037e+06
O43292	GPAA1_HUMAN	GPAA1	Glycosylphosphatidylinositol anchor attachment 1 protein	6.93338e+06
O43294	TGFI1_HUMAN	TGFB1I1	Transforming growth factor beta-1-induced transcript 1 protein	1.19596e+07
O43301	HS12A_HUMAN	HSPA12A	Heat shock 70 kDa protein 12A	6.67804e+06
O43310	CTIF_HUMAN	CTIF	CBP80/20-dependent translation initiation factor	1.23066e+06
O43314	VIP2_HUMAN	PPIP5K2	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	1.80158e+06
O43318	M3K7_HUMAN	MAP3K7	Mitogen-activated protein kinase kinase kinase 7	2.33701e+06
O43324	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	4.19667e+07
O43374	RASL2_HUMAN	RASA4	Ras GTPase-activating protein 4	705514
O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	1.61817e+08
O43395	PRPF3_HUMAN	PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	7.66097e+06
O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1	3.00949e+07
O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54	4.05107e+07
O43402	EMC8_HUMAN	EMC8	ER membrane protein complex subunit 8	2.69999e+07
O43427	FIBP_HUMAN	FIBP	Acidic fibroblast growth factor intracellular-binding protein	6.29183e+06
O43432	IF4G3_HUMAN	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3	9.16987e+07
O43447	PPIH_HUMAN	PPIH	Peptidyl-prolyl cis-trans isomerase H	1.07574e+07
O43464	HTRA2_HUMAN	HTRA2	Serine protease HTRA2, mitochondrial	8.54131e+06
O43488	ARK72_HUMAN	AKR7A2	Aflatoxin B1 aldehyde reductase member 2	1.08568e+08
O43491	E41L2_HUMAN	EPB41L2	Band 4.1-like protein 2	2.30511e+07
O43493	TGON2_HUMAN	TGOLN2	Trans-Golgi network integral membrane protein 2	5.63817e+07
O43504	LTOR5_HUMAN	LAMTOR5	Ragulator complex protein LAMTOR5	2.21351e+07
O43520	AT8B1_HUMAN	ATP8B1	Phospholipid-transporting ATPase IC	3.85289e+06
O43521	B2L11_HUMAN	BCL2L11	Bcl-2-like protein 11	454900
O43570	CAH12_HUMAN	CA12	Carbonic anhydrase 12	1.56465e+07
O43583	DENR_HUMAN	DENR	Density-regulated protein	1.6919e+07
O43592	XPOT_HUMAN	XPOT	Exportin-T	1.09463e+07
O43598	DNPH1_HUMAN	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	1.42538e+08
O43615	TIM44_HUMAN	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	6.39178e+06
O43617	TPPC3_HUMAN	TRAPPC3	Trafficking protein particle complex subunit 3	2.12668e+07
O43633	CHM2A_HUMAN	CHMP2A	Charged multivesicular body protein 2a	1.86823e+07
O43639	NCK2_HUMAN	NCK2	Cytoplasmic protein NCK2	3.92552e+06
O43660	PLRG1_HUMAN	PLRG1	Pleiotropic regulator 1	7.60869e+06
O43670	ZN207_HUMAN	ZNF207	BUB3-interacting and GLEBS motif-containing protein ZNF207	1.9424e+07
O43674	NDUB5_HUMAN	NDUFB5	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial	1.35326e+07
O43676	NDUB3_HUMAN	NDUFB3	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3	1.62037e+07
