Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\E20200929yuanch_Connie_TCPA_60minDIA_b2-14.mzML
A0PJZ3	GXLT2_HUMAN	GXYLT2	Glucoside xylosyltransferase 2	948924
A1A4S6	RHG10_HUMAN	ARHGAP10	Rho GTPase-activating protein 10	2.79432e+06
A1IGU5	ARH37_HUMAN	ARHGEF37	Rho guanine nucleotide exchange factor 37	2.29923e+06
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	5.17463e+06
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	4.23056e+07
A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	1.09682e+07
A2RUB1	MEIOC_HUMAN	MEIOC	Meiosis-specific coiled-coil domain-containing protein MEIOC	7.9668e+07
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	8.30035e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	2.24792e+06
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	8.59406e+06
A5A3E0	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F	6.08363e+06
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	7.7862e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	1.20714e+07
A6NCE7	MP3B2_HUMAN	MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1.72968e+07
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	7.03739e+06
A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	7.80321e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	7.18907e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	1.22341e+07
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	2.09722e+06
A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	1.97834e+06
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	1.18112e+07
A8K7I4	CLCA1_HUMAN	CLCA1	Calcium-activated chloride channel regulator 1	2.25886e+08
A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	1.18222e+07
A8TX70	CO6A5_HUMAN	COL6A5	Collagen alpha-5(VI) chain	5.31805e+06
A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	3.21854e+06
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	1.06683e+07
B7ZAQ6	GPHRA_HUMAN	GPR89A	Golgi pH regulator A	6.15636e+06
B9A064	IGLL5_HUMAN	IGLL5	Immunoglobulin lambda-like polypeptide 5	1.09729e+07
C4AMC7	WASH3_HUMAN	WASH3P	Putative WAS protein family homolog 3	1.13213e+07
C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	6.20384e+06
E9PAV3	NACAM_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	9.38251e+07
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	1.75469e+07
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	3.06611e+06
L0R8F8	MIDUO_HUMAN	MIEF1	Mitochondrial ribosome and complex I assembly factor AltMIEF1	2.05152e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	1.31805e+07
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	2.21822e+07
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	1.42457e+07
O00142	KITM_HUMAN	TK2	Thymidine kinase 2, mitochondrial	1.6569e+07
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	1.68561e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	1.31528e+08
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	1.73381e+07
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	9.18808e+07
O00160	MYO1F_HUMAN	MYO1F	Unconventional myosin-If	3.33044e+07
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	2.17915e+07
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	2.91815e+06
O00168	PLM_HUMAN	FXYD1	Phospholemman	1.46914e+06
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	3.06299e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	9.61437e+06
O00182	LEG9_HUMAN	LGALS9	Galectin-9	3.12347e+07
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	1.07931e+07
O00193	SMAP_HUMAN	SMAP	Small acidic protein	6.07786e+06
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	2.69031e+07
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	1.18063e+07
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	3.28738e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	2.14994e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	1.09854e+08
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	9.43605e+07
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	1.02607e+07
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	1.75863e+07
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	1.35611e+07
O00292	LFTY2_HUMAN	LEFTY2	Left-right determination factor 2	6.04903e+06
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	1.99929e+08
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	4.55183e+07
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	9.79977e+06
O00338	ST1C2_HUMAN	SULT1C2	Sulfotransferase 1C2	5.03982e+06
O00339	MATN2_HUMAN	MATN2	Matrilin-2	6.52714e+06
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	1.61773e+08
O00401	WASL_HUMAN	WASL	Actin nucleation-promoting factor WASL	1.38292e+07
O00410	IPO5_HUMAN	IPO5	Importin-5	1.94874e+07
O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial	394553
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	3.57996e+06
O00423	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1	1.30492e+07
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	2.15747e+07
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	1.31217e+07
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	6.64038e+06
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	587829
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	1.94432e+07
O00462	MANBA_HUMAN	MANBA	Beta-mannosidase	1.86708e+06
O00468	AGRIN_HUMAN	AGRN	Agrin	3.2008e+07
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	1.0911e+09
O00470	MEIS1_HUMAN	MEIS1	Homeobox protein Meis1	3.40699e+06
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	1.3857e+07
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	3.33797e+07
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	3.90209e+07
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	1.22853e+07
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	1.10109e+07
O00506	STK25_HUMAN	STK25	Serine/threonine-protein kinase 25	2.39196e+06
O00515	LAD1_HUMAN	LAD1	Ladinin-1	7.13988e+07
O00533	NCHL1_HUMAN	CHL1	Neural cell adhesion molecule L1-like protein	1.47932e+07
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	3.42534e+07
O00541	PESC_HUMAN	PES1	Pescadillo homolog	1.44366e+07
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	1.18598e+07
O00562	PITM1_HUMAN	PITPNM1	Membrane-associated phosphatidylinositol transfer protein 1	840130
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	7.15633e+06
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	2.68338e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	8.95557e+07
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	9.08788e+07
O00592	PODXL_HUMAN	PODXL	Podocalyxin	9.53393e+06
O00625	PIR_HUMAN	PIR	Pirin	4.68683e+06
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	2.49629e+07
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	1.1294e+07
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	1.47387e+07
O00748	EST2_HUMAN	CES2	Cocaine esterase	5.65995e+07
O00750	P3C2B_HUMAN	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	3.80003e+07
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	1.39796e+07
O00757	F16P2_HUMAN	FBP2	Fructose-1,6-bisphosphatase isozyme 2	2.33764e+07
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	3.90977e+07
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	1.64856e+07
O14498	ISLR_HUMAN	ISLR	Immunoglobulin superfamily containing leucine-rich repeat protein	2.16932e+07
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	2.7499e+06
O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	1.67808e+06
O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	1.23918e+07
O14558	HSPB6_HUMAN	HSPB6	Heat shock protein beta-6	4.13159e+08
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	2.18411e+07
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	6.71512e+06
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	5.09699e+07
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	2.70138e+07
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	2.17233e+07
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	2.09894e+07
O14646	CHD1_HUMAN	CHD1	Chromodomain-helicase-DNA-binding protein 1	3.36967e+06
O14653	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2	5.12138e+06
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	9.04314e+06
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	9.49452e+06
O14662	STX16_HUMAN	STX16	Syntaxin-16	4.2729e+06
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	1.39914e+07
O14683	P5I11_HUMAN	TP53I11	Tumor protein p53-inducible protein 11	5.26006e+06
O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	2.142e+07
O14733	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	1.85699e+06
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	1.60401e+07
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	4.9338e+07
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	1.75209e+07
O14745	NHRF1_HUMAN	NHERF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	5.5903e+07
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	1.83363e+08
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	4.21277e+07
O14786	NRP1_HUMAN	NRP1	Neuropilin-1	1.07942e+07
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	4.8304e+06
O14791	APOL1_HUMAN	APOL1	Apolipoprotein L1	2.51785e+07
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	1.02041e+08
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	2.78242e+07
O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	1.09344e+07
O14874	BCKD_HUMAN	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	1.44435e+07
O14879	IFIT3_HUMAN	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3	9.81564e+06
O14880	MGST3_HUMAN	MGST3	Glutathione S-transferase 3, mitochondrial	5.0277e+06
O14896	IRF6_HUMAN	IRF6	Interferon regulatory factor 6	4.29553e+06
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	4.07303e+07
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	1.80178e+09
O14910	LIN7A_HUMAN	LIN7A	Protein lin-7 homolog A	2.08238e+07
O14920	IKKB_HUMAN	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	8.39741e+07
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	1.55197e+07
O14933	UB2L6_HUMAN	UBE2L6	Ubiquitin/ISG15-conjugating enzyme E2 L6	5.37022e+06
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	4.27829e+07
O14939	PLD2_HUMAN	PLD2	Phospholipase D2	1.26667e+06
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	3.65461e+07
O14950	ML12B_HUMAN	MYL12B	Myosin regulatory light chain 12B	1.34957e+09
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	3.05541e+07
O14966	RAB7L_HUMAN	RAB29	Ras-related protein Rab-7L1	1.4644e+07
O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	6.00762e+06
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	5.43586e+07
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	9.99707e+07
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	1.26844e+08
O14980	XPO1_HUMAN	XPO1	Exportin-1	3.65965e+07
O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	3.81267e+06
O15020	SPTN2_HUMAN	SPTBN2	Spectrin beta chain, non-erythrocytic 2	8.50182e+06
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	7.21131e+07
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	1.30334e+07
O15040	TCPR2_HUMAN	TECPR2	Tectonin beta-propeller repeat-containing protein 2	1.39513e+07
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	1.57106e+07
O15061	SYNEM_HUMAN	SYNM	Synemin	2.47292e+08
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	3.27553e+07
O15075	DCLK1_HUMAN	DCLK1	Serine/threonine-protein kinase DCLK1	1.07718e+07
O15078	CE290_HUMAN	CEP290	Centrosomal protein of 290 kDa	2.15099e+07
O15084	ANR28_HUMAN	ANKRD28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	1.03681e+06
O15085	ARHGB_HUMAN	ARHGEF11	Rho guanine nucleotide exchange factor 11	2.69528e+06
O15091	MRPP3_HUMAN	PRORP	Mitochondrial ribonuclease P catalytic subunit	2.96356e+06
O15111	IKKA_HUMAN	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha	2.39187e+06
O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1	2.2182e+07
O15117	FYB1_HUMAN	FYB1	FYN-binding protein 1	2.97236e+06
O15120	PLCB_HUMAN	AGPAT2	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	6.98746e+06
O15121	DEGS1_HUMAN	DEGS1	Sphingolipid delta(4)-desaturase DES1	3.74835e+06
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	2.63307e+07
O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	4.48193e+07
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	1.0677e+08
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	1.17434e+08
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	1.83025e+08
O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	1.82559e+07
O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	9.7325e+07
O15195	VILL_HUMAN	VILL	Villin-like protein	3.86699e+09
O15204	ADEC1_HUMAN	ADAMDEC1	ADAM DEC1	2.33439e+06
O15211	RGL2_HUMAN	RGL2	Ral guanine nucleotide dissociation stimulator-like 2	2.16723e+06
O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	2.75141e+07
O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	1.63767e+08
O15231	ZN185_HUMAN	ZNF185	Zinc finger protein 185	4.7551e+07
O15239	NDUA1_HUMAN	NDUFA1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1	9.95184e+06
O15247	CLIC2_HUMAN	CLIC2	Chloride intracellular channel protein 2	8.90207e+06
O15254	ACOX3_HUMAN	ACOX3	Peroxisomal acyl-coenzyme A oxidase 3	747585
O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	6.85773e+07
O15264	MK13_HUMAN	MAPK13	Mitogen-activated protein kinase 13	1.31078e+07
O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	3.67592e+07
O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	6.32291e+06
O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	3.05247e+07
O15321	TM9S1_HUMAN	TM9SF1	Transmembrane 9 superfamily member 1	1.66946e+07
O15344	TRI18_HUMAN	MID1	E3 ubiquitin-protein ligase Midline-1	6.27354e+06
O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	1.6543e+07
O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	5.9545e+07
O15357	SHIP2_HUMAN	INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	5.075e+06
O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	2.56891e+07
O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	1.8451e+07
O15382	BCAT2_HUMAN	BCAT2	Branched-chain-amino-acid aminotransferase, mitochondrial	2.1254e+07
O15397	IPO8_HUMAN	IPO8	Importin-8	1.72125e+06
O15400	STX7_HUMAN	STX7	Syntaxin-7	4.88776e+07
O15427	MOT4_HUMAN	SLC16A3	Monocarboxylate transporter 4	1.10955e+07
O15438	MRP3_HUMAN	ABCC3	ATP-binding cassette sub-family C member 3	5.10449e+06
O15439	MRP4_HUMAN	ABCC4	ATP-binding cassette sub-family C member 4	2.91089e+06
O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2	1.06018e+07
O15484	CAN5_HUMAN	CAPN5	Calpain-5	1.5715e+07
O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6	1.72615e+07
O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	1.84999e+08
O15516	CLOCK_HUMAN	CLOCK	Circadian locomoter output cycles protein kaput	1.44588e+08
O15523	DDX3Y_HUMAN	DDX3Y	ATP-dependent RNA helicase DDX3Y	1.6786e+07
O15530	PDPK1_HUMAN	PDPK1	3-phosphoinositide-dependent protein kinase 1	2.3717e+06
O15533	TPSN_HUMAN	TAPBP	Tapasin	6.70121e+07
O15551	CLD3_HUMAN	CLDN3	Claudin-3	6.37772e+06
O43143	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	7.6944e+07
O43148	MCES_HUMAN	RNMT	mRNA cap guanine-N7 methyltransferase	3.69326e+06
O43149	ZZEF1_HUMAN	ZZEF1	Zinc finger ZZ-type and EF-hand domain-containing protein 1	5.57695e+06
O43150	ASAP2_HUMAN	ASAP2	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2	4.06829e+06
O43155	FLRT2_HUMAN	FLRT2	Leucine-rich repeat transmembrane protein FLRT2	1.28873e+07
O43157	PLXB1_HUMAN	PLXNB1	Plexin-B1	4.53794e+06
O43159	RRP8_HUMAN	RRP8	Ribosomal RNA-processing protein 8	3.94237e+06
O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B	5.46525e+07
O43172	PRP4_HUMAN	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	4.33656e+07
O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	1.0128e+08
O43181	NDUS4_HUMAN	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	2.53503e+07
O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	8.11345e+07
O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	3.36142e+07
O43251	RFOX2_HUMAN	RBFOX2	RNA binding protein fox-1 homolog 2	4.76802e+06
O43252	PAPS1_HUMAN	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1	2.20771e+07
O43264	ZW10_HUMAN	ZW10	Centromere/kinetochore protein zw10 homolog	4.9732e+07
O43278	SPIT1_HUMAN	SPINT1	Kunitz-type protease inhibitor 1	9.92627e+06
O43290	SNUT1_HUMAN	SART1	U4/U6.U5 tri-snRNP-associated protein 1	1.29052e+07
O43292	GPAA1_HUMAN	GPAA1	Glycosylphosphatidylinositol anchor attachment 1 protein	6.31791e+06
O43293	DAPK3_HUMAN	DAPK3	Death-associated protein kinase 3	9.24265e+06
O43294	TGFI1_HUMAN	TGFB1I1	Transforming growth factor beta-1-induced transcript 1 protein	6.60165e+07
O43301	HS12A_HUMAN	HSPA12A	Heat shock 70 kDa protein 12A	1.17001e+07
O43310	CTIF_HUMAN	CTIF	CBP80/20-dependent translation initiation factor	1.32468e+06
O43314	VIP2_HUMAN	PPIP5K2	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	630869
O43324	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	9.57416e+07
O43353	RIPK2_HUMAN	RIPK2	Receptor-interacting serine/threonine-protein kinase 2	5.42258e+08
O43374	RASL2_HUMAN	RASA4	Ras GTPase-activating protein 4	1.94008e+07
O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	1.91986e+08
O43395	PRPF3_HUMAN	PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	6.48023e+06
