Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\E20200928yuanch_Connie_TCPA_60minDIA_b1-8.mzML
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	1.13949e+07
O14683	P5I11_HUMAN	TP53I11	Tumor protein p53-inducible protein 11	5.0393e+06
O14686	KMT2D_HUMAN	KMT2D	Histone-lysine N-methyltransferase 2D	7.50889e+07
O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	1.18214e+08
O14733	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	2.15356e+06
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	2.06333e+07
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	5.93072e+07
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	4.3565e+07
O14745	NHRF1_HUMAN	NHERF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	3.9181e+07
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	1.04539e+08
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	5.81968e+07
O14786	NRP1_HUMAN	NRP1	Neuropilin-1	1.23189e+07
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	1.79444e+07
O14791	APOL1_HUMAN	APOL1	Apolipoprotein L1	1.99675e+07
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	1.21733e+08
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	2.61121e+07
O14832	PAHX_HUMAN	PHYH	Phytanoyl-CoA dioxygenase, peroxisomal	9.50361e+06
O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	1.97116e+07
O14874	BCKD_HUMAN	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	2.57109e+07
O14879	IFIT3_HUMAN	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3	7.93339e+06
O14896	IRF6_HUMAN	IRF6	Interferon regulatory factor 6	1.75577e+06
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	3.14597e+07
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	7.639e+06
O14910	LIN7A_HUMAN	LIN7A	Protein lin-7 homolog A	2.32354e+07
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	5.86896e+06
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	1.85016e+07
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	7.28577e+07
O14950	ML12B_HUMAN	MYL12B	Myosin regulatory light chain 12B	7.38756e+08
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	2.09844e+07
O14966	RAB7L_HUMAN	RAB29	Ras-related protein Rab-7L1	5.56895e+06
O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	4.74902e+06
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	2.26116e+07
O14975	S27A2_HUMAN	SLC27A2	Long-chain fatty acid transport protein 2	4.56186e+06
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	9.69283e+06
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	8.42265e+07
O14980	XPO1_HUMAN	XPO1	Exportin-1	3.19249e+07
O15020	SPTN2_HUMAN	SPTBN2	Spectrin beta chain, non-erythrocytic 2	2.12676e+07
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	5.69871e+07
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	1.73713e+07
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	1.30123e+07
O15061	SYNEM_HUMAN	SYNM	Synemin	1.17328e+08
O15066	KIF3B_HUMAN	KIF3B	Kinesin-like protein KIF3B	2.01763e+06
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	1.82156e+07
O15075	DCLK1_HUMAN	DCLK1	Serine/threonine-protein kinase DCLK1	2.7926e+06
O15084	ANR28_HUMAN	ANKRD28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	8.19477e+06
O15111	IKKA_HUMAN	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha	3.69914e+06
O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1	9.66805e+06
O15120	PLCB_HUMAN	AGPAT2	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	1.38084e+08
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	7.99967e+07
O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	4.62209e+07
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	4.98496e+07
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	8.61492e+07
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	1.37989e+08
O15155	BET1_HUMAN	BET1	BET1 homolog	7.2794e+06
O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	1.11412e+07
O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	2.17555e+08
O15195	VILL_HUMAN	VILL	Villin-like protein	5.82139e+06
O15211	RGL2_HUMAN	RGL2	Ral guanine nucleotide dissociation stimulator-like 2	3.16464e+06
O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	1.79464e+07
O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	1.89877e+08
O15239	NDUA1_HUMAN	NDUFA1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1	1.68207e+07
O15240	VGF_HUMAN	VGF	Neurosecretory protein VGF	1.43637e+07
O15247	CLIC2_HUMAN	CLIC2	Chloride intracellular channel protein 2	2.78353e+06
O15258	RER1_HUMAN	RER1	Protein RER1	2.61434e+07
O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	1.60986e+08
O15264	MK13_HUMAN	MAPK13	Mitogen-activated protein kinase 13	3.0919e+07
O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	6.11727e+06
O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	9.38065e+06
O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	7.04144e+07
O15321	TM9S1_HUMAN	TM9SF1	Transmembrane 9 superfamily member 1	1.44293e+07
O15327	INP4B_HUMAN	INPP4B	Inositol polyphosphate 4-phosphatase type II	1.74159e+06
O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	9.97622e+06
O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	7.01119e+06
O15357	SHIP2_HUMAN	INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	1.05482e+07
O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	9.0811e+07
O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	3.43552e+07
O15382	BCAT2_HUMAN	BCAT2	Branched-chain-amino-acid aminotransferase, mitochondrial	1.3507e+08
O15400	STX7_HUMAN	STX7	Syntaxin-7	6.71545e+07
O15438	MRP3_HUMAN	ABCC3	ATP-binding cassette sub-family C member 3	2.29966e+06
O15439	MRP4_HUMAN	ABCC4	ATP-binding cassette sub-family C member 4	2.57036e+06
O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2	2.86902e+06
O15484	CAN5_HUMAN	CAPN5	Calpain-5	5.88439e+06
O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6	2.84179e+07
O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	1.32621e+08
O15523	DDX3Y_HUMAN	DDX3Y	ATP-dependent RNA helicase DDX3Y	1.28998e+07
O15530	PDPK1_HUMAN	PDPK1	3-phosphoinositide-dependent protein kinase 1	3.06435e+06
O15533	TPSN_HUMAN	TAPBP	Tapasin	1.33215e+07
O15551	CLD3_HUMAN	CLDN3	Claudin-3	1.0188e+07
O43143	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	3.97281e+07
O43149	ZZEF1_HUMAN	ZZEF1	Zinc finger ZZ-type and EF-hand domain-containing protein 1	1.07303e+07
O43155	FLRT2_HUMAN	FLRT2	Leucine-rich repeat transmembrane protein FLRT2	5.0898e+06
O43157	PLXB1_HUMAN	PLXNB1	Plexin-B1	1.90435e+06
O43159	RRP8_HUMAN	RRP8	Ribosomal RNA-processing protein 8	2.89073e+06
O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B	4.00461e+07
O43172	PRP4_HUMAN	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	3.21077e+07
O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	3.69403e+08
O43181	NDUS4_HUMAN	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	3.62106e+07
O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	3.61995e+07
O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	3.52535e+07
O43252	PAPS1_HUMAN	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1	2.34415e+07
O43264	ZW10_HUMAN	ZW10	Centromere/kinetochore protein zw10 homolog	4.04947e+07
O43290	SNUT1_HUMAN	SART1	U4/U6.U5 tri-snRNP-associated protein 1	9.85001e+06
O43292	GPAA1_HUMAN	GPAA1	Glycosylphosphatidylinositol anchor attachment 1 protein	7.97925e+06
O43293	DAPK3_HUMAN	DAPK3	Death-associated protein kinase 3	2.74869e+06
O43294	TGFI1_HUMAN	TGFB1I1	Transforming growth factor beta-1-induced transcript 1 protein	3.39382e+07
O43301	HS12A_HUMAN	HSPA12A	Heat shock 70 kDa protein 12A	4.57757e+07
O43310	CTIF_HUMAN	CTIF	CBP80/20-dependent translation initiation factor	1.03307e+06
O43314	VIP2_HUMAN	PPIP5K2	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	299145
O43318	M3K7_HUMAN	MAP3K7	Mitogen-activated protein kinase kinase kinase 7	1.7294e+06
O43324	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	5.65874e+07
O43353	RIPK2_HUMAN	RIPK2	Receptor-interacting serine/threonine-protein kinase 2	6.69048e+07
O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	1.90161e+08
O43395	PRPF3_HUMAN	PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	5.29021e+06
O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1	3.21898e+07
O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54	4.44128e+07
O43402	EMC8_HUMAN	EMC8	ER membrane protein complex subunit 8	2.86679e+07
O43427	FIBP_HUMAN	FIBP	Acidic fibroblast growth factor intracellular-binding protein	3.33208e+06
O43432	IF4G3_HUMAN	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3	2.86878e+06
O43447	PPIH_HUMAN	PPIH	Peptidyl-prolyl cis-trans isomerase H	1.15702e+07
O43464	HTRA2_HUMAN	HTRA2	Serine protease HTRA2, mitochondrial	4.33425e+08
O43488	ARK72_HUMAN	AKR7A2	Aflatoxin B1 aldehyde reductase member 2	1.28577e+08
O43491	E41L2_HUMAN	EPB41L2	Band 4.1-like protein 2	4.37177e+07
O43504	LTOR5_HUMAN	LAMTOR5	Ragulator complex protein LAMTOR5	2.35437e+07
O43505	B4GA1_HUMAN	B4GAT1	Beta-1,4-glucuronyltransferase 1	8.65547e+07
O43520	AT8B1_HUMAN	ATP8B1	Phospholipid-transporting ATPase IC	3.14239e+06
O43570	CAH12_HUMAN	CA12	Carbonic anhydrase 12	1.91257e+07
O43583	DENR_HUMAN	DENR	Density-regulated protein	1.58673e+07
O43592	XPOT_HUMAN	XPOT	Exportin-T	1.85398e+07
O43598	DNPH1_HUMAN	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	1.69896e+08
O43615	TIM44_HUMAN	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	9.36486e+06
O43617	TPPC3_HUMAN	TRAPPC3	Trafficking protein particle complex subunit 3	2.29636e+07
O43633	CHM2A_HUMAN	CHMP2A	Charged multivesicular body protein 2a	5.55363e+07
O43639	NCK2_HUMAN	NCK2	Cytoplasmic protein NCK2	6.03745e+06
O43660	PLRG1_HUMAN	PLRG1	Pleiotropic regulator 1	8.05096e+06
O43670	ZN207_HUMAN	ZNF207	BUB3-interacting and GLEBS motif-containing protein ZNF207	2.5252e+07
O43674	NDUB5_HUMAN	NDUFB5	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial	2.90425e+07
O43676	NDUB3_HUMAN	NDUFB3	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3	1.21199e+07
O43678	NDUA2_HUMAN	NDUFA2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2	2.90538e+07
O43681	GET3_HUMAN	GET3	ATPase GET3	3.8318e+07
O43684	BUB3_HUMAN	BUB3	Mitotic checkpoint protein BUB3	3.94468e+07
O43707	ACTN4_HUMAN	ACTN4	Alpha-actinin-4	7.12767e+08
O43708	MAAI_HUMAN	GSTZ1	Maleylacetoacetate isomerase	4.0774e+06
O43715	TRIA1_HUMAN	TRIAP1	TP53-regulated inhibitor of apoptosis 1	6.43485e+06
O43716	GATC_HUMAN	GATC	Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial	4.87008e+06
O43719	HTSF1_HUMAN	HTATSF1	HIV Tat-specific factor 1	8.45618e+06
