Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\A20200127caix_yuanch_TCPA_CA_120min_DIA_10.mzML
O00204	ST2B1_HUMAN	SULT2B1	Sulfotransferase 2B1	3.72785e+06
O00214	LEG8_HUMAN	LGALS8	Galectin-8	3.50903e+06
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	8.65343e+06
O00221	IKBE_HUMAN	NFKBIE	NF-kappa-B inhibitor epsilon	2.37237e+06
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	4.43928e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	2.2041e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	1.31209e+07
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	7.76522e+06
O00255	MEN1_HUMAN	MEN1	Menin	6.92865e+06
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	1.97588e+08
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	1.07856e+07
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	2.16526e+06
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	6.73441e+06
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	1.12321e+07
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	1.57494e+08
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	1.97613e+07
O00329	PK3CD_HUMAN	PIK3CD	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform	986224
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	7.38966e+06
O00339	MATN2_HUMAN	MATN2	Matrilin-2	1.1354e+07
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	2.79797e+06
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	3.73436e+06
O00401	WASL_HUMAN	WASL	Actin nucleation-promoting factor WASL	7.27938e+06
O00410	IPO5_HUMAN	IPO5	Importin-5	2.20999e+07
O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial	607907
O00418	EF2K_HUMAN	EEF2K	Eukaryotic elongation factor 2 kinase	2.61123e+07
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	1.47543e+07
O00423	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1	2.22942e+06
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	5.79462e+06
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	2.50587e+07
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	9.8876e+06
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	5.00024e+07
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	1.03584e+06
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	4.82168e+06
O00462	MANBA_HUMAN	MANBA	Beta-mannosidase	1.58129e+06
O00468	AGRIN_HUMAN	AGRN	Agrin	6.25433e+06
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	955493
O00470	MEIS1_HUMAN	MEIS1	Homeobox protein Meis1	4.30654e+06
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	1.41164e+07
O00478	BT3A3_HUMAN	BTN3A3	Butyrophilin subfamily 3 member A3	1.4054e+07
O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	5.25463e+07
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	1.96523e+07
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	3.11102e+07
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	9.47809e+06
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	2.60421e+07
O00506	STK25_HUMAN	STK25	Serine/threonine-protein kinase 25	1.38506e+06
O00512	BCL9_HUMAN	BCL9	B-cell CLL/lymphoma 9 protein	4.8886e+06
O00515	LAD1_HUMAN	LAD1	Ladinin-1	4.10734e+07
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	1.58345e+07
O00541	PESC_HUMAN	PES1	Pescadillo homolog	7.91933e+06
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	3.4238e+06
O00562	PITM1_HUMAN	PITPNM1	Membrane-associated phosphatidylinositol transfer protein 1	620380
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	2.29071e+06
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	4.47085e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	7.07991e+07
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	5.75029e+06
O00592	PODXL_HUMAN	PODXL	Podocalyxin	4.21979e+06
O00625	PIR_HUMAN	PIR	Pirin	9.85202e+06
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	1.4722e+07
O00635	TRI38_HUMAN	TRIM38	E3 ubiquitin-protein ligase TRIM38	2.47052e+06
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	9.08113e+06
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	1.14742e+07
O00748	EST2_HUMAN	CES2	Cocaine esterase	1.32553e+06
O00750	P3C2B_HUMAN	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	8.20572e+06
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	1.73613e+07
O00762	UBE2C_HUMAN	UBE2C	Ubiquitin-conjugating enzyme E2 C	1.31843e+06
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	3.11739e+07
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	5.57722e+06
O14498	ISLR_HUMAN	ISLR	Immunoglobulin superfamily containing leucine-rich repeat protein	2.0328e+07
O14519	CDKA1_HUMAN	CDK2AP1	Cyclin-dependent kinase 2-associated protein 1	1.6538e+06
O14524	NEMP1_HUMAN	NEMP1	Nuclear envelope integral membrane protein 1	3.36713e+06
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	3.7572e+06
O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	4.24326e+06
O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	3.12797e+06
O14558	HSPB6_HUMAN	HSPB6	Heat shock protein beta-6	2.77123e+07
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	7.49783e+06
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	4.23513e+06
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	5.36412e+07
O14613	BORG1_HUMAN	CDC42EP2	Cdc42 effector protein 2	1.63689e+06
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	1.00846e+07
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	1.24748e+07
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	1.29669e+07
O14641	DVL2_HUMAN	DVL2	Segment polarity protein dishevelled homolog DVL-2	7.37361e+06
O14646	CHD1_HUMAN	CHD1	Chromodomain-helicase-DNA-binding protein 1	6.38252e+06
O14647	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2	1.35315e+06
O14653	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2	5.08753e+06
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	3.46334e+06
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	3.92886e+06
O14662	STX16_HUMAN	STX16	Syntaxin-16	3.38119e+06
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	4.52276e+06
O14683	P5I11_HUMAN	TP53I11	Tumor protein p53-inducible protein 11	3.4098e+06
O14686	KMT2D_HUMAN	KMT2D	Histone-lysine N-methyltransferase 2D	5.09055e+06
O14727	APAF_HUMAN	APAF1	Apoptotic protease-activating factor 1	2.8319e+06
O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	9.43718e+06
O14733	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	2.32492e+06
O14734	ACOT8_HUMAN	ACOT8	Acyl-coenzyme A thioesterase 8	1.25892e+06
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	1.31685e+07
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	2.37264e+07
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	1.17546e+07
O14745	NHRF1_HUMAN	NHERF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	3.54579e+07
O14757	CHK1_HUMAN	CHEK1	Serine/threonine-protein kinase Chk1	827888
O14772	FPGT_HUMAN	FPGT	Fucose-1-phosphate guanylyltransferase	838678
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	6.55701e+07
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	2.60763e+07
O14786	NRP1_HUMAN	NRP1	Neuropilin-1	8.24148e+06
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	431867
O14791	APOL1_HUMAN	APOL1	Apolipoprotein L1	6.99607e+06
O14802	RPC1_HUMAN	POLR3A	DNA-directed RNA polymerase III subunit RPC1	3.27404e+06
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	5.60263e+07
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	7.91776e+06
O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	3.84012e+06
O14874	BCKD_HUMAN	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	8.53944e+06
O14879	IFIT3_HUMAN	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3	3.88057e+06
O14896	IRF6_HUMAN	IRF6	Interferon regulatory factor 6	5.01171e+06
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	2.8903e+07
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	1.34334e+07
O14910	LIN7A_HUMAN	LIN7A	Protein lin-7 homolog A	2.09316e+07
O14920	IKKB_HUMAN	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	7.66212e+06
O14924	RGS12_HUMAN	RGS12	Regulator of G-protein signaling 12	2.5241e+08
O14925	TIM23_HUMAN	TIMM23	Mitochondrial import inner membrane translocase subunit Tim23	2.3606e+06
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	1.91555e+07
O14933	UB2L6_HUMAN	UBE2L6	Ubiquitin/ISG15-conjugating enzyme E2 L6	9.02732e+06
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	1.3144e+07
O14939	PLD2_HUMAN	PLD2	Phospholipase D2	3.22976e+06
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	1.4025e+07
O14950	ML12B_HUMAN	MYL12B	Myosin regulatory light chain 12B	1.8708e+08
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	1.13748e+07
O14966	RAB7L_HUMAN	RAB29	Ras-related protein Rab-7L1	1.99123e+06
O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	1.10996e+06
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	2.22029e+08
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	3.29603e+07
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	7.62089e+07
O14980	XPO1_HUMAN	XPO1	Exportin-1	7.50158e+07
O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	7.48012e+06
O15013	ARHGA_HUMAN	ARHGEF10	Rho guanine nucleotide exchange factor 10	2.54015e+07
O15020	SPTN2_HUMAN	SPTBN2	Spectrin beta chain, non-erythrocytic 2	8.7839e+06
O15021	MAST4_HUMAN	MAST4	Microtubule-associated serine/threonine-protein kinase 4	3.32355e+06
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	9.60306e+06
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	1.4658e+07
O15040	TCPR2_HUMAN	TECPR2	Tectonin beta-propeller repeat-containing protein 2	5.49146e+06
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	1.27577e+07
O15047	SET1A_HUMAN	SETD1A	Histone-lysine N-methyltransferase SETD1A	1.3074e+06
O15056	SYNJ2_HUMAN	SYNJ2	Synaptojanin-2	2.57435e+06
O15061	SYNEM_HUMAN	SYNM	Synemin	6.92102e+06
O15066	KIF3B_HUMAN	KIF3B	Kinesin-like protein KIF3B	2.45938e+06
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	1.0603e+07
O15075	DCLK1_HUMAN	DCLK1	Serine/threonine-protein kinase DCLK1	4.47148e+06
O15078	CE290_HUMAN	CEP290	Centrosomal protein of 290 kDa	2.92804e+06
O15085	ARHGB_HUMAN	ARHGEF11	Rho guanine nucleotide exchange factor 11	2.18322e+06
O15091	MRPP3_HUMAN	PRORP	Mitochondrial ribonuclease P catalytic subunit	1.64176e+06
O15111	IKKA_HUMAN	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha	1.44389e+07
O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1	1.98351e+07
O15117	FYB1_HUMAN	FYB1	FYN-binding protein 1	3.0534e+06
O15118	NPC1_HUMAN	NPC1	NPC intracellular cholesterol transporter 1	2.43711e+06
O15120	PLCB_HUMAN	AGPAT2	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	1.08552e+06
O15121	DEGS1_HUMAN	DEGS1	Sphingolipid delta(4)-desaturase DES1	2.16328e+06
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	5.28385e+06
O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	1.6354e+07
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	6.37606e+07
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	9.32252e+07
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	1.6066e+08
O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	1.31992e+07
O15164	TIF1A_HUMAN	TRIM24	Transcription intermediary factor 1-alpha	1.32786e+06
O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	2.85494e+07
O15211	RGL2_HUMAN	RGL2	Ral guanine nucleotide dissociation stimulator-like 2	1.42056e+06
O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	1.81039e+07
O15213	WDR46_HUMAN	WDR46	WD repeat-containing protein 46	2.58403e+06
O15226	NKRF_HUMAN	NKRF	NF-kappa-B-repressing factor	3.76955e+06
O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	1.56962e+08
O15231	ZN185_HUMAN	ZNF185	Zinc finger protein 185	8.78184e+07
O15234	CASC3_HUMAN	CASC3	Protein CASC3	2.45712e+06
O15239	NDUA1_HUMAN	NDUFA1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1	3.91057e+06
O15247	CLIC2_HUMAN	CLIC2	Chloride intracellular channel protein 2	2.67497e+06
O15254	ACOX3_HUMAN	ACOX3	Peroxisomal acyl-coenzyme A oxidase 3	1.56127e+06
O15258	RER1_HUMAN	RER1	Protein RER1	5.32285e+06
O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	3.06468e+07
O15264	MK13_HUMAN	MAPK13	Mitogen-activated protein kinase 13	5.51654e+06
O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	7.87452e+06
O15270	SPTC2_HUMAN	SPTLC2	Serine palmitoyltransferase 2	5.26751e+06
O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	6.08094e+06
O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	3.03368e+07
O15321	TM9S1_HUMAN	TM9SF1	Transmembrane 9 superfamily member 1	4.25551e+06
O15327	INP4B_HUMAN	INPP4B	Inositol polyphosphate 4-phosphatase type II	1.6393e+06
O15344	TRI18_HUMAN	MID1	E3 ubiquitin-protein ligase Midline-1	4.89882e+06
O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	2.65885e+07
O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	1.77036e+07
O15357	SHIP2_HUMAN	INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	1.46716e+06
O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	2.62922e+07
