Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\B20190319yix_KRUK_DIA_b5_15.mzML
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	2.63827e+06
O00401	WASL_HUMAN	WASL	Actin nucleation-promoting factor WASL	5.20272e+06
O00410	IPO5_HUMAN	IPO5	Importin-5	2.55057e+07
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	5.72126e+06
O00423	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1	4.43189e+06
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	1.43844e+07
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	5.17072e+06
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	330744
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	2.17872e+06
O00468	AGRIN_HUMAN	AGRN	Agrin	8.80813e+06
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	3.80611e+06
O00470	MEIS1_HUMAN	MEIS1	Homeobox protein Meis1	1.84839e+06
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	2.97511e+06
O00478	BT3A3_HUMAN	BTN3A3	Butyrophilin subfamily 3 member A3	1.53757e+07
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	1.05458e+07
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	1.55587e+07
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	2.08157e+07
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	2.97741e+06
O00515	LAD1_HUMAN	LAD1	Ladinin-1	1.16634e+06
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	9.16831e+06
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	2.81561e+06
O00562	PITM1_HUMAN	PITPNM1	Membrane-associated phosphatidylinositol transfer protein 1	2.07627e+06
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	1.06953e+06
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	2.829e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	4.08208e+07
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	7.68911e+06
O00625	PIR_HUMAN	PIR	Pirin	790957
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	4.9928e+06
O00635	TRI38_HUMAN	TRIM38	E3 ubiquitin-protein ligase TRIM38	1.96482e+06
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	5.55421e+06
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	5.83472e+06
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	1.66958e+07
O00763	ACACB_HUMAN	ACACB	Acetyl-CoA carboxylase 2	2.68362e+07
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	2.21093e+07
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	3.0065e+06
O14498	ISLR_HUMAN	ISLR	Immunoglobulin superfamily containing leucine-rich repeat protein	6.06358e+06
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	1.34026e+06
O14531	DPYL4_HUMAN	DPYSL4	Dihydropyrimidinase-related protein 4	1.54667e+06
O14558	HSPB6_HUMAN	HSPB6	Heat shock protein beta-6	1.12963e+08
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	5.0211e+06
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	2.14074e+06
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	3.29819e+07
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	1.11083e+07
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	8.79564e+06
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	3.04467e+06
O14646	CHD1_HUMAN	CHD1	Chromodomain-helicase-DNA-binding protein 1	3.1014e+06
O14653	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2	5.77071e+06
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	2.25599e+06
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	1.66801e+07
O14662	STX16_HUMAN	STX16	Syntaxin-16	3.24477e+06
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	1.1969e+06
O14733	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	751372
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	2.68751e+06
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	1.50914e+07
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	1.41953e+07
O14745	NHRF1_HUMAN	NHERF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	2.09803e+07
O14770	MEIS2_HUMAN	MEIS2	Homeobox protein Meis2	1.01666e+07
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	5.97338e+07
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	9.93479e+06
O14786	NRP1_HUMAN	NRP1	Neuropilin-1	4.54283e+07
O14791	APOL1_HUMAN	APOL1	Apolipoprotein L1	8.02707e+06
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	2.80108e+07
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	7.10116e+06
O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	5.37745e+06
O14874	BCKD_HUMAN	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	4.891e+06
O14879	IFIT3_HUMAN	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3	5.84923e+06
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	1.82402e+07
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	9.04148e+06
O14910	LIN7A_HUMAN	LIN7A	Protein lin-7 homolog A	6.2614e+06
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	2.12686e+06
O14933	UB2L6_HUMAN	UBE2L6	Ubiquitin/ISG15-conjugating enzyme E2 L6	1.82761e+07
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	1.33431e+07
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	5.02063e+06
O14950	ML12B_HUMAN	MYL12B	Myosin regulatory light chain 12B	1.16111e+08
O14957	QCR10_HUMAN	UQCR11	Cytochrome b-c1 complex subunit 10	1.69266e+06
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	1.20521e+07
O14966	RAB7L_HUMAN	RAB29	Ras-related protein Rab-7L1	5.82134e+06
O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	746424
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	2.9885e+07
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	6.65098e+06
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	4.26416e+07
O14980	XPO1_HUMAN	XPO1	Exportin-1	1.84109e+07
O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	1.56363e+06
O15013	ARHGA_HUMAN	ARHGEF10	Rho guanine nucleotide exchange factor 10	815003
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	4.0364e+06
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	5.73825e+06
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	3.86783e+06
O15061	SYNEM_HUMAN	SYNM	Synemin	6.5944e+06
O15066	KIF3B_HUMAN	KIF3B	Kinesin-like protein KIF3B	860824
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	8.02306e+06
O15075	DCLK1_HUMAN	DCLK1	Serine/threonine-protein kinase DCLK1	4.02591e+06
O15085	ARHGB_HUMAN	ARHGEF11	Rho guanine nucleotide exchange factor 11	2.03229e+06
O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1	2.91222e+06
O15117	FYB1_HUMAN	FYB1	FYN-binding protein 1	7.12185e+06
O15120	PLCB_HUMAN	AGPAT2	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	1.65158e+06
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	8.48699e+06
O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	7.57488e+06
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	6.99024e+07
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	7.81418e+07
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	1.15848e+08
O15155	BET1_HUMAN	BET1	BET1 homolog	3.24991e+06
O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	4.65033e+06
O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	2.57287e+07
O15211	RGL2_HUMAN	RGL2	Ral guanine nucleotide dissociation stimulator-like 2	820911
O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	1.27191e+07
O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	1.61725e+08
O15247	CLIC2_HUMAN	CLIC2	Chloride intracellular channel protein 2	5.70959e+06
O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	2.82869e+07
O15264	MK13_HUMAN	MAPK13	Mitogen-activated protein kinase 13	1.00034e+07
O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	5.64803e+06
O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	857577
O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	1.5268e+07
O15327	INP4B_HUMAN	INPP4B	Inositol polyphosphate 4-phosphatase type II	880593
O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	2.84114e+06
O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	9.31848e+06
O15357	SHIP2_HUMAN	INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	2.89746e+06
O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	2.43389e+07
O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	1.38202e+07
O15382	BCAT2_HUMAN	BCAT2	Branched-chain-amino-acid aminotransferase, mitochondrial	4.70826e+06
O15400	STX7_HUMAN	STX7	Syntaxin-7	2.13741e+07
O15439	MRP4_HUMAN	ABCC4	ATP-binding cassette sub-family C member 4	1.52161e+06
O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2	5.36472e+06
O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6	8.7402e+06
O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	1.09271e+08
O15530	PDPK1_HUMAN	PDPK1	3-phosphoinositide-dependent protein kinase 1	573533
O15533	TPSN_HUMAN	TAPBP	Tapasin	6.48887e+07
O15541	R113A_HUMAN	RNF113A	E3 ubiquitin-protein ligase RNF113A	2.1449e+06
O43143	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	1.58001e+07
O43148	MCES_HUMAN	RNMT	mRNA cap guanine-N7 methyltransferase	2.12912e+06
O43149	ZZEF1_HUMAN	ZZEF1	Zinc finger ZZ-type and EF-hand domain-containing protein 1	5.76257e+06
O43155	FLRT2_HUMAN	FLRT2	Leucine-rich repeat transmembrane protein FLRT2	2.39784e+06
O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B	1.05181e+07
O43172	PRP4_HUMAN	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	5.4248e+06
O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	2.81482e+07
O43181	NDUS4_HUMAN	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	9.57209e+06
O43189	PHF1_HUMAN	PHF1	PHD finger protein 1	999290
O43236	SEPT4_HUMAN	SEPTIN4	Septin-4	1.74424e+06
O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	7.803e+06
O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	1.35627e+07
O43251	RFOX2_HUMAN	RBFOX2	RNA binding protein fox-1 homolog 2	3.33689e+06
O43252	PAPS1_HUMAN	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1	5.83457e+06
O43264	ZW10_HUMAN	ZW10	Centromere/kinetochore protein zw10 homolog	9.4845e+08
O43290	SNUT1_HUMAN	SART1	U4/U6.U5 tri-snRNP-associated protein 1	2.96748e+06
O43293	DAPK3_HUMAN	DAPK3	Death-associated protein kinase 3	3.09658e+06
O43294	TGFI1_HUMAN	TGFB1I1	Transforming growth factor beta-1-induced transcript 1 protein	1.87176e+07
O43299	AP5Z1_HUMAN	AP5Z1	AP-5 complex subunit zeta-1	835374
O43301	HS12A_HUMAN	HSPA12A	Heat shock 70 kDa protein 12A	9.19738e+06
O43310	CTIF_HUMAN	CTIF	CBP80/20-dependent translation initiation factor	1.32057e+06
O43324	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	8.16221e+06
O43374	RASL2_HUMAN	RASA4	Ras GTPase-activating protein 4	1.70465e+06
O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	8.14926e+07
O43395	PRPF3_HUMAN	PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	3.32e+07
O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1	1.72217e+07
O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54	2.4378e+07
O43426	SYNJ1_HUMAN	SYNJ1	Synaptojanin-1	1.46953e+06
O43432	IF4G3_HUMAN	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3	3.14015e+06
O43447	PPIH_HUMAN	PPIH	Peptidyl-prolyl cis-trans isomerase H	4.62206e+06
O43464	HTRA2_HUMAN	HTRA2	Serine protease HTRA2, mitochondrial	7.59282e+06
O43488	ARK72_HUMAN	AKR7A2	Aflatoxin B1 aldehyde reductase member 2	3.17612e+07
O43491	E41L2_HUMAN	EPB41L2	Band 4.1-like protein 2	5.32969e+07
O43504	LTOR5_HUMAN	LAMTOR5	Ragulator complex protein LAMTOR5	1.10527e+07
O43516	WIPF1_HUMAN	WIPF1	WAS/WASL-interacting protein family member 1	1.02229e+07
O43521	B2L11_HUMAN	BCL2L11	Bcl-2-like protein 11	334092
O43556	SGCE_HUMAN	SGCE	Epsilon-sarcoglycan	1.99876e+06
O43566	RGS14_HUMAN	RGS14	Regulator of G-protein signaling 14	944378
O43583	DENR_HUMAN	DENR	Density-regulated protein	4.69003e+06
O43586	PPIP1_HUMAN	PSTPIP1	Proline-serine-threonine phosphatase-interacting protein 1	4.45204e+06
O43592	XPOT_HUMAN	XPOT	Exportin-T	4.52695e+06
O43598	DNPH1_HUMAN	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	2.62583e+07
O43615	TIM44_HUMAN	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	2.19889e+06
O43617	TPPC3_HUMAN	TRAPPC3	Trafficking protein particle complex subunit 3	1.04196e+07
O43633	CHM2A_HUMAN	CHMP2A	Charged multivesicular body protein 2a	1.56035e+07
O43660	PLRG1_HUMAN	PLRG1	Pleiotropic regulator 1	3.09409e+07
O43665	RGS10_HUMAN	RGS10	Regulator of G-protein signaling 10	7.36594e+06
O43670	ZN207_HUMAN	ZNF207	BUB3-interacting and GLEBS motif-containing protein ZNF207	9.20103e+06
O43674	NDUB5_HUMAN	NDUFB5	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial	6.46708e+06
O43678	NDUA2_HUMAN	NDUFA2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2	1.39105e+07
O43681	GET3_HUMAN	GET3	ATPase GET3	1.12859e+07
O43684	BUB3_HUMAN	BUB3	Mitotic checkpoint protein BUB3	1.50379e+07
O43707	ACTN4_HUMAN	ACTN4	Alpha-actinin-4	4.68068e+08
O43719	HTSF1_HUMAN	HTATSF1	HIV Tat-specific factor 1	2.88963e+06
O43747	AP1G1_HUMAN	AP1G1	AP-1 complex subunit gamma-1	5.70374e+06
O43752	STX6_HUMAN	STX6	Syntaxin-6	2.86393e+06
O43760	SNG2_HUMAN	SYNGR2	Synaptogyrin-2	4.94436e+06
O43765	SGTA_HUMAN	SGTA	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	3.67858e+06
O43768	ENSA_HUMAN	ENSA	Alpha-endosulfine	6.06685e+06
O43776	SYNC_HUMAN	NARS1	Asparagine--tRNA ligase, cytoplasmic	2.27954e+07
O43795	MYO1B_HUMAN	MYO1B	Unconventional myosin-Ib	3.46119e+07
O43809	CPSF5_HUMAN	NUDT21	Cleavage and polyadenylation specificity factor subunit 5	1.25522e+07
O43813	LANC1_HUMAN	LANCL1	Glutathione S-transferase LANCL1	7.15739e+06
O43815	STRN_HUMAN	STRN	Striatin	3.32067e+06
O43818	U3IP2_HUMAN	RRP9	U3 small nucleolar RNA-interacting protein 2	1.73815e+06
O43823	AKAP8_HUMAN	AKAP8	A-kinase anchor protein 8	3.05832e+06
O43837	IDH3B_HUMAN	IDH3B	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial	5.23871e+06
O43847	NRDC_HUMAN	NRDC	Nardilysin	1.25138e+07
O43852	CALU_HUMAN	CALU	Calumenin	5.67433e+07
O43865	SAHH2_HUMAN	AHCYL1	S-adenosylhomocysteine hydrolase-like protein 1	1.23439e+07
O43895	XPP2_HUMAN	XPNPEP2	Xaa-Pro aminopeptidase 2	2.07734e+06
O43924	PDE6D_HUMAN	PDE6D	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta	3.5188e+06
O43933	PEX1_HUMAN	PEX1	Peroxisomal ATPase PEX1	3.3485e+07
