Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\B20190315yix_KRUK_DIA_b1_13.mzML
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	7.79746e+06
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	2.82037e+07
O14604	TYB4Y_HUMAN	TMSB4Y	Thymosin beta-4, Y-chromosomal	391237
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	1.47022e+07
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	2.92407e+07
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	1.62845e+07
O14646	CHD1_HUMAN	CHD1	Chromodomain-helicase-DNA-binding protein 1	4.5764e+06
O14653	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2	1.06932e+07
O14662	STX16_HUMAN	STX16	Syntaxin-16	2.68513e+06
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	7.59604e+06
O14683	P5I11_HUMAN	TP53I11	Tumor protein p53-inducible protein 11	1.50489e+06
O14686	KMT2D_HUMAN	KMT2D	Histone-lysine N-methyltransferase 2D	1.19892e+07
O14733	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	3.53184e+06
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	3.36152e+07
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	1.71608e+07
O14745	NHRF1_HUMAN	NHERF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	4.7059e+07
O14757	CHK1_HUMAN	CHEK1	Serine/threonine-protein kinase Chk1	3.66211e+06
O14770	MEIS2_HUMAN	MEIS2	Homeobox protein Meis2	1.51518e+07
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	6.89015e+07
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	2.45508e+07
O14786	NRP1_HUMAN	NRP1	Neuropilin-1	4.01796e+06
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	125567
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	8.57782e+07
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	1.46625e+07
O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	9.19238e+06
O14874	BCKD_HUMAN	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	1.27984e+06
O14879	IFIT3_HUMAN	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3	4.28024e+06
O14896	IRF6_HUMAN	IRF6	Interferon regulatory factor 6	2.89854e+07
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	2.41192e+07
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	1.38124e+07
O14910	LIN7A_HUMAN	LIN7A	Protein lin-7 homolog A	4.40372e+07
O14924	RGS12_HUMAN	RGS12	Regulator of G-protein signaling 12	9.13249e+08
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	9.5699e+06
O14933	UB2L6_HUMAN	UBE2L6	Ubiquitin/ISG15-conjugating enzyme E2 L6	3.28324e+07
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	3.19112e+07
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	6.03939e+06
O14950	ML12B_HUMAN	MYL12B	Myosin regulatory light chain 12B	2.04829e+08
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	1.96124e+07
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	8.91952e+07
O14975	S27A2_HUMAN	SLC27A2	Long-chain fatty acid transport protein 2	6.606e+06
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	6.6043e+06
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	1.52063e+08
O14980	XPO1_HUMAN	XPO1	Exportin-1	4.34975e+07
O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	1.20584e+06
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	1.17314e+07
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	3.10188e+06
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	4.00032e+07
O15047	SET1A_HUMAN	SETD1A	Histone-lysine N-methyltransferase SETD1A	1.75438e+06
O15056	SYNJ2_HUMAN	SYNJ2	Synaptojanin-2	8.29332e+06
O15061	SYNEM_HUMAN	SYNM	Synemin	1.55524e+08
O15066	KIF3B_HUMAN	KIF3B	Kinesin-like protein KIF3B	1.83635e+06
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	2.04816e+07
O15078	CE290_HUMAN	CEP290	Centrosomal protein of 290 kDa	670464
O15083	ERC2_HUMAN	ERC2	ERC protein 2	7.64576e+07
O15084	ANR28_HUMAN	ANKRD28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	6.99435e+06
O15085	ARHGB_HUMAN	ARHGEF11	Rho guanine nucleotide exchange factor 11	615857
O15091	MRPP3_HUMAN	PRORP	Mitochondrial ribonuclease P catalytic subunit	1.46066e+06
O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1	3.08184e+06
O15117	FYB1_HUMAN	FYB1	FYN-binding protein 1	2.18914e+06
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	8.86594e+07
O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	4.41535e+06
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	8.2832e+07
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	9.00528e+07
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	1.65907e+08
O15155	BET1_HUMAN	BET1	BET1 homolog	6.36992e+06
O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	1.84371e+07
O15164	TIF1A_HUMAN	TRIM24	Transcription intermediary factor 1-alpha	1.82397e+06
O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	2.4905e+07
O15204	ADEC1_HUMAN	ADAMDEC1	ADAM DEC1	8.93598e+06
O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	4.54557e+07
O15213	WDR46_HUMAN	WDR46	WD repeat-containing protein 46	1.17044e+06
O15226	NKRF_HUMAN	NKRF	NF-kappa-B-repressing factor	5.44795e+06
O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	2.77846e+08
O15231	ZN185_HUMAN	ZNF185	Zinc finger protein 185	4.60623e+06
O15234	CASC3_HUMAN	CASC3	Protein CASC3	3.8736e+06
O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	2.613e+07
O15264	MK13_HUMAN	MAPK13	Mitogen-activated protein kinase 13	1.3833e+07
O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	8.68805e+06
O15270	SPTC2_HUMAN	SPTLC2	Serine palmitoyltransferase 2	2.03787e+06
O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	1.05419e+07
O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	3.35655e+07
O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	5.28211e+07
O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	7.08959e+07
O15357	SHIP2_HUMAN	INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	3.35517e+07
O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	5.13868e+07
O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	3.45539e+07
O15381	NVL_HUMAN	NVL	Nuclear valosin-containing protein-like	2.67452e+06
O15382	BCAT2_HUMAN	BCAT2	Branched-chain-amino-acid aminotransferase, mitochondrial	1.06113e+07
O15397	IPO8_HUMAN	IPO8	Importin-8	1.01092e+06
O15400	STX7_HUMAN	STX7	Syntaxin-7	3.66427e+07
O15455	TLR3_HUMAN	TLR3	Toll-like receptor 3	4.9913e+06
O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2	1.49986e+06
O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6	2.7223e+07
O15504	NUP42_HUMAN	NUP42	Nucleoporin NUP42	1.61297e+06
O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	1.34041e+08
O15514	RPB4_HUMAN	POLR2D	DNA-directed RNA polymerase II subunit RPB4	4.23557e+06
O15530	PDPK1_HUMAN	PDPK1	3-phosphoinositide-dependent protein kinase 1	1.51229e+06
O15533	TPSN_HUMAN	TAPBP	Tapasin	2.28361e+07
O15541	R113A_HUMAN	RNF113A	E3 ubiquitin-protein ligase RNF113A	7.44569e+06
O15551	CLD3_HUMAN	CLDN3	Claudin-3	1.33893e+07
O43143	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	3.05108e+07
O43148	MCES_HUMAN	RNMT	mRNA cap guanine-N7 methyltransferase	1.38074e+07
O43149	ZZEF1_HUMAN	ZZEF1	Zinc finger ZZ-type and EF-hand domain-containing protein 1	2.68059e+06
O43159	RRP8_HUMAN	RRP8	Ribosomal RNA-processing protein 8	4.81672e+06
O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B	2.91506e+07
O43172	PRP4_HUMAN	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	7.77673e+06
O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	5.42484e+07
O43181	NDUS4_HUMAN	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	3.62803e+07
O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	2.84302e+07
O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	3.85948e+07
O43251	RFOX2_HUMAN	RBFOX2	RNA binding protein fox-1 homolog 2	4.63968e+06
O43252	PAPS1_HUMAN	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1	7.09219e+06
O43264	ZW10_HUMAN	ZW10	Centromere/kinetochore protein zw10 homolog	3.31876e+07
O43278	SPIT1_HUMAN	SPINT1	Kunitz-type protease inhibitor 1	5.31385e+06
O43290	SNUT1_HUMAN	SART1	U4/U6.U5 tri-snRNP-associated protein 1	1.21894e+07
O43293	DAPK3_HUMAN	DAPK3	Death-associated protein kinase 3	1.11476e+07
O43294	TGFI1_HUMAN	TGFB1I1	Transforming growth factor beta-1-induced transcript 1 protein	5.02294e+07
O43299	AP5Z1_HUMAN	AP5Z1	AP-5 complex subunit zeta-1	763252
O43301	HS12A_HUMAN	HSPA12A	Heat shock 70 kDa protein 12A	2.55273e+06
O43310	CTIF_HUMAN	CTIF	CBP80/20-dependent translation initiation factor	1.24192e+07
O43314	VIP2_HUMAN	PPIP5K2	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	3.18186e+06
O43318	M3K7_HUMAN	MAP3K7	Mitogen-activated protein kinase kinase kinase 7	4.05283e+06
O43324	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	4.28877e+07
O43347	MSI1H_HUMAN	MSI1	RNA-binding protein Musashi homolog 1	4.75481e+06
O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	1.83584e+08
O43395	PRPF3_HUMAN	PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	2.71088e+08
O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1	5.18215e+07
O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54	3.53079e+07
O43402	EMC8_HUMAN	EMC8	ER membrane protein complex subunit 8	1.48094e+07
O43427	FIBP_HUMAN	FIBP	Acidic fibroblast growth factor intracellular-binding protein	925571
O43432	IF4G3_HUMAN	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3	6.02287e+06
O43447	PPIH_HUMAN	PPIH	Peptidyl-prolyl cis-trans isomerase H	8.59993e+06
O43464	HTRA2_HUMAN	HTRA2	Serine protease HTRA2, mitochondrial	6.63463e+06
O43488	ARK72_HUMAN	AKR7A2	Aflatoxin B1 aldehyde reductase member 2	5.44461e+07
O43490	PROM1_HUMAN	PROM1	Prominin-1	2.42008e+06
O43491	E41L2_HUMAN	EPB41L2	Band 4.1-like protein 2	6.43109e+07
O43493	TGON2_HUMAN	TGOLN2	Trans-Golgi network integral membrane protein 2	3.88122e+06
O43504	LTOR5_HUMAN	LAMTOR5	Ragulator complex protein LAMTOR5	1.67667e+07
O43516	WIPF1_HUMAN	WIPF1	WAS/WASL-interacting protein family member 1	6.56236e+06
O43567	RNF13_HUMAN	RNF13	E3 ubiquitin-protein ligase RNF13	3.41199e+06
O43572	AKA10_HUMAN	AKAP10	A-kinase anchor protein 10, mitochondrial	1.71453e+06
O43583	DENR_HUMAN	DENR	Density-regulated protein	1.87474e+07
O43592	XPOT_HUMAN	XPOT	Exportin-T	4.41994e+06
O43598	DNPH1_HUMAN	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	1.65343e+07
O43615	TIM44_HUMAN	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	9.95004e+06
O43617	TPPC3_HUMAN	TRAPPC3	Trafficking protein particle complex subunit 3	6.10431e+06
O43633	CHM2A_HUMAN	CHMP2A	Charged multivesicular body protein 2a	4.64966e+07
O43660	PLRG1_HUMAN	PLRG1	Pleiotropic regulator 1	1.24394e+07
O43665	RGS10_HUMAN	RGS10	Regulator of G-protein signaling 10	1.12869e+07
O43670	ZN207_HUMAN	ZNF207	BUB3-interacting and GLEBS motif-containing protein ZNF207	3.93796e+07
O43674	NDUB5_HUMAN	NDUFB5	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial	1.49376e+07
O43676	NDUB3_HUMAN	NDUFB3	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3	7.05363e+06
O43678	NDUA2_HUMAN	NDUFA2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2	3.96745e+07
O43681	GET3_HUMAN	GET3	ATPase GET3	1.46801e+07
O43684	BUB3_HUMAN	BUB3	Mitotic checkpoint protein BUB3	3.68065e+07
O43707	ACTN4_HUMAN	ACTN4	Alpha-actinin-4	9.71511e+08
O43709	BUD23_HUMAN	BUD23	Probable 18S rRNA (guanine-N(7))-methyltransferase	1.37084e+07
O43715	TRIA1_HUMAN	TRIAP1	TP53-regulated inhibitor of apoptosis 1	4.63444e+06
O43716	GATC_HUMAN	GATC	Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial	6.04441e+06
O43719	HTSF1_HUMAN	HTATSF1	HIV Tat-specific factor 1	9.58078e+06
O43747	AP1G1_HUMAN	AP1G1	AP-1 complex subunit gamma-1	1.78755e+06
O43752	STX6_HUMAN	STX6	Syntaxin-6	4.67166e+06
O43765	SGTA_HUMAN	SGTA	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	3.39824e+07
O43768	ENSA_HUMAN	ENSA	Alpha-endosulfine	4.56277e+07
O43776	SYNC_HUMAN	NARS1	Asparagine--tRNA ligase, cytoplasmic	3.423e+07
O43795	MYO1B_HUMAN	MYO1B	Unconventional myosin-Ib	1.60452e+07
O43805	SSNA1_HUMAN	SSNA1	Microtubule nucleation factor SSNA1	3.48617e+06
O43809	CPSF5_HUMAN	NUDT21	Cleavage and polyadenylation specificity factor subunit 5	2.92501e+07
O43813	LANC1_HUMAN	LANCL1	Glutathione S-transferase LANCL1	2.19204e+07
O43815	STRN_HUMAN	STRN	Striatin	6.14456e+06
O43818	U3IP2_HUMAN	RRP9	U3 small nucleolar RNA-interacting protein 2	9.82453e+06
O43823	AKAP8_HUMAN	AKAP8	A-kinase anchor protein 8	1.14496e+07
O43837	IDH3B_HUMAN	IDH3B	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial	2.66924e+07
