Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\E20200930yuanch_Connie_TCPA_60minDIA_b3-1.mzML
A0A0C4DH36	HV338_HUMAN	IGHV3-38	Probable non-functional immunoglobulin heavy variable 3-38	7.71849e+06
A0A0C4DH38	HV551_HUMAN	IGHV5-51	Immunoglobulin heavy variable 5-51	2.29404e+07
A0A0C4DH67	KV108_HUMAN	IGKV1-8	Immunoglobulin kappa variable 1-8	1.13759e+07
A0A0C4DH68	KV224_HUMAN	IGKV2-24	Immunoglobulin kappa variable 2-24	4.57273e+07
A0A0C4DH72	KV106_HUMAN	IGKV1-6	Immunoglobulin kappa variable 1-6	2.60454e+07
A0A0J9YVY3	HV741_HUMAN	IGHV7-4-1	Immunoglobulin heavy variable 7-4-1	1.97232e+06
A0A0J9YX35	HV64D_HUMAN	IGHV3-64D	Immunoglobulin heavy variable 3-64D	1.03708e+08
A0A0J9YXX1	HV5X1_HUMAN	IGHV5-10-1	Immunoglobulin heavy variable 5-10-1	9.70013e+06
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	1.52554e+07
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	8.41847e+07
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	1.93819e+07
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	7.70313e+06
A0PJZ3	GXLT2_HUMAN	GXYLT2	Glucoside xylosyltransferase 2	210883
A1A4S6	RHG10_HUMAN	ARHGAP10	Rho GTPase-activating protein 10	1.56277e+06
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	1.02588e+07
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	1.27187e+07
A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	1.63406e+07
A2RTX5	SYTC2_HUMAN	TARS3	Threonine--tRNA ligase 2, cytoplasmic	2.56173e+06
A2RUB1	MEIOC_HUMAN	MEIOC	Meiosis-specific coiled-coil domain-containing protein MEIOC	2.26207e+07
A2RUC4	TYW5_HUMAN	TYW5	tRNA wybutosine-synthesizing protein 5	1.32469e+06
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	5.94865e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	1.67727e+07
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	6.33203e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	7.35431e+07
A6NC98	CC88B_HUMAN	CCDC88B	Coiled-coil domain-containing protein 88B	6.04963e+06
A6NCE7	MP3B2_HUMAN	MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	9.74401e+06
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	3.01567e+07
A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	6.07921e+06
A6NFQ2	TCAF2_HUMAN	TCAF2	TRPM8 channel-associated factor 2	1.84731e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	6.38482e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	6.61474e+06
A6NLP5	TTC36_HUMAN	TTC36	Tetratricopeptide repeat protein 36	2.05138e+07
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	1.22766e+06
A8K7I4	CLCA1_HUMAN	CLCA1	Calcium-activated chloride channel regulator 1	3.22454e+06
A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	9.24535e+06
A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	831157
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	1.0444e+07
B7ZAQ6	GPHRA_HUMAN	GPR89A	Golgi pH regulator A	1.05171e+07
B9A064	IGLL5_HUMAN	IGLL5	Immunoglobulin lambda-like polypeptide 5	5.60276e+06
C4AMC7	WASH3_HUMAN	WASH3P	Putative WAS protein family homolog 3	1.07852e+07
C9J7I0	UMAD1_HUMAN	UMAD1	UBAP1-MVB12-associated (UMA)-domain containing protein 1	3.88184e+06
C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	6.20107e+06
E9PAV3	NACAM_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	8.97578e+07
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	1.42907e+07
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	1.0567e+07
L0R8F8	MIDUO_HUMAN	MIEF1	Mitochondrial ribosome and complex I assembly factor AltMIEF1	1.63703e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	2.3563e+07
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	1.48468e+07
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	9.83278e+06
O00142	KITM_HUMAN	TK2	Thymidine kinase 2, mitochondrial	9.00034e+06
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	1.78042e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	8.93106e+07
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	1.41835e+07
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	4.81757e+07
O00160	MYO1F_HUMAN	MYO1F	Unconventional myosin-If	2.27751e+07
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	1.91714e+07
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	2.28422e+06
O00168	PLM_HUMAN	FXYD1	Phospholemman	1.2749e+06
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	2.10755e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	9.43228e+06
O00182	LEG9_HUMAN	LGALS9	Galectin-9	3.57887e+07
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	1.2178e+07
O00193	SMAP_HUMAN	SMAP	Small acidic protein	7.51484e+06
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	1.82625e+07
O00214	LEG8_HUMAN	LGALS8	Galectin-8	1.62884e+06
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	1.1294e+07
O00221	IKBE_HUMAN	NFKBIE	NF-kappa-B inhibitor epsilon	5.44122e+06
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	3.90334e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	1.8182e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	1.35069e+08
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	1.41642e+07
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	5.16138e+07
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	9.31441e+06
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	9.17727e+06
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	5.5519e+07
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	1.68018e+08
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	4.68273e+07
O00329	PK3CD_HUMAN	PIK3CD	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform	487900
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	8.04894e+06
O00338	ST1C2_HUMAN	SULT1C2	Sulfotransferase 1C2	4.02401e+06
O00339	MATN2_HUMAN	MATN2	Matrilin-2	8.51699e+07
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	3.69246e+06
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	2.48151e+06
O00401	WASL_HUMAN	WASL	Actin nucleation-promoting factor WASL	9.05008e+06
O00410	IPO5_HUMAN	IPO5	Importin-5	1.8367e+07
O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial	576229
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	5.22856e+06
O00423	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1	1.92438e+06
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	1.83194e+07
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	1.47957e+07
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	9.02367e+06
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	5.66925e+06
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	264217
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	8.71781e+06
O00462	MANBA_HUMAN	MANBA	Beta-mannosidase	5.08209e+06
O00468	AGRIN_HUMAN	AGRN	Agrin	2.89345e+07
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	4.02462e+06
O00470	MEIS1_HUMAN	MEIS1	Homeobox protein Meis1	2.91717e+06
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	7.56456e+06
O00478	BT3A3_HUMAN	BTN3A3	Butyrophilin subfamily 3 member A3	1.54383e+06
O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	3.23105e+06
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	4.4381e+07
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	3.07327e+07
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	1.02925e+07
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	6.6565e+06
O00506	STK25_HUMAN	STK25	Serine/threonine-protein kinase 25	1.36971e+06
O00515	LAD1_HUMAN	LAD1	Ladinin-1	1.89191e+07
O00519	FAAH1_HUMAN	FAAH	Fatty-acid amide hydrolase 1	1.34449e+07
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	1.0582e+07
O00541	PESC_HUMAN	PES1	Pescadillo homolog	1.13743e+07
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	4.31863e+06
O00562	PITM1_HUMAN	PITPNM1	Membrane-associated phosphatidylinositol transfer protein 1	2.8836e+06
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	5.65776e+06
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	4.14204e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	5.44303e+07
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	9.80284e+06
O00592	PODXL_HUMAN	PODXL	Podocalyxin	2.41266e+07
O00625	PIR_HUMAN	PIR	Pirin	6.33383e+06
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	2.17975e+07
O00635	TRI38_HUMAN	TRIM38	E3 ubiquitin-protein ligase TRIM38	2.07849e+06
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	6.69753e+06
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	1.11383e+07
O00748	EST2_HUMAN	CES2	Cocaine esterase	5.64257e+07
O00750	P3C2B_HUMAN	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	1.68941e+07
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	2.4236e+07
O00757	F16P2_HUMAN	FBP2	Fructose-1,6-bisphosphatase isozyme 2	1.09118e+07
O00763	ACACB_HUMAN	ACACB	Acetyl-CoA carboxylase 2	3.86753e+06
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	4.61697e+07
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	4.24116e+06
O14498	ISLR_HUMAN	ISLR	Immunoglobulin superfamily containing leucine-rich repeat protein	1.01579e+07
O14524	NEMP1_HUMAN	NEMP1	Nuclear envelope integral membrane protein 1	2.52438e+06
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	1.83756e+06
O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	5.4316e+06
O14558	HSPB6_HUMAN	HSPB6	Heat shock protein beta-6	4.43824e+07
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	3.18458e+07
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	7.51004e+06
O14569	C56D2_HUMAN	CYB561D2	Transmembrane reductase CYB561D2	841872
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	5.07034e+07
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	1.40671e+07
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	1.7222e+07
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	1.70709e+07
O14641	DVL2_HUMAN	DVL2	Segment polarity protein dishevelled homolog DVL-2	5.06392e+06
O14646	CHD1_HUMAN	CHD1	Chromodomain-helicase-DNA-binding protein 1	2.91351e+06
O14647	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2	973240
O14653	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2	1.69227e+07
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	3.12747e+06
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	1.20832e+06
O14662	STX16_HUMAN	STX16	Syntaxin-16	2.81795e+06
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	1.08521e+07
O14683	P5I11_HUMAN	TP53I11	Tumor protein p53-inducible protein 11	1.33702e+06
O14686	KMT2D_HUMAN	KMT2D	Histone-lysine N-methyltransferase 2D	4.09436e+07
O14727	APAF_HUMAN	APAF1	Apoptotic protease-activating factor 1	1.64921e+06
O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	2.27031e+07
O14733	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	884244
O14734	ACOT8_HUMAN	ACOT8	Acyl-coenzyme A thioesterase 8	4.04704e+06
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	1.18384e+07
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	3.43233e+07
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	1.72049e+07
O14745	NHRF1_HUMAN	NHERF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	6.82064e+07
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	1.64325e+08
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	1.12246e+07
O14786	NRP1_HUMAN	NRP1	Neuropilin-1	8.85461e+06
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	898347
O14791	APOL1_HUMAN	APOL1	Apolipoprotein L1	8.55924e+06
O14802	RPC1_HUMAN	POLR3A	DNA-directed RNA polymerase III subunit RPC1	3.56962e+06
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	8.30395e+07
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	2.50059e+07
O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	1.27579e+07
O14874	BCKD_HUMAN	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	3.02717e+07
O14879	IFIT3_HUMAN	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3	6.33489e+06
O14896	IRF6_HUMAN	IRF6	Interferon regulatory factor 6	1.12274e+06
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	1.98501e+07
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	1.40991e+07
O14910	LIN7A_HUMAN	LIN7A	Protein lin-7 homolog A	1.25405e+07
O14920	IKKB_HUMAN	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	5.3395e+06
O14924	RGS12_HUMAN	RGS12	Regulator of G-protein signaling 12	1.08903e+08
O14925	TIM23_HUMAN	TIMM23	Mitochondrial import inner membrane translocase subunit Tim23	6.0298e+06
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	1.19524e+07
O14933	UB2L6_HUMAN	UBE2L6	Ubiquitin/ISG15-conjugating enzyme E2 L6	1.0619e+07
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	7.05443e+06
O14939	PLD2_HUMAN	PLD2	Phospholipase D2	3.90207e+06
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	2.53711e+07
O14950	ML12B_HUMAN	MYL12B	Myosin regulatory light chain 12B	4.18948e+08
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	1.64751e+07
O14966	RAB7L_HUMAN	RAB29	Ras-related protein Rab-7L1	5.84277e+06
O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	3.52171e+06
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	1.84503e+07
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	3.88197e+07
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	7.19684e+07
O14980	XPO1_HUMAN	XPO1	Exportin-1	2.34093e+07
O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	2.32183e+06
O15013	ARHGA_HUMAN	ARHGEF10	Rho guanine nucleotide exchange factor 10	941684
O15020	SPTN2_HUMAN	SPTBN2	Spectrin beta chain, non-erythrocytic 2	4.7175e+06
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	2.75384e+07
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	8.25067e+06
O15037	KHNYN_HUMAN	KHNYN	Protein KHNYN	445327
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	1.04101e+07
O15047	SET1A_HUMAN	SETD1A	Histone-lysine N-methyltransferase SETD1A	1.6778e+06
O15061	SYNEM_HUMAN	SYNM	Synemin	1.46787e+07
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	1.71301e+07
O15075	DCLK1_HUMAN	DCLK1	Serine/threonine-protein kinase DCLK1	4.953e+06
O15085	ARHGB_HUMAN	ARHGEF11	Rho guanine nucleotide exchange factor 11	1.83028e+07
O15091	MRPP3_HUMAN	PRORP	Mitochondrial ribonuclease P catalytic subunit	3.27884e+07
O15111	IKKA_HUMAN	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha	2.31432e+06
O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1	8.80122e+06
O15117	FYB1_HUMAN	FYB1	FYN-binding protein 1	1.07717e+07
O15120	PLCB_HUMAN	AGPAT2	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	5.57318e+08
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	1.62891e+08
O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	3.63353e+07
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	9.80266e+07
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	9.90205e+07
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	1.82734e+08
O15155	BET1_HUMAN	BET1	BET1 homolog	7.72374e+06
O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	1.01108e+07
O15164	TIF1A_HUMAN	TRIM24	Transcription intermediary factor 1-alpha	6.74457e+06
O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	5.58622e+07
O15182	CETN3_HUMAN	CETN3	Centrin-3	1.56625e+06
O15195	VILL_HUMAN	VILL	Villin-like protein	1.4766e+09
O15211	RGL2_HUMAN	RGL2	Ral guanine nucleotide dissociation stimulator-like 2	2.24729e+06
O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	1.85812e+07
O15213	WDR46_HUMAN	WDR46	WD repeat-containing protein 46	2.48149e+06
O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	4.27106e+07
O15231	ZN185_HUMAN	ZNF185	Zinc finger protein 185	5.2601e+07
O15234	CASC3_HUMAN	CASC3	Protein CASC3	5.45723e+06
O15239	NDUA1_HUMAN	NDUFA1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1	6.23718e+06
O15247	CLIC2_HUMAN	CLIC2	Chloride intracellular channel protein 2	7.17666e+06
O15258	RER1_HUMAN	RER1	Protein RER1	1.64451e+07
O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	5.74447e+07
O15264	MK13_HUMAN	MAPK13	Mitogen-activated protein kinase 13	1.79861e+07
O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	8.26472e+06
O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	5.43459e+06
O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	6.67055e+07
O15321	TM9S1_HUMAN	TM9SF1	Transmembrane 9 superfamily member 1	5.10317e+06
O15327	INP4B_HUMAN	INPP4B	Inositol polyphosphate 4-phosphatase type II	1.01769e+06
O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	9.74302e+06
O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	2.26795e+07
O15357	SHIP2_HUMAN	INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	4.36578e+06
O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	2.96079e+07
O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	2.00771e+07
O15382	BCAT2_HUMAN	BCAT2	Branched-chain-amino-acid aminotransferase, mitochondrial	1.97745e+07
O15397	IPO8_HUMAN	IPO8	Importin-8	4.57107e+06
O15400	STX7_HUMAN	STX7	Syntaxin-7	3.46992e+07
O15427	MOT4_HUMAN	SLC16A3	Monocarboxylate transporter 4	7.13681e+06
O15438	MRP3_HUMAN	ABCC3	ATP-binding cassette sub-family C member 3	4.08792e+06
O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2	5.39712e+06
O15484	CAN5_HUMAN	CAPN5	Calpain-5	3.30989e+06
O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6	1.37497e+07
O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	2.01835e+08
O15516	CLOCK_HUMAN	CLOCK	Circadian locomoter output cycles protein kaput	3.95481e+07
O15523	DDX3Y_HUMAN	DDX3Y	ATP-dependent RNA helicase DDX3Y	6.97222e+06
O15530	PDPK1_HUMAN	PDPK1	3-phosphoinositide-dependent protein kinase 1	2.54653e+06
O15533	TPSN_HUMAN	TAPBP	Tapasin	6.5042e+07
O15551	CLD3_HUMAN	CLDN3	Claudin-3	5.79287e+06
O43143	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	2.99496e+07
O43148	MCES_HUMAN	RNMT	mRNA cap guanine-N7 methyltransferase	2.30383e+06
O43149	ZZEF1_HUMAN	ZZEF1	Zinc finger ZZ-type and EF-hand domain-containing protein 1	8.36191e+06
O43157	PLXB1_HUMAN	PLXNB1	Plexin-B1	1.35028e+06
O43159	RRP8_HUMAN	RRP8	Ribosomal RNA-processing protein 8	2.62637e+06
O43166	SI1L1_HUMAN	SIPA1L1	Signal-induced proliferation-associated 1-like protein 1	6.8415e+06
O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B	3.65132e+07
O43172	PRP4_HUMAN	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	3.45418e+07
O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	8.41619e+07
O43181	NDUS4_HUMAN	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	1.82999e+07
O43189	PHF1_HUMAN	PHF1	PHD finger protein 1	292425
O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	1.63389e+08
O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	2.40727e+07
O43251	RFOX2_HUMAN	RBFOX2	RNA binding protein fox-1 homolog 2	2.53126e+06
O43252	PAPS1_HUMAN	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1	6.59933e+06
