Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\E20200929yuanch_Connie_TCPA_60minDIA_b2-15.mzML
A0A0C4DH72	KV106_HUMAN	IGKV1-6	Immunoglobulin kappa variable 1-6	3.13467e+07
A0A0J9YX35	HV64D_HUMAN	IGHV3-64D	Immunoglobulin heavy variable 3-64D	2.59049e+07
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	4.91822e+06
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	2.07301e+07
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	1.93474e+07
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	8.6803e+06
A0PJZ3	GXLT2_HUMAN	GXYLT2	Glucoside xylosyltransferase 2	448583
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	1.53942e+07
A1L4H1	SRCRL_HUMAN	SSC5D	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D	6.81682e+06
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	1.93054e+07
A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	2.56201e+07
A2RTX5	SYTC2_HUMAN	TARS3	Threonine--tRNA ligase 2, cytoplasmic	1.4222e+06
A2RUB1	MEIOC_HUMAN	MEIOC	Meiosis-specific coiled-coil domain-containing protein MEIOC	1.87841e+07
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	1.30782e+07
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	2.53458e+06
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	7.62138e+06
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	1.03384e+07
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	3.17904e+07
A6NCE7	MP3B2_HUMAN	MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1.21242e+07
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	5.73111e+06
A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	1.10382e+07
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	1.97426e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	7.38381e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	1.16136e+07
A6NMY6	AXA2L_HUMAN	ANXA2P2	Putative annexin A2-like protein	2.88041e+06
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	2.26249e+06
A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	2.47929e+06
A7KAX9	RHG32_HUMAN	ARHGAP32	Rho GTPase-activating protein 32	3.31308e+06
A8K7I4	CLCA1_HUMAN	CLCA1	Calcium-activated chloride channel regulator 1	7.59856e+06
A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	6.8043e+06
A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	3.40868e+06
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	6.99751e+06
B4DXR9	ZN732_HUMAN	ZNF732	Zinc finger protein 732	3.2489e+06
B7ZAQ6	GPHRA_HUMAN	GPR89A	Golgi pH regulator A	1.38989e+07
B9A064	IGLL5_HUMAN	IGLL5	Immunoglobulin lambda-like polypeptide 5	9.34365e+06
C4AMC7	WASH3_HUMAN	WASH3P	Putative WAS protein family homolog 3	5.05845e+06
C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	7.07045e+06
E9PAV3	NACAM_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	8.05951e+07
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	1.45368e+07
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	5.2145e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	2.29164e+07
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	2.90189e+07
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	9.81788e+06
O00142	KITM_HUMAN	TK2	Thymidine kinase 2, mitochondrial	1.94006e+07
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	1.5676e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	9.1496e+07
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	1.15448e+07
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	7.91843e+07
O00160	MYO1F_HUMAN	MYO1F	Unconventional myosin-If	1.2518e+07
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	2.49791e+07
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	2.02505e+06
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	3.58724e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	7.67793e+06
O00182	LEG9_HUMAN	LGALS9	Galectin-9	1.84643e+07
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	5.30132e+07
O00193	SMAP_HUMAN	SMAP	Small acidic protein	1.03607e+07
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	1.13395e+07
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	2.22401e+07
O00214	LEG8_HUMAN	LGALS8	Galectin-8	4.88556e+06
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	3.29161e+06
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	3.07096e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	1.34655e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	2.78161e+07
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	1.2036e+08
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	8.8326e+06
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	7.26112e+06
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	1.4015e+07
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	2.14128e+08
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	3.79741e+07
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	1.13285e+07
O00338	ST1C2_HUMAN	SULT1C2	Sulfotransferase 1C2	2.93608e+07
O00339	MATN2_HUMAN	MATN2	Matrilin-2	2.30292e+07
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	1.30872e+08
O00401	WASL_HUMAN	WASL	Actin nucleation-promoting factor WASL	2.19993e+08
O00410	IPO5_HUMAN	IPO5	Importin-5	2.33032e+07
O00418	EF2K_HUMAN	EEF2K	Eukaryotic elongation factor 2 kinase	5.34362e+06
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	2.5989e+06
O00423	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1	1.94449e+06
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	3.32943e+07
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	1.05799e+07
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	1.3524e+08
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	2.0273e+06
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	1.80096e+07
O00468	AGRIN_HUMAN	AGRN	Agrin	2.97321e+07
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	4.74273e+08
O00470	MEIS1_HUMAN	MEIS1	Homeobox protein Meis1	3.58384e+06
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	6.58717e+07
O00478	BT3A3_HUMAN	BTN3A3	Butyrophilin subfamily 3 member A3	4.38471e+06
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	9.60219e+06
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	2.99669e+07
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	5.30058e+06
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	7.74317e+06
O00506	STK25_HUMAN	STK25	Serine/threonine-protein kinase 25	1.90501e+06
O00515	LAD1_HUMAN	LAD1	Ladinin-1	1.02761e+08
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	4.79891e+07
O00541	PESC_HUMAN	PES1	Pescadillo homolog	3.65021e+06
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	1.18758e+07
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	3.1749e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	5.41507e+07
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	8.07299e+07
O00625	PIR_HUMAN	PIR	Pirin	1.1725e+06
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	1.60748e+07
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	7.56926e+06
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	8.46652e+06
O00748	EST2_HUMAN	CES2	Cocaine esterase	8.53234e+06
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	6.98133e+07
O00757	F16P2_HUMAN	FBP2	Fructose-1,6-bisphosphatase isozyme 2	1.16622e+06
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	5.12862e+07
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	8.29988e+06
O14498	ISLR_HUMAN	ISLR	Immunoglobulin superfamily containing leucine-rich repeat protein	8.69543e+07
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	2.53623e+06
O14531	DPYL4_HUMAN	DPYSL4	Dihydropyrimidinase-related protein 4	4.7436e+06
O14558	HSPB6_HUMAN	HSPB6	Heat shock protein beta-6	8.31596e+07
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	1.44495e+07
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	6.23702e+06
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	5.86087e+07
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	2.25621e+07
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	1.44327e+07
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	4.26696e+07
O14653	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2	9.162e+06
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	1.03761e+07
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	1.3774e+07
O14662	STX16_HUMAN	STX16	Syntaxin-16	4.61542e+06
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	1.79951e+07
O14683	P5I11_HUMAN	TP53I11	Tumor protein p53-inducible protein 11	8.21342e+06
O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	9.85644e+06
O14733	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	1.18323e+06
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	1.62444e+07
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	2.78044e+07
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	1.52698e+07
O14745	NHRF1_HUMAN	NHERF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	3.17717e+07
O14757	CHK1_HUMAN	CHEK1	Serine/threonine-protein kinase Chk1	3.08502e+06
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	7.92254e+07
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	2.46909e+07
O14786	NRP1_HUMAN	NRP1	Neuropilin-1	2.57123e+07
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	6.09127e+06
O14795	UN13B_HUMAN	UNC13B	Protein unc-13 homolog B	1.13913e+07
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	8.39295e+07
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	1.69714e+07
O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	2.20476e+07
O14874	BCKD_HUMAN	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	1.09691e+07
O14880	MGST3_HUMAN	MGST3	Glutathione S-transferase 3, mitochondrial	1.13467e+07
O14896	IRF6_HUMAN	IRF6	Interferon regulatory factor 6	6.93887e+06
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	6.85653e+07
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	7.65747e+06
O14910	LIN7A_HUMAN	LIN7A	Protein lin-7 homolog A	1.97885e+07
O14920	IKKB_HUMAN	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	7.4314e+06
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	6.1702e+06
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	2.7224e+07
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	4.35359e+07
O14950	ML12B_HUMAN	MYL12B	Myosin regulatory light chain 12B	5.30788e+08
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	2.07123e+07
O14966	RAB7L_HUMAN	RAB29	Ras-related protein Rab-7L1	3.13741e+07
O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	3.4617e+06
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	3.22721e+07
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	6.49236e+07
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	8.77012e+07
O14980	XPO1_HUMAN	XPO1	Exportin-1	2.70039e+07
O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	3.88779e+06
O15013	ARHGA_HUMAN	ARHGEF10	Rho guanine nucleotide exchange factor 10	1.43205e+07
O15020	SPTN2_HUMAN	SPTBN2	Spectrin beta chain, non-erythrocytic 2	9.75723e+06
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	1.26026e+07
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	1.5082e+07
O15033	AREL1_HUMAN	AREL1	Apoptosis-resistant E3 ubiquitin protein ligase 1	1.10505e+07
O15037	KHNYN_HUMAN	KHNYN	Protein KHNYN	1.92252e+06
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	1.32871e+07
O15047	SET1A_HUMAN	SETD1A	Histone-lysine N-methyltransferase SETD1A	1.3406e+06
O15061	SYNEM_HUMAN	SYNM	Synemin	4.71097e+06
O15066	KIF3B_HUMAN	KIF3B	Kinesin-like protein KIF3B	5.11593e+06
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	1.84438e+07
O15085	ARHGB_HUMAN	ARHGEF11	Rho guanine nucleotide exchange factor 11	5.12515e+06
O15111	IKKA_HUMAN	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha	2.44374e+06
O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1	1.58845e+07
O15118	NPC1_HUMAN	NPC1	NPC intracellular cholesterol transporter 1	2.32969e+06
O15120	PLCB_HUMAN	AGPAT2	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	1.1436e+07
O15121	DEGS1_HUMAN	DEGS1	Sphingolipid delta(4)-desaturase DES1	1.30467e+06
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	3.02032e+07
O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	1.61206e+07
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	8.75594e+07
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	1.55861e+08
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	3.26992e+08
O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	2.04867e+07
O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	6.53443e+07
O15195	VILL_HUMAN	VILL	Villin-like protein	9.90686e+06
O15211	RGL2_HUMAN	RGL2	Ral guanine nucleotide dissociation stimulator-like 2	2.08033e+06
O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	2.80065e+07
O15229	KMO_HUMAN	KMO	Kynurenine 3-monooxygenase	1.2327e+07
O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	6.12705e+07
O15231	ZN185_HUMAN	ZNF185	Zinc finger protein 185	3.04475e+07
O15232	MATN3_HUMAN	MATN3	Matrilin-3	1.02956e+07
O15239	NDUA1_HUMAN	NDUFA1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1	6.27525e+06
O15247	CLIC2_HUMAN	CLIC2	Chloride intracellular channel protein 2	5.4512e+06
O15254	ACOX3_HUMAN	ACOX3	Peroxisomal acyl-coenzyme A oxidase 3	5.28132e+06
O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	7.2528e+07
O15264	MK13_HUMAN	MAPK13	Mitogen-activated protein kinase 13	2.34022e+07
O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	1.92765e+08
O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	6.13736e+06
O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	2.34543e+07
O15321	TM9S1_HUMAN	TM9SF1	Transmembrane 9 superfamily member 1	1.4327e+07
O15327	INP4B_HUMAN	INPP4B	Inositol polyphosphate 4-phosphatase type II	5.10411e+06
O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	4.32433e+06
O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	1.87146e+07
O15357	SHIP2_HUMAN	INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	5.96179e+06
O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	2.07691e+07
O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	1.31575e+07
O15382	BCAT2_HUMAN	BCAT2	Branched-chain-amino-acid aminotransferase, mitochondrial	1.43744e+07
O15397	IPO8_HUMAN	IPO8	Importin-8	1.50315e+06
O15400	STX7_HUMAN	STX7	Syntaxin-7	5.90586e+07
O15427	MOT4_HUMAN	SLC16A3	Monocarboxylate transporter 4	1.19725e+07
O15438	MRP3_HUMAN	ABCC3	ATP-binding cassette sub-family C member 3	4.14599e+06
O15439	MRP4_HUMAN	ABCC4	ATP-binding cassette sub-family C member 4	1.57615e+06
O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2	7.00885e+06
O15484	CAN5_HUMAN	CAPN5	Calpain-5	2.78865e+07
O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6	1.6925e+07
O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	2.24234e+08
O15523	DDX3Y_HUMAN	DDX3Y	ATP-dependent RNA helicase DDX3Y	1.0445e+07
O15533	TPSN_HUMAN	TAPBP	Tapasin	2.49564e+07
O43143	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	2.86657e+07
O43148	MCES_HUMAN	RNMT	mRNA cap guanine-N7 methyltransferase	2.00896e+06
O43149	ZZEF1_HUMAN	ZZEF1	Zinc finger ZZ-type and EF-hand domain-containing protein 1	6.51254e+06
O43150	ASAP2_HUMAN	ASAP2	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2	5.3584e+06
O43157	PLXB1_HUMAN	PLXNB1	Plexin-B1	1.38957e+06
O43159	RRP8_HUMAN	RRP8	Ribosomal RNA-processing protein 8	1.23494e+07
O43166	SI1L1_HUMAN	SIPA1L1	Signal-induced proliferation-associated 1-like protein 1	6.45679e+06
O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B	7.07021e+07
O43172	PRP4_HUMAN	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	6.13741e+07
O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	2.90469e+07
O43181	NDUS4_HUMAN	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	1.38156e+07
O43236	SEPT4_HUMAN	SEPTIN4	Septin-4	4.55918e+06
O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	3.13121e+07
O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	2.36176e+07
O43251	RFOX2_HUMAN	RBFOX2	RNA binding protein fox-1 homolog 2	3.14615e+06
O43252	PAPS1_HUMAN	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1	3.9075e+07
O43264	ZW10_HUMAN	ZW10	Centromere/kinetochore protein zw10 homolog	1.71528e+08
O43272	PROD_HUMAN	PRODH	Proline dehydrogenase 1, mitochondrial	5.0402e+06
O43278	SPIT1_HUMAN	SPINT1	Kunitz-type protease inhibitor 1	3.40875e+06
O43290	SNUT1_HUMAN	SART1	U4/U6.U5 tri-snRNP-associated protein 1	5.23325e+06
O43292	GPAA1_HUMAN	GPAA1	Glycosylphosphatidylinositol anchor attachment 1 protein	7.32283e+06
O43293	DAPK3_HUMAN	DAPK3	Death-associated protein kinase 3	9.24586e+06
O43294	TGFI1_HUMAN	TGFB1I1	Transforming growth factor beta-1-induced transcript 1 protein	7.36199e+07
O43301	HS12A_HUMAN	HSPA12A	Heat shock 70 kDa protein 12A	3.0902e+07
O43310	CTIF_HUMAN	CTIF	CBP80/20-dependent translation initiation factor	3.60014e+06
O43314	VIP2_HUMAN	PPIP5K2	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	2.16571e+06
O43324	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	2.89078e+07
O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	1.25277e+08
O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1	5.89327e+07
O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54	7.07546e+07
O43402	EMC8_HUMAN	EMC8	ER membrane protein complex subunit 8	9.53059e+06
O43427	FIBP_HUMAN	FIBP	Acidic fibroblast growth factor intracellular-binding protein	1.04741e+07
O43432	IF4G3_HUMAN	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3	2.07759e+06
O43447	PPIH_HUMAN	PPIH	Peptidyl-prolyl cis-trans isomerase H	1.37597e+07
O43464	HTRA2_HUMAN	HTRA2	Serine protease HTRA2, mitochondrial	9.38465e+06
O43488	ARK72_HUMAN	AKR7A2	Aflatoxin B1 aldehyde reductase member 2	7.16052e+07
O43490	PROM1_HUMAN	PROM1	Prominin-1	1.31893e+07
O43491	E41L2_HUMAN	EPB41L2	Band 4.1-like protein 2	4.88782e+07
O43504	LTOR5_HUMAN	LAMTOR5	Ragulator complex protein LAMTOR5	2.10269e+07
O43516	WIPF1_HUMAN	WIPF1	WAS/WASL-interacting protein family member 1	5.17097e+06
O43520	AT8B1_HUMAN	ATP8B1	Phospholipid-transporting ATPase IC	1.73972e+07
O43556	SGCE_HUMAN	SGCE	Epsilon-sarcoglycan	2.84403e+06
O43570	CAH12_HUMAN	CA12	Carbonic anhydrase 12	2.99971e+06
O43583	DENR_HUMAN	DENR	Density-regulated protein	1.10514e+07
O43592	XPOT_HUMAN	XPOT	Exportin-T	1.03453e+07
O43598	DNPH1_HUMAN	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	5.26835e+07
O43615	TIM44_HUMAN	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	7.66576e+06
O43617	TPPC3_HUMAN	TRAPPC3	Trafficking protein particle complex subunit 3	1.62559e+07
O43633	CHM2A_HUMAN	CHMP2A	Charged multivesicular body protein 2a	2.21431e+07
