Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\RA\work\7_1_task\TCPA\E20200929yuanch_Connie_TCPA_60minDIA_b2-2.mzML
A0M8Q6;P0CF74;P0DOY2;P0DOY3	IGLC2_HUMAN;IGLC3_HUMAN;IGLC6_HUMAN;IGLC7_HUMAN	IGLC2;IGLC3;IGLC6;IGLC7	Immunoglobulin lambda constant 7	3.8812e+08
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	1.61899e+07
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	7.2172e+06
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	7.15098e+06
A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	1.81106e+07
A2RTX5	SYTC2_HUMAN	TARS3	Threonine--tRNA ligase 2, cytoplasmic	6.04602e+06
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	5.69672e+06
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	1.09295e+07
A4D1S5	RAB19_HUMAN	RAB19	Ras-related protein Rab-19	2.66069e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	5.52587e+07
A6NCC3;F8WBI6;H3BV12	GOG8N_HUMAN;GOG8O_HUMAN;GOG8Q_HUMAN	GOLGA8N;GOLGA8O;GOLGA8Q	Golgin subfamily A member 8O	1.63353e+07
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	3.16036e+06
A6NDB9	PALM3_HUMAN	PALM3	Paralemmin-3	7.53007e+06
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	8.13298e+07
A6NDR6;O00470;O14770;Q99687	ME3L1_HUMAN;MEIS1_HUMAN;MEIS2_HUMAN;MEIS3_HUMAN	MEIS1;MEIS2;MEIS3;MEIS3P1	Putative homeobox protein Meis3-like 1	8.11921e+06
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	9.40535e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	3.64348e+06
A6NIE9	PRS29_HUMAN	PRSS29P	Putative serine protease 29	2.11473e+07
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	6.28726e+06
A6NLP5	TTC36_HUMAN	TTC36	Tetratricopeptide repeat protein 36	2.79918e+07
A6NM10;Q8IXF9	AQ12A_HUMAN;AQ12B_HUMAN	AQP12A;AQP12B	Aquaporin-12B	1.84479e+07
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	453905
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	9.88885e+07
A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	1.43854e+07
A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	1.1777e+06
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	4.70683e+06
B2RNN3;P0C862	C1T9A_HUMAN;C1T9B_HUMAN	C1QTNF9;C1QTNF9B	Complement C1q and tumor necrosis factor-related protein 9B	1.37581e+08
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	2.67954e+07
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	5.72957e+06
C9J798;O43374	RAS4B_HUMAN;RASL2_HUMAN	RASA4;RASA4B	Ras GTPase-activating protein 4B	705514
C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	3.3658e+06
E9PAV3	NACAM_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	9.33081e+07
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	1.36248e+07
F8WCM5;P01308	INSR2_HUMAN;INS_HUMAN	INS;INS-IGF2	Insulin, isoform 2	5.12311e+08
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	2.3931e+06
L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	2.39251e+06
L0R8F8	MIDUO_HUMAN	MIEF1	Mitochondrial ribosome and complex I assembly factor AltMIEF1	2.25302e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	1.57327e+07
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	7.79184e+06
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	1.29754e+07
O00142	KITM_HUMAN	TK2	Thymidine kinase 2, mitochondrial	1.45116e+07
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	6.70367e+06
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	4.9937e+07
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	5.81293e+06
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	4.95845e+07
O00160	MYO1F_HUMAN	MYO1F	Unconventional myosin-If	7.2734e+06
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	1.57279e+07
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	2.20519e+06
O00168	PLM_HUMAN	FXYD1	Phospholemman	2.58544e+06
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	1.17954e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	7.86086e+06
O00182	LEG9_HUMAN	LGALS9	Galectin-9	1.78905e+07
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	1.0301e+07
O00193	SMAP_HUMAN	SMAP	Small acidic protein	1.13436e+07
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	5.76793e+06
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	3.71189e+07
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	1.87087e+07
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	2.70042e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	1.78218e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	1.89477e+07
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	7.4019e+07
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	1.41403e+07
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	1.23749e+07
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	2.25816e+06
O00292;O75610	LFTY1_HUMAN;LFTY2_HUMAN	LEFTY1;LEFTY2	Left-right determination factor 2	1.7546e+06
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	1.07048e+08
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	4.52418e+07
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	1.4321e+07
O00339	MATN2_HUMAN	MATN2	Matrilin-2	3.16482e+07
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	1.07738e+07
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	6.44748e+06
O00400	ACATN_HUMAN	SLC33A1	Acetyl-coenzyme A transporter 1	3.09939e+06
O00401	WASL_HUMAN	WASL	Actin nucleation-promoting factor WASL	1.38516e+07
O00410	IPO5_HUMAN	IPO5	Importin-5	1.81991e+07
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	4.42568e+06
O00423	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1	4.05679e+06
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	1.47296e+07
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	1.14696e+07
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	442847
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	4.45728e+06
O00462	MANBA_HUMAN	MANBA	Beta-mannosidase	5.5073e+06
O00468	AGRIN_HUMAN	AGRN	Agrin	3.92704e+07
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	4.26466e+06
O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	2.04637e+06
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	7.27317e+07
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	3.75831e+07
O00488	ZN593_HUMAN	ZNF593	Zinc finger protein 593	4.22538e+06
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	8.94718e+06
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	1.59298e+07
O00506	STK25_HUMAN	STK25	Serine/threonine-protein kinase 25	8.10557e+06
O00515	LAD1_HUMAN	LAD1	Ladinin-1	1.26503e+07
O00519	FAAH1_HUMAN	FAAH	Fatty-acid amide hydrolase 1	6.57102e+06
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	2.63733e+07
O00541	PESC_HUMAN	PES1	Pescadillo homolog	2.03758e+07
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	1.37502e+07
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	4.12736e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	1.21052e+08
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	1.34088e+07
O00628	PEX7_HUMAN	PEX7	Peroxisomal targeting signal 2 receptor	1.55223e+06
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	1.22657e+07
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	8.96892e+06
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	2.04959e+07
O00757	F16P2_HUMAN	FBP2	Fructose-1,6-bisphosphatase isozyme 2	2.78869e+07
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	6.32295e+07
O14495	PLPP3_HUMAN	PLPP3	Phospholipid phosphatase 3	1.5442e+06
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	5.8208e+06
O14498	ISLR_HUMAN	ISLR	Immunoglobulin superfamily containing leucine-rich repeat protein	4.43019e+06
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	787139
O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	9.54372e+06
O14558	HSPB6_HUMAN	HSPB6	Heat shock protein beta-6	8.77489e+07
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	2.70261e+07
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	6.12278e+06
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	8.25018e+07
O14602;P47813	IF1AX_HUMAN;IF1AY_HUMAN	EIF1AX;EIF1AY	Eukaryotic translation initiation factor 1A, Y-chromosomal	2.9872e+07
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	2.06757e+07
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	1.33182e+07
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	2.06934e+07
O14647	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2	2.07241e+06
O14653	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2	1.85689e+07
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	4.01359e+06
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	7.68165e+06
O14662	STX16_HUMAN	STX16	Syntaxin-16	5.34827e+06
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	9.71385e+06
O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	1.33183e+08
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	1.68286e+07
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	3.4542e+07
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	5.27042e+07
O14745	NHRF1_HUMAN	NHERF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	3.41682e+07
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	1.01102e+08
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	1.20775e+07
O14786	NRP1_HUMAN	NRP1	Neuropilin-1	4.16439e+06
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	4.45177e+06
O14791	APOL1_HUMAN	APOL1	Apolipoprotein L1	1.02173e+07
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	8.00326e+07
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	1.88333e+07
O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	1.17276e+07
O14874	BCKD_HUMAN	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	4.75144e+07
O14879	IFIT3_HUMAN	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3	2.14337e+06
O14896	IRF6_HUMAN	IRF6	Interferon regulatory factor 6	2.25166e+06
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	2.69935e+07
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	5.26848e+06
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	5.30318e+06
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	1.44488e+07
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	4.65592e+07
O14950;P19105	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	2.3277e+08
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	2.19277e+07
O14966	RAB7L_HUMAN	RAB29	Ras-related protein Rab-7L1	9.83687e+06
O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	5.47112e+06
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	1.17647e+07
O14975	S27A2_HUMAN	SLC27A2	Long-chain fatty acid transport protein 2	2.09538e+06
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	2.56401e+07
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	7.66921e+07
O14980	XPO1_HUMAN	XPO1	Exportin-1	3.07644e+07
O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	1.76841e+06
O15020	SPTN2_HUMAN	SPTBN2	Spectrin beta chain, non-erythrocytic 2	1.91538e+07
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	6.63796e+07
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	1.31498e+07
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	1.09665e+07
O15061	SYNEM_HUMAN	SYNM	Synemin	4.11875e+06
O15066	KIF3B_HUMAN	KIF3B	Kinesin-like protein KIF3B	818542
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	2.73002e+07
O15075	DCLK1_HUMAN	DCLK1	Serine/threonine-protein kinase DCLK1	4.69161e+06
O15084	ANR28_HUMAN	ANKRD28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	9.76207e+06
O15085	ARHGB_HUMAN	ARHGEF11	Rho guanine nucleotide exchange factor 11	4.52163e+06
O15111	IKKA_HUMAN	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha	1.88051e+06
O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1	7.17119e+06
O15120	PLCB_HUMAN	AGPAT2	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	3.32005e+08
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	1.06696e+08
O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	2.76186e+07
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	4.92981e+07
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	6.27256e+07
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	1.18192e+08
O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	1.44096e+07
O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	1.33429e+08
O15211	RGL2_HUMAN	RGL2	Ral guanine nucleotide dissociation stimulator-like 2	2.36322e+06
O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	1.35487e+07
O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	1.28089e+08
O15239	NDUA1_HUMAN	NDUFA1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1	9.87417e+06
O15240	VGF_HUMAN	VGF	Neurosecretory protein VGF	2.50304e+06
O15247	CLIC2_HUMAN	CLIC2	Chloride intracellular channel protein 2	1.03617e+07
O15258	RER1_HUMAN	RER1	Protein RER1	2.19844e+07
O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	1.35492e+08
O15264	MK13_HUMAN	MAPK13	Mitogen-activated protein kinase 13	6.03176e+07
O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	8.59924e+06
O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	6.5869e+06
O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	9.319e+07
O15321	TM9S1_HUMAN	TM9SF1	Transmembrane 9 superfamily member 1	9.65121e+06
O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	7.43901e+06
O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	7.22017e+06
O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	3.76247e+07
O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	2.65058e+07
O15382	BCAT2_HUMAN	BCAT2	Branched-chain-amino-acid aminotransferase, mitochondrial	8.70819e+07
O15397	IPO8_HUMAN	IPO8	Importin-8	5.10893e+06
O15400	STX7_HUMAN	STX7	Syntaxin-7	4.55312e+07
O15438	MRP3_HUMAN	ABCC3	ATP-binding cassette sub-family C member 3	3.0013e+06
O15439	MRP4_HUMAN	ABCC4	ATP-binding cassette sub-family C member 4	1.26328e+06
O15455	TLR3_HUMAN	TLR3	Toll-like receptor 3	2.21025e+06
O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2	7.0292e+06
O15484	CAN5_HUMAN	CAPN5	Calpain-5	3.32933e+06
O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6	1.97867e+07
O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	1.14374e+08
O15530;Q6A1A2	PDPK1_HUMAN;PDPK2_HUMAN	PDPK1;PDPK2P	3-phosphoinositide-dependent protein kinase 1	2.28961e+06
O15533	TPSN_HUMAN	TAPBP	Tapasin	6.28235e+07
O15551	CLD3_HUMAN	CLDN3	Claudin-3	6.83446e+06
O43143	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	4.08583e+07
O43148	MCES_HUMAN	RNMT	mRNA cap guanine-N7 methyltransferase	2.24714e+06
O43149	ZZEF1_HUMAN	ZZEF1	Zinc finger ZZ-type and EF-hand domain-containing protein 1	4.18028e+06
O43150	ASAP2_HUMAN	ASAP2	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2	918668
O43155	FLRT2_HUMAN	FLRT2	Leucine-rich repeat transmembrane protein FLRT2	4.05341e+06
O43159	RRP8_HUMAN	RRP8	Ribosomal RNA-processing protein 8	4.20653e+06
O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B	2.77616e+07
O43172	PRP4_HUMAN	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	3.11261e+07
O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	3.13136e+08
O43181	NDUS4_HUMAN	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	2.70474e+07
O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	1.92952e+07
O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	3.64385e+07
O43251;Q9NWB1	RFOX1_HUMAN;RFOX2_HUMAN	RBFOX1;RBFOX2	RNA binding protein fox-1 homolog 2	4.04966e+06
O43252	PAPS1_HUMAN	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1	1.51179e+07
O43264	ZW10_HUMAN	ZW10	Centromere/kinetochore protein zw10 homolog	4.56744e+06
O43290	SNUT1_HUMAN	SART1	U4/U6.U5 tri-snRNP-associated protein 1	7.13623e+06
O43292	GPAA1_HUMAN	GPAA1	Glycosylphosphatidylinositol anchor attachment 1 protein	7.09858e+06
O43294	TGFI1_HUMAN	TGFB1I1	Transforming growth factor beta-1-induced transcript 1 protein	1.19596e+07
O43301	HS12A_HUMAN	HSPA12A	Heat shock 70 kDa protein 12A	6.67804e+06
O43314	VIP2_HUMAN	PPIP5K2	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	5.10375e+06
O43318	M3K7_HUMAN	MAP3K7	Mitogen-activated protein kinase kinase kinase 7	2.96429e+06
O43324	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	4.19667e+07
O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	6.68527e+07
O43395	PRPF3_HUMAN	PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	7.9912e+06
O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1	3.00949e+07
O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54	4.07261e+07
O43402	EMC8_HUMAN	EMC8	ER membrane protein complex subunit 8	2.72585e+07
O43427	FIBP_HUMAN	FIBP	Acidic fibroblast growth factor intracellular-binding protein	6.1467e+06
O43432	IF4G3_HUMAN	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3	2.63424e+06
O43447	PPIH_HUMAN	PPIH	Peptidyl-prolyl cis-trans isomerase H	1.15728e+07
O43464	HTRA2_HUMAN	HTRA2	Serine protease HTRA2, mitochondrial	1.12568e+07
O43488	ARK72_HUMAN	AKR7A2	Aflatoxin B1 aldehyde reductase member 2	1.08613e+08
O43491	E41L2_HUMAN	EPB41L2	Band 4.1-like protein 2	2.30511e+07
O43493	TGON2_HUMAN	TGOLN2	Trans-Golgi network integral membrane protein 2	5.65213e+07
O43504	LTOR5_HUMAN	LAMTOR5	Ragulator complex protein LAMTOR5	2.29082e+07
O43505	B4GA1_HUMAN	B4GAT1	Beta-1,4-glucuronyltransferase 1	7.46474e+06
O43520	AT8B1_HUMAN	ATP8B1	Phospholipid-transporting ATPase IC	1.04849e+07
O43570	CAH12_HUMAN	CA12	Carbonic anhydrase 12	1.57222e+07
O43583	DENR_HUMAN	DENR	Density-regulated protein	1.70728e+07
O43592	XPOT_HUMAN	XPOT	Exportin-T	1.11137e+07
O43598	DNPH1_HUMAN	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	1.47916e+08
O43615	TIM44_HUMAN	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	6.57812e+06
O43617	TPPC3_HUMAN	TRAPPC3	Trafficking protein particle complex subunit 3	2.12668e+07
O43633	CHM2A_HUMAN	CHMP2A	Charged multivesicular body protein 2a	1.82385e+07
O43639	NCK2_HUMAN	NCK2	Cytoplasmic protein NCK2	3.7556e+06
O43660	PLRG1_HUMAN	PLRG1	Pleiotropic regulator 1	7.81061e+06
O43670	ZN207_HUMAN	ZNF207	BUB3-interacting and GLEBS motif-containing protein ZNF207	1.9424e+07
