Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\DIArt_model\human\A20200127caix_yuanch_TCPA_CA_120min_DIA_11.mzML
O00488	ZN593_HUMAN	ZNF593	Zinc finger protein 593	377650
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	2.21405e+06
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	2.90239e+06
O00515	LAD1_HUMAN	LAD1	Ladinin-1	6.22123e+06
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	1.01544e+07
O00541	PESC_HUMAN	PES1	Pescadillo homolog	3.36244e+06
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	2.16843e+06
O00562	PITM1_HUMAN	PITPNM1	Membrane-associated phosphatidylinositol transfer protein 1	991861
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	747436
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	2.13312e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	2.80122e+07
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	3.50106e+06
O00625	PIR_HUMAN	PIR	Pirin	1.14424e+06
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	7.03493e+06
O00635	TRI38_HUMAN	TRIM38	E3 ubiquitin-protein ligase TRIM38	1.66179e+06
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	8.43141e+06
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	6.84872e+06
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	1.63856e+07
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	2.67692e+06
O14498	ISLR_HUMAN	ISLR	Immunoglobulin superfamily containing leucine-rich repeat protein	1.86866e+06
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	1.75496e+06
O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	2.70156e+06
O14558	HSPB6_HUMAN	HSPB6	Heat shock protein beta-6	691332
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	5.22716e+06
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	1.88751e+07
O14602;P47813	IF1AX_HUMAN;IF1AY_HUMAN	EIF1AX;EIF1AY	Eukaryotic translation initiation factor 1A, Y-chromosomal	5.90438e+06
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	7.20503e+06
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	6.09237e+06
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	1.54058e+06
O14647	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2	824651
O14653	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2	3.62751e+06
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	1.81114e+06
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	977972
O14662	STX16_HUMAN	STX16	Syntaxin-16	1.47966e+06
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	1.79823e+06
O14727	APAF_HUMAN	APAF1	Apoptotic protease-activating factor 1	613560
O14733	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	603642
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	3.04593e+06
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	1.05019e+07
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	8.52379e+06
O14745	NHRF1_HUMAN	NHERF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	1.27413e+07
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	4.67069e+07
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	7.72899e+06
O14786	NRP1_HUMAN	NRP1	Neuropilin-1	6.43293e+06
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	1.21684e+06
O14791	APOL1_HUMAN	APOL1	Apolipoprotein L1	4.60821e+06
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	2.5527e+07
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	5.85282e+06
O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	3.35123e+06
O14874	BCKD_HUMAN	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	2.86227e+06
O14879	IFIT3_HUMAN	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3	1.99658e+06
O14880	MGST3_HUMAN	MGST3	Glutathione S-transferase 3, mitochondrial	332337
O14896	IRF6_HUMAN	IRF6	Interferon regulatory factor 6	5.50743e+06
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	7.20806e+06
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	6.56033e+06
O14920	IKKB_HUMAN	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	1.35533e+07
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	5.37163e+06
O14933	UB2L6_HUMAN	UBE2L6	Ubiquitin/ISG15-conjugating enzyme E2 L6	5.12317e+06
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	3.80997e+06
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	8.60544e+06
O14950;P19105	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	7.85886e+07
O14957	QCR10_HUMAN	UQCR11	Cytochrome b-c1 complex subunit 10	261973
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	5.13357e+06
O14966	RAB7L_HUMAN	RAB29	Ras-related protein Rab-7L1	1.50256e+06
O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	679254
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	9.90172e+06
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	2.84951e+06
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	3.43034e+07
O14980	XPO1_HUMAN	XPO1	Exportin-1	1.95953e+07
O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	969091
O15020	SPTN2_HUMAN	SPTBN2	Spectrin beta chain, non-erythrocytic 2	2.83845e+06
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	9.72629e+06
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	3.9378e+06
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	7.7649e+06
O15047	SET1A_HUMAN	SETD1A	Histone-lysine N-methyltransferase SETD1A	264070
O15056	SYNJ2_HUMAN	SYNJ2	Synaptojanin-2	879189
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	4.39174e+06
O15075	DCLK1_HUMAN	DCLK1	Serine/threonine-protein kinase DCLK1	1.98179e+06
O15084	ANR28_HUMAN	ANKRD28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	1.96902e+06
O15085	ARHGB_HUMAN	ARHGEF11	Rho guanine nucleotide exchange factor 11	428434
O15111	IKKA_HUMAN	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha	1.36398e+06
O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1	4.38264e+06
O15117	FYB1_HUMAN	FYB1	FYN-binding protein 1	3.39572e+06
O15118	NPC1_HUMAN	NPC1	NPC intracellular cholesterol transporter 1	1.17696e+06
O15120	PLCB_HUMAN	AGPAT2	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	410413
O15121	DEGS1_HUMAN	DEGS1	Sphingolipid delta(4)-desaturase DES1	1.22786e+06
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	893083
O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	9.94757e+06
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	3.96575e+07
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	5.1932e+07
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	1.22284e+08
O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	2.98259e+06
O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	1.25156e+07
O15211	RGL2_HUMAN	RGL2	Ral guanine nucleotide dissociation stimulator-like 2	1.44066e+06
O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	9.52652e+06
O15213	WDR46_HUMAN	WDR46	WD repeat-containing protein 46	803481
O15226	NKRF_HUMAN	NKRF	NF-kappa-B-repressing factor	547435
O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	1.38556e+07
O15231	ZN185_HUMAN	ZNF185	Zinc finger protein 185	9.1092e+06
O15239	NDUA1_HUMAN	NDUFA1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1	1.23904e+06
O15247	CLIC2_HUMAN	CLIC2	Chloride intracellular channel protein 2	1.31355e+07
O15254	ACOX3_HUMAN	ACOX3	Peroxisomal acyl-coenzyme A oxidase 3	4.15422e+06
O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	1.44236e+07
O15264	MK13_HUMAN	MAPK13	Mitogen-activated protein kinase 13	1.51028e+06
O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	7.36972e+06
O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	2.44466e+06
O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	2.06801e+07
O15321	TM9S1_HUMAN	TM9SF1	Transmembrane 9 superfamily member 1	2.58089e+06
O15327	INP4B_HUMAN	INPP4B	Inositol polyphosphate 4-phosphatase type II	650608
O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	9.86827e+06
O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	5.60854e+06
O15357	SHIP2_HUMAN	INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	999151
O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	1.62461e+07
O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	7.88025e+06
O15379	HDAC3_HUMAN	HDAC3	Histone deacetylase 3	850465
O15381	NVL_HUMAN	NVL	Nuclear valosin-containing protein-like	541721
O15382	BCAT2_HUMAN	BCAT2	Branched-chain-amino-acid aminotransferase, mitochondrial	4.65477e+06
O15389;Q08ET2	SIG14_HUMAN;SIGL5_HUMAN	SIGLEC14;SIGLEC5	Sialic acid-binding Ig-like lectin 5	611233
O15397	IPO8_HUMAN	IPO8	Importin-8	3.41845e+06
O15400	STX7_HUMAN	STX7	Syntaxin-7	1.18463e+07
O15439	MRP4_HUMAN	ABCC4	ATP-binding cassette sub-family C member 4	1.88355e+07
O15455	TLR3_HUMAN	TLR3	Toll-like receptor 3	1.01567e+06
O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2	4.72e+06
O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6	6.00922e+06
O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	9.33802e+07
O15530;Q6A1A2	PDPK1_HUMAN;PDPK2_HUMAN	PDPK1;PDPK2P	3-phosphoinositide-dependent protein kinase 1	913719
O15533	TPSN_HUMAN	TAPBP	Tapasin	3.10555e+07
O15541	R113A_HUMAN	RNF113A	E3 ubiquitin-protein ligase RNF113A	1.26513e+06
O43143	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	3.79336e+07
O43148	MCES_HUMAN	RNMT	mRNA cap guanine-N7 methyltransferase	1.98763e+06
O43149	ZZEF1_HUMAN	ZZEF1	Zinc finger ZZ-type and EF-hand domain-containing protein 1	2.12133e+06
O43159	RRP8_HUMAN	RRP8	Ribosomal RNA-processing protein 8	1.96987e+06
O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B	7.97208e+06
O43172	PRP4_HUMAN	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	3.86189e+06
O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	2.3523e+07
O43181	NDUS4_HUMAN	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	4.13971e+06
O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	6.28043e+06
O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	1.457e+07
O43251	RFOX2_HUMAN	RBFOX2	RNA binding protein fox-1 homolog 2	4.7082e+06
O43252	PAPS1_HUMAN	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1	2.85637e+06
O43264	ZW10_HUMAN	ZW10	Centromere/kinetochore protein zw10 homolog	1.89788e+06
O43278	SPIT1_HUMAN	SPINT1	Kunitz-type protease inhibitor 1	1.42854e+06
O43290	SNUT1_HUMAN	SART1	U4/U6.U5 tri-snRNP-associated protein 1	2.78359e+06
O43292	GPAA1_HUMAN	GPAA1	Glycosylphosphatidylinositol anchor attachment 1 protein	1.8819e+06
O43293	DAPK3_HUMAN	DAPK3	Death-associated protein kinase 3	1.00309e+06
O43294	TGFI1_HUMAN	TGFB1I1	Transforming growth factor beta-1-induced transcript 1 protein	4.77605e+06
O43299	AP5Z1_HUMAN	AP5Z1	AP-5 complex subunit zeta-1	544086
O43301	HS12A_HUMAN	HSPA12A	Heat shock 70 kDa protein 12A	250032
O43318	M3K7_HUMAN	MAP3K7	Mitogen-activated protein kinase kinase kinase 7	587661
O43324	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	6.71806e+06
O43353	RIPK2_HUMAN	RIPK2	Receptor-interacting serine/threonine-protein kinase 2	7.93403e+06
O43374	RASL2_HUMAN	RASA4	Ras GTPase-activating protein 4	461298
O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	2.84012e+07
O43395	PRPF3_HUMAN	PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	4.70495e+06
O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1	1.69806e+07
O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54	6.82786e+06
O43402	EMC8_HUMAN	EMC8	ER membrane protein complex subunit 8	5.52962e+06
