Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\RA\work\7_1_task\TCPA\E20200928yuanch_Connie_TCPA_60minDIA_b1-10.mzML
A8CG34;Q96HA1	P121A_HUMAN;P121C_HUMAN	POM121;POM121C	Nuclear envelope pore membrane protein POM 121C	866838
A8K2U0	A2ML1_HUMAN	A2ML1	Alpha-2-macroglobulin-like protein 1	3.53735e+06
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	1.70602e+08
A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	5.62255e+06
A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	1.11578e+06
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	4.2039e+06
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	1.72733e+07
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	1.24799e+07
C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	7.28437e+06
C9JQL5	DSA2D_HUMAN		Putative dispanin subfamily A member 2d	5.18849e+06
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	8.61834e+07
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	1.99616e+07
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	4.56302e+06
L0R8F8	MIDUO_HUMAN	MIEF1	Mitochondrial ribosome and complex I assembly factor AltMIEF1	2.03888e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	2.54505e+07
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	2.18777e+07
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	1.4244e+07
O00142	KITM_HUMAN	TK2	Thymidine kinase 2, mitochondrial	1.8222e+07
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	3.84915e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	1.22299e+08
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	9.07e+06
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	6.04076e+07
O00160	MYO1F_HUMAN	MYO1F	Unconventional myosin-If	5.36842e+06
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	1.59997e+07
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	2.38063e+07
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	3.61799e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	7.87454e+06
O00182	LEG9_HUMAN	LGALS9	Galectin-9	4.54473e+07
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	9.86319e+06
O00193	SMAP_HUMAN	SMAP	Small acidic protein	1.00566e+07
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	1.04678e+07
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	3.29307e+07
O00214	LEG8_HUMAN	LGALS8	Galectin-8	4.56696e+06
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	1.30718e+07
O00221	IKBE_HUMAN	NFKBIE	NF-kappa-B inhibitor epsilon	1.45482e+06
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	3.46267e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	1.66142e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	1.81969e+07
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	1.18612e+08
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	1.29608e+07
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	1.3644e+07
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	9.98667e+06
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	4.83695e+08
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	3.50123e+07
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	1.63774e+07
O00338	ST1C2_HUMAN	SULT1C2	Sulfotransferase 1C2	3.03151e+06
O00339	MATN2_HUMAN	MATN2	Matrilin-2	3.1056e+07
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	2.27681e+07
O00401	WASL_HUMAN	WASL	Actin nucleation-promoting factor WASL	1.42768e+07
O00410	IPO5_HUMAN	IPO5	Importin-5	1.58191e+07
O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial	1.042e+06
O00418	EF2K_HUMAN	EEF2K	Eukaryotic elongation factor 2 kinase	8.31963e+06
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	7.97585e+06
O00423	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1	2.93639e+06
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	6.82999e+07
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	7.41213e+07
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	9.17511e+06
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	2.61264e+06
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	756546
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	2.76567e+08
O00462	MANBA_HUMAN	MANBA	Beta-mannosidase	6.96724e+06
O00468	AGRIN_HUMAN	AGRN	Agrin	3.52796e+07
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	9.86172e+08
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	9.0001e+06
O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	2.36695e+06
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	3.27834e+07
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	3.23982e+07
O00488	ZN593_HUMAN	ZNF593	Zinc finger protein 593	3.79366e+06
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	2.14987e+07
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	2.06945e+07
O00506	STK25_HUMAN	STK25	Serine/threonine-protein kinase 25	1.93742e+06
O00515	LAD1_HUMAN	LAD1	Ladinin-1	8.2703e+07
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	6.7358e+07
O00541	PESC_HUMAN	PES1	Pescadillo homolog	1.11383e+07
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	2.07354e+07
O00562	PITM1_HUMAN	PITPNM1	Membrane-associated phosphatidylinositol transfer protein 1	8.26117e+06
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	2.62562e+06
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	4.17003e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	9.44384e+07
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	1.26925e+08
O00625	PIR_HUMAN	PIR	Pirin	2.88144e+06
O00635	TRI38_HUMAN	TRIM38	E3 ubiquitin-protein ligase TRIM38	3.47656e+06
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	1.701e+07
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	1.56923e+07
O00748	EST2_HUMAN	CES2	Cocaine esterase	2.15069e+08
O00750	P3C2B_HUMAN	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	2.99738e+07
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	2.52194e+07
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	7.13936e+07
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	6.05596e+06
O14498	ISLR_HUMAN	ISLR	Immunoglobulin superfamily containing leucine-rich repeat protein	2.11568e+07
O14524	NEMP1_HUMAN	NEMP1	Nuclear envelope integral membrane protein 1	7.2685e+06
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	2.702e+06
O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	1.03425e+07
O14558	HSPB6_HUMAN	HSPB6	Heat shock protein beta-6	5.55054e+07
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	8.54537e+06
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	7.88097e+07
O14593	RFXK_HUMAN	RFXANK	DNA-binding protein RFXANK	1.80963e+06
O14602;P47813	IF1AX_HUMAN;IF1AY_HUMAN	EIF1AX;EIF1AY	Eukaryotic translation initiation factor 1A, Y-chromosomal	2.83037e+07
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	2.96842e+07
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	3.05864e+07
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	2.87175e+07
O14647	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2	5.48221e+06
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	5.0331e+06
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	9.93388e+06
O14662	STX16_HUMAN	STX16	Syntaxin-16	5.71616e+06
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	1.08656e+07
O14683	P5I11_HUMAN	TP53I11	Tumor protein p53-inducible protein 11	6.30416e+06
O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	1.00204e+07
O14733	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	1.04988e+06
O14734	ACOT8_HUMAN	ACOT8	Acyl-coenzyme A thioesterase 8	7.50261e+06
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	1.08018e+07
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	4.4657e+07
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	3.00956e+07
O14745	NHRF1_HUMAN	NHERF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	1.28511e+08
O14756	H17B6_HUMAN	HSD17B6	17-beta-hydroxysteroid dehydrogenase type 6	4.24074e+06
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	9.70886e+07
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	2.76361e+07
O14786	NRP1_HUMAN	NRP1	Neuropilin-1	2.35661e+06
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	1.06799e+07
O14791	APOL1_HUMAN	APOL1	Apolipoprotein L1	5.48914e+07
O14795	UN13B_HUMAN	UNC13B	Protein unc-13 homolog B	1.88338e+06
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	8.49217e+07
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	2.97055e+07
O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	1.21515e+07
O14874	BCKD_HUMAN	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	2.5745e+07
O14879	IFIT3_HUMAN	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3	1.05184e+07
O14896	IRF6_HUMAN	IRF6	Interferon regulatory factor 6	7.36442e+06
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	2.3241e+07
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	2.68792e+07
O14920	IKKB_HUMAN	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	4.59013e+07
O14925	TIM23_HUMAN	TIMM23	Mitochondrial import inner membrane translocase subunit Tim23	6.43898e+06
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	1.86155e+07
O14933	UB2L6_HUMAN	UBE2L6	Ubiquitin/ISG15-conjugating enzyme E2 L6	1.92909e+07
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	1.45101e+07
O14939	PLD2_HUMAN	PLD2	Phospholipase D2	2.976e+06
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	3.341e+07
O14950;P19105	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	3.72509e+08
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	2.72869e+07
O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	4.74307e+06
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	1.7462e+07
O14975	S27A2_HUMAN	SLC27A2	Long-chain fatty acid transport protein 2	2.15055e+06
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	6.029e+07
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	1.51323e+08
O14980	XPO1_HUMAN	XPO1	Exportin-1	4.69238e+07
O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	1.84252e+06
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	5.21623e+07
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	2.52773e+07
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	1.77091e+07
O15047	SET1A_HUMAN	SETD1A	Histone-lysine N-methyltransferase SETD1A	1.86115e+07
O15061	SYNEM_HUMAN	SYNM	Synemin	7.30028e+06
O15066	KIF3B_HUMAN	KIF3B	Kinesin-like protein KIF3B	1.43944e+06
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	1.64506e+07
O15084	ANR28_HUMAN	ANKRD28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	8.90353e+06
O15085	ARHGB_HUMAN	ARHGEF11	Rho guanine nucleotide exchange factor 11	3.41748e+06
O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1	1.13916e+07
O15120	PLCB_HUMAN	AGPAT2	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	4.64136e+07
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	1.98744e+07
O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	3.60093e+07
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	1.03658e+08
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	1.00801e+08
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	1.93249e+08
O15155	BET1_HUMAN	BET1	BET1 homolog	2.95884e+06
O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	1.95176e+07
O15164	TIF1A_HUMAN	TRIM24	Transcription intermediary factor 1-alpha	783114
O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	8.14888e+07
O15195	VILL_HUMAN	VILL	Villin-like protein	4.50814e+07
O15198;P84022;Q15796	SMAD2_HUMAN;SMAD3_HUMAN;SMAD9_HUMAN	SMAD2;SMAD3;SMAD9	Mothers against decapentaplegic homolog 9	9.1772e+06
O15211	RGL2_HUMAN	RGL2	Ral guanine nucleotide dissociation stimulator-like 2	2.35385e+06
O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	3.29458e+07
O15213	WDR46_HUMAN	WDR46	WD repeat-containing protein 46	5.42765e+06
O15228	GNPAT_HUMAN	GNPAT	Dihydroxyacetone phosphate acyltransferase	6.66752e+06
O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	1.62039e+08
O15231	ZN185_HUMAN	ZNF185	Zinc finger protein 185	3.69003e+07
O15234	CASC3_HUMAN	CASC3	Protein CASC3	3.15214e+06
O15239	NDUA1_HUMAN	NDUFA1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1	6.57858e+06
O15247	CLIC2_HUMAN	CLIC2	Chloride intracellular channel protein 2	1.35437e+07
O15258	RER1_HUMAN	RER1	Protein RER1	2.82584e+07
O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	7.4519e+07
O15264	MK13_HUMAN	MAPK13	Mitogen-activated protein kinase 13	3.13576e+07
O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	1.44781e+07
O15270	SPTC2_HUMAN	SPTLC2	Serine palmitoyltransferase 2	6.06078e+06
O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	8.98006e+06
O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	6.70194e+07
O15321	TM9S1_HUMAN	TM9SF1	Transmembrane 9 superfamily member 1	9.52893e+06
O15327	INP4B_HUMAN	INPP4B	Inositol polyphosphate 4-phosphatase type II	2.34727e+06
O15344	TRI18_HUMAN	MID1	E3 ubiquitin-protein ligase Midline-1	3.65887e+06
O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	2.20033e+07
O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	8.28181e+07
O15357	SHIP2_HUMAN	INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	8.11412e+06
O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	2.69497e+07
O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	1.68629e+07
O15382	BCAT2_HUMAN	BCAT2	Branched-chain-amino-acid aminotransferase, mitochondrial	1.0455e+07
O15397	IPO8_HUMAN	IPO8	Importin-8	3.99028e+06
O15400	STX7_HUMAN	STX7	Syntaxin-7	5.85632e+07
O15427	MOT4_HUMAN	SLC16A3	Monocarboxylate transporter 4	2.2801e+07
O15438	MRP3_HUMAN	ABCC3	ATP-binding cassette sub-family C member 3	2.06846e+07
O15439	MRP4_HUMAN	ABCC4	ATP-binding cassette sub-family C member 4	3.80322e+06
O15446	RPA34_HUMAN	POLR1G	DNA-directed RNA polymerase I subunit RPA34	5.18998e+06
O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2	2.21936e+07
O15484	CAN5_HUMAN	CAPN5	Calpain-5	1.57107e+07
O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6	1.58735e+07
O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	2.15306e+08
O15523	DDX3Y_HUMAN	DDX3Y	ATP-dependent RNA helicase DDX3Y	1.2455e+07
O15530;Q6A1A2	PDPK1_HUMAN;PDPK2_HUMAN	PDPK1;PDPK2P	3-phosphoinositide-dependent protein kinase 1	1.75612e+06
O15533	TPSN_HUMAN	TAPBP	Tapasin	6.50189e+07
O15541	R113A_HUMAN	RNF113A	E3 ubiquitin-protein ligase RNF113A	4.28503e+06
O15551	CLD3_HUMAN	CLDN3	Claudin-3	7.05199e+06
O43143	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	8.44625e+07
O43148	MCES_HUMAN	RNMT	mRNA cap guanine-N7 methyltransferase	6.56117e+06
O43150	ASAP2_HUMAN	ASAP2	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2	4.28e+06
O43156	TTI1_HUMAN	TTI1	TELO2-interacting protein 1 homolog	2.22345e+06
O43164	PJA2_HUMAN	PJA2	E3 ubiquitin-protein ligase Praja-2	6.3141e+06
O43166	SI1L1_HUMAN	SIPA1L1	Signal-induced proliferation-associated 1-like protein 1	1.15941e+07
O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B	6.13733e+07
O43172	PRP4_HUMAN	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	4.27221e+07
O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	6.13155e+07
O43181	NDUS4_HUMAN	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	2.15205e+07
O43194	GPR39_HUMAN	GPR39	G-protein coupled receptor 39	5.82666e+06
O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	3.09818e+07
O43240	KLK10_HUMAN	KLK10	Kallikrein-10	7.97435e+06
O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	2.83196e+07
O43251	RFOX2_HUMAN	RBFOX2	RNA binding protein fox-1 homolog 2	1.02432e+07
