Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\RA\work\7_1_task\TCPA\E20201002yuanch_Connie_TCPA_60minDIA_b4-4.mzML
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	5.3785e+06
O00339	MATN2_HUMAN	MATN2	Matrilin-2	2.26718e+07
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	1.70113e+07
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	6.9557e+06
O00410	IPO5_HUMAN	IPO5	Importin-5	2.71038e+07
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	7.16676e+06
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	2.85758e+07
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	1.03743e+07
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	3.02656e+06
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	1.87071e+06
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	1.18654e+07
O00462	MANBA_HUMAN	MANBA	Beta-mannosidase	2.99186e+06
O00468	AGRIN_HUMAN	AGRN	Agrin	7.27044e+06
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	4.21266e+08
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	5.18802e+06
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	1.20104e+07
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	3.68992e+07
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	1.91107e+07
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	1.9022e+07
O00506	STK25_HUMAN	STK25	Serine/threonine-protein kinase 25	7.19121e+06
O00512	BCL9_HUMAN	BCL9	B-cell CLL/lymphoma 9 protein	8.54488e+06
O00541	PESC_HUMAN	PES1	Pescadillo homolog	9.43419e+06
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	2.0712e+07
O00562	PITM1_HUMAN	PITPNM1	Membrane-associated phosphatidylinositol transfer protein 1	2.05813e+06
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	7.92788e+06
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	5.98226e+07
O00570;O95416;P41225;P48431;Q9Y651	SOX14_HUMAN;SOX1_HUMAN;SOX21_HUMAN;SOX2_HUMAN;SOX3_HUMAN	SOX1;SOX14;SOX2;SOX21;SOX3	Transcription factor SOX-1	1.77169e+06
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	7.81798e+07
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	3.46221e+06
O00592	PODXL_HUMAN	PODXL	Podocalyxin	8.43132e+06
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	3.04792e+07
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	2.97888e+07
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	9.61267e+06
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	1.09734e+07
O00762	UBE2C_HUMAN	UBE2C	Ubiquitin-conjugating enzyme E2 C	598407
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	2.23948e+07
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	5.91463e+06
O14498	ISLR_HUMAN	ISLR	Immunoglobulin superfamily containing leucine-rich repeat protein	7.06517e+07
O14522	PTPRT_HUMAN	PTPRT	Receptor-type tyrosine-protein phosphatase T	5.01841e+06
O14524	NEMP1_HUMAN	NEMP1	Nuclear envelope integral membrane protein 1	8.52653e+06
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	4.32385e+06
O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	4.40904e+06
O14558	HSPB6_HUMAN	HSPB6	Heat shock protein beta-6	7.39973e+06
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	1.18025e+07
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	2.9984e+07
O14602;P47813	IF1AX_HUMAN;IF1AY_HUMAN	EIF1AX;EIF1AY	Eukaryotic translation initiation factor 1A, Y-chromosomal	1.6192e+07
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	1.90961e+07
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	6.81255e+06
O14641	DVL2_HUMAN	DVL2	Segment polarity protein dishevelled homolog DVL-2	7.8672e+06
O14647	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2	6.92489e+06
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	7.62504e+06
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	2.88168e+06
O14662	STX16_HUMAN	STX16	Syntaxin-16	5.62107e+06
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	8.36075e+06
O14686	KMT2D_HUMAN	KMT2D	Histone-lysine N-methyltransferase 2D	499106
O14727	APAF_HUMAN	APAF1	Apoptotic protease-activating factor 1	1.34265e+07
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	3.15782e+06
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	7.93005e+07
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	2.0377e+07
O14745	NHRF1_HUMAN	NHERF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	9.7881e+06
O14757	CHK1_HUMAN	CHEK1	Serine/threonine-protein kinase Chk1	1.2325e+06
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	3.3023e+07
O14775	GNB5_HUMAN	GNB5	Guanine nucleotide-binding protein subunit beta-5	1.08033e+06
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	1.86758e+07
O14786	NRP1_HUMAN	NRP1	Neuropilin-1	7.17556e+06
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	1.20293e+07
O14791	APOL1_HUMAN	APOL1	Apolipoprotein L1	1.5069e+07
O14793	GDF8_HUMAN	MSTN	Growth/differentiation factor 8	5.95347e+06
O14802	RPC1_HUMAN	POLR3A	DNA-directed RNA polymerase III subunit RPC1	3.41418e+06
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	6.82239e+07
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	1.50438e+07
O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	9.86481e+06
O14893	GEMI2_HUMAN	GEMIN2	Gem-associated protein 2	1.4074e+06
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	1.90613e+07
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	4.97851e+06
O14924	RGS12_HUMAN	RGS12	Regulator of G-protein signaling 12	1.10172e+06
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	2.80916e+07
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	5.13416e+06
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	1.94071e+07
O14950;P19105	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	1.04243e+08
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	2.09839e+07
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	1.70845e+07
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	9.52726e+06
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	2.45815e+08
O14980	XPO1_HUMAN	XPO1	Exportin-1	4.04255e+07
O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	3.03803e+06
O15013	ARHGA_HUMAN	ARHGEF10	Rho guanine nucleotide exchange factor 10	1.83851e+06
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	1.04673e+07
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	971644
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	3.98477e+07
O15047	SET1A_HUMAN	SETD1A	Histone-lysine N-methyltransferase SETD1A	2.89068e+06
O15056	SYNJ2_HUMAN	SYNJ2	Synaptojanin-2	492117
O15066	KIF3B_HUMAN	KIF3B	Kinesin-like protein KIF3B	1.54858e+06
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	2.69171e+07
O15068	MCF2L_HUMAN	MCF2L	Guanine nucleotide exchange factor DBS	8.21092e+06
O15084	ANR28_HUMAN	ANKRD28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	5.79676e+06
O15085	ARHGB_HUMAN	ARHGEF11	Rho guanine nucleotide exchange factor 11	8.65698e+06
O15090	ZN536_HUMAN	ZNF536	Zinc finger protein 536	1.31855e+06
O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1	1.11424e+07
O15120	PLCB_HUMAN	AGPAT2	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	3.29052e+06
O15121	DEGS1_HUMAN	DEGS1	Sphingolipid delta(4)-desaturase DES1	4.75181e+06
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	1.6217e+07
O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	5.3135e+06
O15131;P52294	IMA5_HUMAN;IMA6_HUMAN	KPNA1;KPNA5	Importin subunit alpha-6	5.39502e+06
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	2.17938e+07
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	4.47743e+07
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	1.4606e+08
O15155	BET1_HUMAN	BET1	BET1 homolog	4.35097e+06
O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	1.60979e+07
O15164	TIF1A_HUMAN	TRIM24	Transcription intermediary factor 1-alpha	8.12358e+06
O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	5.56882e+07
O15198;P84022;Q15796	SMAD2_HUMAN;SMAD3_HUMAN;SMAD9_HUMAN	SMAD2;SMAD3;SMAD9	Mothers against decapentaplegic homolog 9	1.2525e+07
O15211	RGL2_HUMAN	RGL2	Ral guanine nucleotide dissociation stimulator-like 2	3.06107e+06
O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	2.64914e+07
O15213	WDR46_HUMAN	WDR46	WD repeat-containing protein 46	7.0528e+06
O15217	GSTA4_HUMAN	GSTA4	Glutathione S-transferase A4	5.04232e+06
O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	1.73963e+07
O15232	MATN3_HUMAN	MATN3	Matrilin-3	5.72912e+06
O15234	CASC3_HUMAN	CASC3	Protein CASC3	2.73801e+06
O15239	NDUA1_HUMAN	NDUFA1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1	2.60478e+06
O15247	CLIC2_HUMAN	CLIC2	Chloride intracellular channel protein 2	1.97386e+07
O15258	RER1_HUMAN	RER1	Protein RER1	1.15116e+07
O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	4.80684e+07
O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	8.36655e+06
O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	9.31096e+06
O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	2.00096e+07
O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	3.24148e+07
O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	2.89916e+07
O15357	SHIP2_HUMAN	INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	1.12733e+07
O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	8.56918e+07
O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	1.25331e+07
O15382	BCAT2_HUMAN	BCAT2	Branched-chain-amino-acid aminotransferase, mitochondrial	6.44971e+06
O15397	IPO8_HUMAN	IPO8	Importin-8	3.78789e+06
O15400	STX7_HUMAN	STX7	Syntaxin-7	2.51746e+07
O15446	RPA34_HUMAN	POLR1G	DNA-directed RNA polymerase I subunit RPA34	3.45818e+06
O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2	9.92411e+07
O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6	1.44395e+07
O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	9.41913e+07
O15523	DDX3Y_HUMAN	DDX3Y	ATP-dependent RNA helicase DDX3Y	1.80188e+07
O43143	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	6.64003e+07
O43148	MCES_HUMAN	RNMT	mRNA cap guanine-N7 methyltransferase	6.87116e+06
O43150	ASAP2_HUMAN	ASAP2	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2	8.82546e+06
O43156	TTI1_HUMAN	TTI1	TELO2-interacting protein 1 homolog	1.12543e+06
O43159	RRP8_HUMAN	RRP8	Ribosomal RNA-processing protein 8	9.39352e+06
O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B	2.94411e+07
O43172	PRP4_HUMAN	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	2.70446e+07
O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	1.75279e+07
O43181	NDUS4_HUMAN	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	1.11733e+07
O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	1.35869e+07
O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	3.20915e+07
O43251	RFOX2_HUMAN	RBFOX2	RNA binding protein fox-1 homolog 2	2.37319e+07
O43252	PAPS1_HUMAN	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1	1.03763e+07
O43264	ZW10_HUMAN	ZW10	Centromere/kinetochore protein zw10 homolog	7.76254e+06
O43290	SNUT1_HUMAN	SART1	U4/U6.U5 tri-snRNP-associated protein 1	2.41958e+07
O43292	GPAA1_HUMAN	GPAA1	Glycosylphosphatidylinositol anchor attachment 1 protein	1.41787e+07
O43294	TGFI1_HUMAN	TGFB1I1	Transforming growth factor beta-1-induced transcript 1 protein	1.18213e+07
O43301	HS12A_HUMAN	HSPA12A	Heat shock 70 kDa protein 12A	3.0922e+06
O43314	VIP2_HUMAN	PPIP5K2	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	2.11078e+06
O43318	M3K7_HUMAN	MAP3K7	Mitogen-activated protein kinase kinase kinase 7	2.36706e+06
O43324	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	1.78007e+07
O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	1.77931e+08
O43395	PRPF3_HUMAN	PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	8.41537e+07
O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1	2.87796e+07
O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54	7.15313e+07
O43427	FIBP_HUMAN	FIBP	Acidic fibroblast growth factor intracellular-binding protein	1.04904e+07
O43432	IF4G3_HUMAN	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3	4.82559e+06
O43447	PPIH_HUMAN	PPIH	Peptidyl-prolyl cis-trans isomerase H	2.41798e+07
O43464	HTRA2_HUMAN	HTRA2	Serine protease HTRA2, mitochondrial	1.48119e+07
O43488	ARK72_HUMAN	AKR7A2	Aflatoxin B1 aldehyde reductase member 2	4.60356e+07
O43490	PROM1_HUMAN	PROM1	Prominin-1	9.47554e+06
O43491	E41L2_HUMAN	EPB41L2	Band 4.1-like protein 2	1.02073e+08
O43504	LTOR5_HUMAN	LAMTOR5	Ragulator complex protein LAMTOR5	2.47888e+07
O43516	WIPF1_HUMAN	WIPF1	WAS/WASL-interacting protein family member 1	1.10967e+07
O43521	B2L11_HUMAN	BCL2L11	Bcl-2-like protein 11	3.03129e+06
O43524	FOXO3_HUMAN	FOXO3	Forkhead box protein O3	2.72546e+06
O43556	SGCE_HUMAN	SGCE	Epsilon-sarcoglycan	4.11608e+06
O43583	DENR_HUMAN	DENR	Density-regulated protein	1.68874e+07
O43592	XPOT_HUMAN	XPOT	Exportin-T	6.61843e+06
O43597	SPY2_HUMAN	SPRY2	Protein sprouty homolog 2	7.4667e+06
O43598	DNPH1_HUMAN	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	1.90448e+07
O43615	TIM44_HUMAN	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	6.3983e+06
O43617	TPPC3_HUMAN	TRAPPC3	Trafficking protein particle complex subunit 3	1.41478e+07
O43633	CHM2A_HUMAN	CHMP2A	Charged multivesicular body protein 2a	1.84217e+07
O43639	NCK2_HUMAN	NCK2	Cytoplasmic protein NCK2	1.43151e+07
O43660	PLRG1_HUMAN	PLRG1	Pleiotropic regulator 1	1.46486e+07
O43665	RGS10_HUMAN	RGS10	Regulator of G-protein signaling 10	3.98866e+06
O43670	ZN207_HUMAN	ZNF207	BUB3-interacting and GLEBS motif-containing protein ZNF207	3.06843e+07
O43676	NDUB3_HUMAN	NDUFB3	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3	3.66778e+06
