Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\DIArt_model\human\A20200127caix_yuanch_TCPA_CA_120min_DIA_09.mzML
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	5.17433e+06
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	777820
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	1.06137e+07
A2A3N6	PIPSL_HUMAN	PIPSL	Putative PIP5K1A and PSMD4-like protein	2.25518e+06
A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	4.11682e+06
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	6.96123e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	1.10843e+07
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	4.53331e+06
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	2.49277e+06
A4D1S0	KLRG2_HUMAN	KLRG2	Killer cell lectin-like receptor subfamily G member 2	9.80327e+06
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	3.32179e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	1.04249e+07
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1.04516e+07
A6NDB9	PALM3_HUMAN	PALM3	Paralemmin-3	1.83928e+06
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	7.17762e+06
A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	2.25427e+06
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	1.00769e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1.17673e+07
A6NI72;P14598	NCF1B_HUMAN;NCF1_HUMAN	NCF1;NCF1B	Putative neutrophil cytosol factor 1B	1.90029e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	1.14708e+07
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	3.77673e+06
A6NKD9	CC85C_HUMAN	CCDC85C	Coiled-coil domain-containing protein 85C	3.08132e+06
A6NKG5	RTL1_HUMAN	RTL1	Retrotransposon-like protein 1	1.20383e+06
A6QL63	ABTB3_HUMAN	ABTB3	Ankyrin repeat and BTB/POZ domain-containing protein 3	1.59738e+06
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	2.13358e+06
A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	1.28637e+06
A7KAX9	RHG32_HUMAN	ARHGAP32	Rho GTPase-activating protein 32	1.14917e+06
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	3.54934e+06
A8MPP1;Q92771	D11L8_HUMAN;DDX12_HUMAN	DDX11L8;DDX12P	Putative ATP-dependent RNA helicase DDX11-like protein 8	1.31741e+06
A8MVW0	F1712_HUMAN	FAM171A2	Protein FAM171A2	4.18236e+06
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	9.5678e+07
A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	1.05181e+07
A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	207853
B1AK53	ESPN_HUMAN	ESPN	Espin	6.57891e+06
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	5.36026e+06
B9A064;P0DOX8	IGL1_HUMAN;IGLL5_HUMAN	IGLL5	Immunoglobulin lambda-like polypeptide 5	2.38786e+08
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	7.06816e+06
C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	1.24015e+07
E9PAV3	NACAM_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	6.20319e+07
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	1.9687e+07
G9CGD6;Q6P9H4	CNIPF_HUMAN;CNKR3_HUMAN	CNK3/IPCEF1;CNKSR3	CNK3/IPCEF1 fusion protein	573587
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	5.33769e+06
L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	3.73988e+06
L0R8F8	MIDUO_HUMAN	MIEF1	Mitochondrial ribosome and complex I assembly factor AltMIEF1	9.23784e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	1.46108e+07
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	2.58113e+07
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	9.41944e+06
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	5.11117e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	2.93035e+07
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	3.70456e+07
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	1.21882e+07
O00160	MYO1F_HUMAN	MYO1F	Unconventional myosin-If	2.9227e+06
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	7.66944e+06
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	6.37566e+06
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	2.26021e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	3.1645e+06
O00182	LEG9_HUMAN	LGALS9	Galectin-9	8.46839e+06
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	6.06476e+06
O00192	ARVC_HUMAN	ARVCF	Splicing regulator ARVCF	1.38292e+06
O00193	SMAP_HUMAN	SMAP	Small acidic protein	1.66883e+07
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	1.08259e+07
O00214	LEG8_HUMAN	LGALS8	Galectin-8	6.89321e+06
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	1.24083e+07
O00221	IKBE_HUMAN	NFKBIE	NF-kappa-B inhibitor epsilon	978622
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	6.65263e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	2.28652e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	8.88942e+06
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	7.07152e+06
O00255	MEN1_HUMAN	MEN1	Menin	6.02074e+06
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	7.12663e+07
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	1.28649e+07
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	2.36948e+06
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	4.12914e+07
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	828806
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	6.76119e+07
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	3.4622e+07
O00305	CACB4_HUMAN	CACNB4	Voltage-dependent L-type calcium channel subunit beta-4	422081
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	1.72036e+07
O00339	MATN2_HUMAN	MATN2	Matrilin-2	5.89465e+06
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	1.33557e+07
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	1.98596e+06
O00401	WASL_HUMAN	WASL	Actin nucleation-promoting factor WASL	5.06097e+06
O00410	IPO5_HUMAN	IPO5	Importin-5	2.1259e+07
O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial	3.18797e+06
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	1.19989e+07
O00423	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1	2.32139e+06
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	3.2952e+07
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	3.06094e+07
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	1.54713e+07
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	1.25611e+06
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	1.62183e+06
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	2.96483e+06
O00468	AGRIN_HUMAN	AGRN	Agrin	1.12328e+07
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	1.55863e+07
O00470	MEIS1_HUMAN	MEIS1	Homeobox protein Meis1	6.95944e+06
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	2.59282e+07
O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	1.1641e+06
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	3.66552e+07
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	4.83486e+07
O00488	ZN593_HUMAN	ZNF593	Zinc finger protein 593	2.05837e+06
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	3.36037e+06
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	2.2775e+07
O00506	STK25_HUMAN	STK25	Serine/threonine-protein kinase 25	1.22582e+06
O00515	LAD1_HUMAN	LAD1	Ladinin-1	6.3242e+07
O00541	PESC_HUMAN	PES1	Pescadillo homolog	1.61297e+07
O00559	RCAS1_HUMAN	EBAG9	Receptor-binding cancer antigen expressed on SiSo cells	3.39765e+06
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	1.06135e+07
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	6.41731e+06
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	9.57629e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	8.4296e+07
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	4.87318e+07
O00592	PODXL_HUMAN	PODXL	Podocalyxin	1.21712e+07
O00625	PIR_HUMAN	PIR	Pirin	8.29422e+06
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	1.232e+07
O00635	TRI38_HUMAN	TRIM38	E3 ubiquitin-protein ligase TRIM38	2.10771e+06
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	1.06072e+07
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	1.12801e+07
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	1.19651e+07
O00762	UBE2C_HUMAN	UBE2C	Ubiquitin-conjugating enzyme E2 C	4.5591e+06
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	2.84758e+07
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	1.71192e+07
O14498	ISLR_HUMAN	ISLR	Immunoglobulin superfamily containing leucine-rich repeat protein	2.0559e+06
O14524	NEMP1_HUMAN	NEMP1	Nuclear envelope integral membrane protein 1	4.87498e+06
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	3.27746e+06
O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	5.0366e+06
O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	2.4353e+06
O14558	HSPB6_HUMAN	HSPB6	Heat shock protein beta-6	1.02625e+07
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	1.74188e+07
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	1.10574e+07
O14578	CTRO_HUMAN	CIT	Citron Rho-interacting kinase	2.84044e+06
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	1.91926e+07
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	7.19629e+06
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	1.7516e+07
O14638	ENPP3_HUMAN	ENPP3	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3	1.92488e+06
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	9.09535e+06
O14641	DVL2_HUMAN	DVL2	Segment polarity protein dishevelled homolog DVL-2	3.18645e+06
O14646	CHD1_HUMAN	CHD1	Chromodomain-helicase-DNA-binding protein 1	7.49868e+06
O14647	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2	3.67546e+06
O14653	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2	6.51606e+06
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	1.80495e+06
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	1.17238e+06
O14662	STX16_HUMAN	STX16	Syntaxin-16	3.58574e+06
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	4.88488e+06
O14683	P5I11_HUMAN	TP53I11	Tumor protein p53-inducible protein 11	3.57142e+06
O14686	KMT2D_HUMAN	KMT2D	Histone-lysine N-methyltransferase 2D	1.79653e+06
O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	5.46416e+06
O14733	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	754029
O14734	ACOT8_HUMAN	ACOT8	Acyl-coenzyme A thioesterase 8	1.36334e+06
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	1.84169e+06
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	1.90815e+07
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	2.40528e+07
O14745	NHRF1_HUMAN	NHERF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	2.48583e+07
O14757	CHK1_HUMAN	CHEK1	Serine/threonine-protein kinase Chk1	3.6966e+06
O14763	TR10B_HUMAN	TNFRSF10B	Tumor necrosis factor receptor superfamily member 10B	233888
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	5.99141e+07
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	3.35155e+07
O14786	NRP1_HUMAN	NRP1	Neuropilin-1	999926
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	5.26873e+06
O14791	APOL1_HUMAN	APOL1	Apolipoprotein L1	2.44731e+06
O14802	RPC1_HUMAN	POLR3A	DNA-directed RNA polymerase III subunit RPC1	9.14051e+06
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	6.41617e+07
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	8.04566e+06
O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	2.74531e+07
O14874	BCKD_HUMAN	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	1.05396e+07
O14879	IFIT3_HUMAN	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3	3.46502e+06
O14880	MGST3_HUMAN	MGST3	Glutathione S-transferase 3, mitochondrial	1.01202e+06
O14893	GEMI2_HUMAN	GEMIN2	Gem-associated protein 2	3.87607e+06
O14896	IRF6_HUMAN	IRF6	Interferon regulatory factor 6	5.6676e+06
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	9.18392e+06
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	7.14268e+06
O14920	IKKB_HUMAN	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	2.95192e+07
O14925	TIM23_HUMAN	TIMM23	Mitochondrial import inner membrane translocase subunit Tim23	7.43636e+06
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	1.8534e+07
O14933	UB2L6_HUMAN	UBE2L6	Ubiquitin/ISG15-conjugating enzyme E2 L6	5.12937e+06
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	1.03752e+07
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	1.10863e+07
O14950;P19105	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	6.27083e+07
O14957	QCR10_HUMAN	UQCR11	Cytochrome b-c1 complex subunit 10	4.88681e+06
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	1.4092e+07
O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	1.41407e+06
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	1.53583e+07
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	1.43579e+07
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	1.31661e+08
O14980	XPO1_HUMAN	XPO1	Exportin-1	7.31287e+07
O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	4.47403e+06
O15020	SPTN2_HUMAN	SPTBN2	Spectrin beta chain, non-erythrocytic 2	1.53745e+07
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	7.55706e+06
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	8.77608e+06
O15037	KHNYN_HUMAN	KHNYN	Protein KHNYN	2.76762e+06
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	3.02651e+07
O15047	SET1A_HUMAN	SETD1A	Histone-lysine N-methyltransferase SETD1A	2.28395e+06
O15056	SYNJ2_HUMAN	SYNJ2	Synaptojanin-2	2.98226e+06
O15066	KIF3B_HUMAN	KIF3B	Kinesin-like protein KIF3B	1.92406e+06
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	2.29129e+07
O15075	DCLK1_HUMAN	DCLK1	Serine/threonine-protein kinase DCLK1	1.03382e+07
O15084	ANR28_HUMAN	ANKRD28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	4.04123e+06
O15085	ARHGB_HUMAN	ARHGEF11	Rho guanine nucleotide exchange factor 11	1.98931e+06
O15091	MRPP3_HUMAN	PRORP	Mitochondrial ribonuclease P catalytic subunit	2.71414e+06
O15111	IKKA_HUMAN	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha	2.38736e+06
O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1	1.54179e+07
O15118	NPC1_HUMAN	NPC1	NPC intracellular cholesterol transporter 1	1.98224e+06
O15121	DEGS1_HUMAN	DEGS1	Sphingolipid delta(4)-desaturase DES1	1.37823e+06
O15123	ANGP2_HUMAN	ANGPT2	Angiopoietin-2	1.84448e+06
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	6.04542e+06
O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	8.55767e+06
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	1.95981e+07
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	4.00662e+07
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	1.54558e+08
O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	2.9266e+07
O15164	TIF1A_HUMAN	TRIM24	Transcription intermediary factor 1-alpha	2.52591e+06
O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	1.25458e+07
O15195	VILL_HUMAN	VILL	Villin-like protein	1.159e+06
O15211	RGL2_HUMAN	RGL2	Ral guanine nucleotide dissociation stimulator-like 2	1.4672e+06
O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	1.25231e+07
O15213	WDR46_HUMAN	WDR46	WD repeat-containing protein 46	1.28114e+07
O15226	NKRF_HUMAN	NKRF	NF-kappa-B-repressing factor	1.17758e+07
O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	1.2332e+07
O15231	ZN185_HUMAN	ZNF185	Zinc finger protein 185	8.52786e+06
O15234	CASC3_HUMAN	CASC3	Protein CASC3	2.86429e+06
O15239	NDUA1_HUMAN	NDUFA1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1	3.78928e+06
O15254	ACOX3_HUMAN	ACOX3	Peroxisomal acyl-coenzyme A oxidase 3	7.89443e+06
O15258	RER1_HUMAN	RER1	Protein RER1	7.13248e+06
O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	2.10032e+07
O15264	MK13_HUMAN	MAPK13	Mitogen-activated protein kinase 13	2.91557e+07
O15266;O60902	SHOX2_HUMAN;SHOX_HUMAN	SHOX;SHOX2	Short stature homeobox protein	300915
O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	9.07677e+06
O15270	SPTC2_HUMAN	SPTLC2	Serine palmitoyltransferase 2	1.70371e+06
O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	1.52048e+07
O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	2.88396e+07
O15321	TM9S1_HUMAN	TM9SF1	Transmembrane 9 superfamily member 1	1.85902e+06
O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	1.84781e+08
O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	2.92697e+07
O15357	SHIP2_HUMAN	INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	4.98224e+06
O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	3.02961e+07
O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	1.97118e+07
O15379	HDAC3_HUMAN	HDAC3	Histone deacetylase 3	2.74309e+06
O15381	NVL_HUMAN	NVL	Nuclear valosin-containing protein-like	1.65861e+06
O15382	BCAT2_HUMAN	BCAT2	Branched-chain-amino-acid aminotransferase, mitochondrial	1.11934e+07
O15397	IPO8_HUMAN	IPO8	Importin-8	5.49761e+06
O15400	STX7_HUMAN	STX7	Syntaxin-7	1.33174e+07
O15439	MRP4_HUMAN	ABCC4	ATP-binding cassette sub-family C member 4	1.44707e+06
O15446	RPA34_HUMAN	POLR1G	DNA-directed RNA polymerase I subunit RPA34	5.00435e+06
O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2	9.51234e+06
O15484	CAN5_HUMAN	CAPN5	Calpain-5	2.18261e+06
