Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\RA\work\7_1_task\TCPA\E20200928yuanch_Connie_TCPA_60minDIA_b1-8.mzML
A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP08	HV434_HUMAN;HV439_HUMAN;HV459_HUMAN;HV461_HUMAN;HVD34_HUMAN;HVD82_HUMAN	IGHV4-30-4;IGHV4-34;IGHV4-38-2;IGHV4-39;IGHV4-59;IGHV4-61	Immunoglobulin heavy variable 4-61	9.48619e+06
A0A0J9YX35	HV64D_HUMAN	IGHV3-64D	Immunoglobulin heavy variable 3-64D	1.13163e+08
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	2.62885e+07
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	1.53488e+07
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	1.27723e+07
A0M8Q6;P0CF74;P0DOY2	IGLC2_HUMAN;IGLC6_HUMAN;IGLC7_HUMAN	IGLC2;IGLC6;IGLC7	Immunoglobulin lambda constant 7	3.55629e+08
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	1.53292e+07
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	1.35436e+07
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	2.54133e+07
A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	1.23542e+07
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	1.65957e+07
A4D126	ISPD_HUMAN	CRPPA	D-ribitol-5-phosphate cytidylyltransferase	469103
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	1.1741e+07
A4D1S5	RAB19_HUMAN	RAB19	Ras-related protein Rab-19	3.09112e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	1.56472e+07
A6NCC3;D6RF30;F8WBI6;H3BQL2;H3BV12;I6L899	GOG8K_HUMAN;GOG8N_HUMAN;GOG8O_HUMAN;GOG8Q_HUMAN;GOG8R_HUMAN;GOG8T_HUMAN	GOLGA8K;GOLGA8N;GOLGA8O;GOLGA8Q;GOLGA8R;GOLGA8T	Golgin subfamily A member 8O	3.85649e+06
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	5.07478e+06
A6NDB9	PALM3_HUMAN	PALM3	Paralemmin-3	1.12918e+07
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	7.79961e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	4.50599e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	6.82938e+06
A6NLP5	TTC36_HUMAN	TTC36	Tetratricopeptide repeat protein 36	1.72276e+07
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	2.37052e+06
A7KAX9;Q7Z6I6	RHG30_HUMAN;RHG32_HUMAN	ARHGAP30;ARHGAP32	Rho GTPase-activating protein 32	1.23594e+06
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	6.61885e+07
A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	2.12479e+07
A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	437227
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	8.71132e+06
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	2.15744e+07
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	1.85029e+07
C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	8.59036e+06
C9JQL5	DSA2D_HUMAN		Putative dispanin subfamily A member 2d	2.01365e+06
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1.29959e+08
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	7.76249e+06
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	2.01082e+06
L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	3.63872e+06
L0R8F8	MIDUO_HUMAN	MIEF1	Mitochondrial ribosome and complex I assembly factor AltMIEF1	1.74232e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	1.72429e+07
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	6.9328e+06
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	1.51501e+07
O00142	KITM_HUMAN	TK2	Thymidine kinase 2, mitochondrial	2.39579e+07
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	6.33801e+06
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	7.02712e+07
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	8.80242e+06
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	9.2e+07
O00160	MYO1F_HUMAN	MYO1F	Unconventional myosin-If	4.64054e+06
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	2.20192e+07
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	2.50912e+06
O00168	PLM_HUMAN	FXYD1	Phospholemman	4.50187e+06
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	2.00649e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	9.65633e+06
O00182	LEG9_HUMAN	LGALS9	Galectin-9	6.14402e+06
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	1.22532e+07
O00193	SMAP_HUMAN	SMAP	Small acidic protein	1.01909e+07
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	3.59486e+07
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	1.98313e+07
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	6.46881e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	1.41394e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	2.41267e+07
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	9.26677e+07
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	1.14891e+07
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	1.19706e+07
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	3.19501e+06
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	9.53525e+07
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	7.32469e+07
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	1.08137e+07
O00338	ST1C2_HUMAN	SULT1C2	Sulfotransferase 1C2	2.43855e+06
O00339	MATN2_HUMAN	MATN2	Matrilin-2	3.13567e+07
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	1.7398e+07
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	1.05515e+07
O00401	WASL_HUMAN	WASL	Actin nucleation-promoting factor WASL	9.86466e+06
O00410	IPO5_HUMAN	IPO5	Importin-5	3.15853e+07
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	3.09246e+06
O00423	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1	7.65706e+06
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	2.08481e+07
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	1.53162e+07
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	4.14902e+06
O00468	AGRIN_HUMAN	AGRN	Agrin	8.25094e+07
O00470	MEIS1_HUMAN	MEIS1	Homeobox protein Meis1	7.68276e+06
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	5.15461e+06
O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	450922
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	8.12554e+07
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	4.80928e+07
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	8.0521e+06
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	2.03856e+07
O00506	STK25_HUMAN	STK25	Serine/threonine-protein kinase 25	1.60488e+06
O00515	LAD1_HUMAN	LAD1	Ladinin-1	2.36189e+07
O00519	FAAH1_HUMAN	FAAH	Fatty-acid amide hydrolase 1	5.2675e+06
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	2.14906e+07
O00541	PESC_HUMAN	PES1	Pescadillo homolog	4.44479e+06
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	1.48712e+07
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	4.18019e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	1.92574e+08
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	1.51104e+07
O00592	PODXL_HUMAN	PODXL	Podocalyxin	8.84776e+06
O00625	PIR_HUMAN	PIR	Pirin	7.6052e+06
O00628	PEX7_HUMAN	PEX7	Peroxisomal targeting signal 2 receptor	4.34534e+06
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	1.38912e+07
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	8.56684e+06
O00748	EST2_HUMAN	CES2	Cocaine esterase	1.41791e+06
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	2.68446e+07
O00763	ACACB_HUMAN	ACACB	Acetyl-CoA carboxylase 2	7.80625e+06
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	6.39777e+07
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	3.29374e+06
O14498	ISLR_HUMAN	ISLR	Immunoglobulin superfamily containing leucine-rich repeat protein	1.88739e+07
O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	7.46752e+06
O14558	HSPB6_HUMAN	HSPB6	Heat shock protein beta-6	1.90548e+08
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	2.77178e+07
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	1.04544e+07
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	1.09558e+08
O14602;P47813	IF1AX_HUMAN;IF1AY_HUMAN	EIF1AX;EIF1AY	Eukaryotic translation initiation factor 1A, Y-chromosomal	2.21713e+07
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	2.13029e+07
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	2.32863e+07
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	1.76641e+07
O14653	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2	2.42037e+07
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	3.02845e+06
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	2.83898e+06
O14662	STX16_HUMAN	STX16	Syntaxin-16	6.09437e+06
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	1.11599e+07
O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	1.18214e+08
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	2.06743e+07
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	5.56309e+07
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	4.3565e+07
O14745	NHRF1_HUMAN	NHERF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	3.9181e+07
O14756	H17B6_HUMAN	HSD17B6	17-beta-hydroxysteroid dehydrogenase type 6	2.20397e+07
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	1.04539e+08
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	5.81968e+07
O14786	NRP1_HUMAN	NRP1	Neuropilin-1	3.93925e+06
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	1.68141e+07
O14791	APOL1_HUMAN	APOL1	Apolipoprotein L1	2.10967e+07
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	1.21733e+08
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	2.61121e+07
O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	1.84653e+07
O14874	BCKD_HUMAN	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	4.40969e+07
O14879	IFIT3_HUMAN	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3	8.53951e+06
O14896	IRF6_HUMAN	IRF6	Interferon regulatory factor 6	2.07787e+06
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	3.21157e+07
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	7.639e+06
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	5.86896e+06
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	1.7218e+07
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	7.29136e+07
O14950;P19105	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	2.909e+08
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	1.14167e+07
O14966	RAB7L_HUMAN	RAB29	Ras-related protein Rab-7L1	1.1353e+07
O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	2.00632e+06
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	2.26116e+07
O14975	S27A2_HUMAN	SLC27A2	Long-chain fatty acid transport protein 2	3.41813e+06
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	8.85226e+06
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	8.18232e+07
O14980	XPO1_HUMAN	XPO1	Exportin-1	3.19249e+07
O15020	SPTN2_HUMAN	SPTBN2	Spectrin beta chain, non-erythrocytic 2	2.12676e+07
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	3.60717e+07
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	3.73058e+07
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	1.40679e+07
O15061	SYNEM_HUMAN	SYNM	Synemin	1.17328e+08
O15066	KIF3B_HUMAN	KIF3B	Kinesin-like protein KIF3B	1.27876e+06
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	1.82156e+07
O15075	DCLK1_HUMAN	DCLK1	Serine/threonine-protein kinase DCLK1	4.14457e+06
O15084	ANR28_HUMAN	ANKRD28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	6.05498e+06
O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1	1.02213e+07
O15120	PLCB_HUMAN	AGPAT2	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	1.38084e+08
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	7.93424e+07
O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	4.11741e+07
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	4.83702e+07
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	8.61492e+07
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	1.37977e+08
O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	1.00927e+07
O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	2.17555e+08
O15211	RGL2_HUMAN	RGL2	Ral guanine nucleotide dissociation stimulator-like 2	3.57211e+06
O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	1.62675e+07
O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	1.89877e+08
O15234	CASC3_HUMAN	CASC3	Protein CASC3	1.61996e+06
O15239	NDUA1_HUMAN	NDUFA1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1	1.68207e+07
O15240	VGF_HUMAN	VGF	Neurosecretory protein VGF	1.44182e+07
O15247	CLIC2_HUMAN	CLIC2	Chloride intracellular channel protein 2	2.74085e+06
O15258	RER1_HUMAN	RER1	Protein RER1	2.62142e+07
O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	1.60986e+08
O15264	MK13_HUMAN	MAPK13	Mitogen-activated protein kinase 13	2.85519e+07
O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	6.59631e+06
O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	6.71968e+06
O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	7.04144e+07
O15321	TM9S1_HUMAN	TM9SF1	Transmembrane 9 superfamily member 1	1.4303e+07
O15327	INP4B_HUMAN	INPP4B	Inositol polyphosphate 4-phosphatase type II	1.77225e+06
O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	9.97622e+06
O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	6.86561e+06
O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	9.0811e+07
O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	3.21866e+07
O15382	BCAT2_HUMAN	BCAT2	Branched-chain-amino-acid aminotransferase, mitochondrial	1.3507e+08
O15397	IPO8_HUMAN	IPO8	Importin-8	4.67708e+06
O15400	STX7_HUMAN	STX7	Syntaxin-7	6.71545e+07
O15438	MRP3_HUMAN	ABCC3	ATP-binding cassette sub-family C member 3	2.13762e+06
O15439	MRP4_HUMAN	ABCC4	ATP-binding cassette sub-family C member 4	1.68256e+06
O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2	2.86902e+06
O15484	CAN5_HUMAN	CAPN5	Calpain-5	5.29152e+06
O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6	2.84179e+07
O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	1.32621e+08
O15523	DDX3Y_HUMAN	DDX3Y	ATP-dependent RNA helicase DDX3Y	1.31874e+07
O15533	TPSN_HUMAN	TAPBP	Tapasin	1.33667e+07
O15551	CLD3_HUMAN	CLDN3	Claudin-3	1.0188e+07
O43143	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	3.83308e+07
O43149	ZZEF1_HUMAN	ZZEF1	Zinc finger ZZ-type and EF-hand domain-containing protein 1	1.42835e+07
O43157	PLXB1_HUMAN	PLXNB1	Plexin-B1	7.16737e+06
O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B	4.00461e+07
O43172	PRP4_HUMAN	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	1.14131e+07
O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	3.69472e+08
O43181	NDUS4_HUMAN	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	3.62106e+07
O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	2.68219e+07
O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	3.52535e+07
O43252	PAPS1_HUMAN	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1	2.19651e+07
O43264	ZW10_HUMAN	ZW10	Centromere/kinetochore protein zw10 homolog	5.29736e+06
O43272	PROD_HUMAN	PRODH	Proline dehydrogenase 1, mitochondrial	2.23056e+07
O43290	SNUT1_HUMAN	SART1	U4/U6.U5 tri-snRNP-associated protein 1	9.85001e+06
O43292	GPAA1_HUMAN	GPAA1	Glycosylphosphatidylinositol anchor attachment 1 protein	7.37807e+06
O43294	TGFI1_HUMAN	TGFB1I1	Transforming growth factor beta-1-induced transcript 1 protein	3.22788e+07
O43301	HS12A_HUMAN	HSPA12A	Heat shock 70 kDa protein 12A	1.78034e+07
O43324	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	5.65874e+07
O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	8.94686e+07
O43395	PRPF3_HUMAN	PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	5.60163e+06
O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1	3.21898e+07
O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54	4.44128e+07
O43427	FIBP_HUMAN	FIBP	Acidic fibroblast growth factor intracellular-binding protein	4.35158e+06
O43432	IF4G3_HUMAN	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3	1.46525e+06
O43447	PPIH_HUMAN	PPIH	Peptidyl-prolyl cis-trans isomerase H	1.15702e+07
O43464	HTRA2_HUMAN	HTRA2	Serine protease HTRA2, mitochondrial	9.9041e+06
O43488	ARK72_HUMAN	AKR7A2	Aflatoxin B1 aldehyde reductase member 2	1.18836e+08
O43491	E41L2_HUMAN	EPB41L2	Band 4.1-like protein 2	4.37177e+07
O43504	LTOR5_HUMAN	LAMTOR5	Ragulator complex protein LAMTOR5	2.35437e+07
O43505	B4GA1_HUMAN	B4GAT1	Beta-1,4-glucuronyltransferase 1	4.73492e+06
O43520	AT8B1_HUMAN	ATP8B1	Phospholipid-transporting ATPase IC	2.08377e+06
O43570	CAH12_HUMAN	CA12	Carbonic anhydrase 12	2.1459e+07
O43583	DENR_HUMAN	DENR	Density-regulated protein	1.57684e+07
O43592	XPOT_HUMAN	XPOT	Exportin-T	1.87597e+07
O43598	DNPH1_HUMAN	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	1.68486e+08
O43615	TIM44_HUMAN	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	8.22715e+06
O43617	TPPC3_HUMAN	TRAPPC3	Trafficking protein particle complex subunit 3	2.29636e+07
O43639	NCK2_HUMAN	NCK2	Cytoplasmic protein NCK2	7.10466e+06
O43660	PLRG1_HUMAN	PLRG1	Pleiotropic regulator 1	8.02862e+06
O43670	ZN207_HUMAN	ZNF207	BUB3-interacting and GLEBS motif-containing protein ZNF207	2.50784e+07
O43674	NDUB5_HUMAN	NDUFB5	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial	2.81582e+07
O43676	NDUB3_HUMAN	NDUFB3	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3	1.21281e+07
O43678	NDUA2_HUMAN	NDUFA2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2	2.33713e+07
O43681	GET3_HUMAN	GET3	ATPase GET3	3.8318e+07
O43684	BUB3_HUMAN	BUB3	Mitotic checkpoint protein BUB3	3.94468e+07
O43707	ACTN4_HUMAN	ACTN4	Alpha-actinin-4	6.46065e+08
O43715	TRIA1_HUMAN	TRIAP1	TP53-regulated inhibitor of apoptosis 1	6.30895e+06
O43716	GATC_HUMAN	GATC	Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial	7.66483e+06
O43719	HTSF1_HUMAN	HTATSF1	HIV Tat-specific factor 1	8.45618e+06
O43739;Q15438;Q99418	CYH1_HUMAN;CYH2_HUMAN;CYH3_HUMAN	CYTH1;CYTH2;CYTH3	Cytohesin-3	6.53129e+06
O43747	AP1G1_HUMAN	AP1G1	AP-1 complex subunit gamma-1	3.31253e+07
O43760	SNG2_HUMAN	SYNGR2	Synaptogyrin-2	1.23379e+07
O43765	SGTA_HUMAN	SGTA	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	3.18215e+07
O43768	ENSA_HUMAN	ENSA	Alpha-endosulfine	1.01287e+07
O43772	MCAT_HUMAN	SLC25A20	Mitochondrial carnitine/acylcarnitine carrier protein	2.56439e+07
O43776	SYNC_HUMAN	NARS1	Asparagine--tRNA ligase, cytoplasmic	6.62915e+07
O43795	MYO1B_HUMAN	MYO1B	Unconventional myosin-Ib	4.98046e+07
O43809	CPSF5_HUMAN	NUDT21	Cleavage and polyadenylation specificity factor subunit 5	3.5702e+07
O43813	LANC1_HUMAN	LANCL1	Glutathione S-transferase LANCL1	4.67315e+07
