Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\RA\work\7_1_task\TCPA\E20201002yuanch_Connie_TCPA_60minDIA_b4-5.mzML
A0A0C4DH72	KV106_HUMAN	IGKV1-6	Immunoglobulin kappa variable 1-6	1.77321e+07
A0A0J9YX35	HV64D_HUMAN	IGHV3-64D	Immunoglobulin heavy variable 3-64D	4.59637e+07
A0A0J9YXX1	HV5X1_HUMAN	IGHV5-10-1	Immunoglobulin heavy variable 5-10-1	4.06691e+07
A0A0X1KG70;Q8NGB6;Q8NGD0	OR4M1_HUMAN;OR4M2_HUMAN;ORM2B_HUMAN	OR4M1;OR4M2;OR4M2B	Olfactory receptor 4M2	817749
A0AVF1	IFT56_HUMAN	IFT56	Intraflagellar transport protein 56	907653
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	6.08957e+07
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	3.46741e+07
A0PJZ3	GXLT2_HUMAN	GXYLT2	Glucoside xylosyltransferase 2	1.01224e+06
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	1.66645e+07
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	1.75318e+07
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	2.54936e+07
A1XBS5	CBAR1_HUMAN	CIBAR1	CBY1-interacting BAR domain-containing protein 1	2.7626e+06
A2NJV5	KV229_HUMAN	IGKV2-29	Immunoglobulin kappa variable 2-29	4.69489e+08
A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	6.94958e+06
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	2.63108e+07
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	3.60396e+07
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	1.17503e+07
A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	1.27057e+07
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	4.64283e+06
A6NFQ2	TCAF2_HUMAN	TCAF2	TRPM8 channel-associated factor 2	6.12884e+06
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1.22605e+07
A6NHQ2	FBLL1_HUMAN	FBLL1	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1	1.32492e+07
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	4.76894e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	1.78233e+07
A6NKD9	CC85C_HUMAN	CCDC85C	Coiled-coil domain-containing protein 85C	2.27931e+06
A6NMZ7	CO6A6_HUMAN	COL6A6	Collagen alpha-6(VI) chain	2.79727e+07
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	5.38056e+06
A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	3.72901e+06
A8MVW0	F1712_HUMAN	FAM171A2	Protein FAM171A2	1.37686e+07
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	6.64243e+07
A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	8.85543e+06
A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	5.30687e+06
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	6.85096e+06
B2RTY4	MYO9A_HUMAN	MYO9A	Unconventional myosin-IXa	6.20961e+06
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	1.41109e+07
B9A064;P0CG04;P0DOX8	IGL1_HUMAN;IGLC1_HUMAN;IGLL5_HUMAN	IGLC1;IGLL5	Immunoglobulin lambda-like polypeptide 5	1.34951e+07
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	7.01579e+06
C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	1.79016e+07
C9JQL5	DSA2D_HUMAN		Putative dispanin subfamily A member 2d	7.24733e+06
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1.16536e+08
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	2.39448e+07
G2XKQ0;P63165	SUMO1_HUMAN;SUMO5_HUMAN	SUMO1;SUMO1P1	Small ubiquitin-related modifier 5	2.78354e+07
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	4.45238e+06
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	6.00223e+07
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	1.13103e+07
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	1.99087e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	8.65151e+07
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	5.886e+07
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	1.88416e+08
O00160	MYO1F_HUMAN	MYO1F	Unconventional myosin-If	1.79683e+07
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	2.17285e+07
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	4.08009e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	1.02851e+07
O00182	LEG9_HUMAN	LGALS9	Galectin-9	3.39341e+07
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	3.92315e+07
O00192	ARVC_HUMAN	ARVCF	Splicing regulator ARVCF	5.94572e+06
O00193	SMAP_HUMAN	SMAP	Small acidic protein	8.43511e+06
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	1.81439e+07
O00213	APBB1_HUMAN	APBB1	Amyloid beta precursor protein binding family B member 1	4.52994e+06
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	3.36914e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	1.90716e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	1.6195e+07
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	6.97766e+06
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	6.1022e+08
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	1.63702e+07
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	1.82258e+06
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	2.08993e+07
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	1.67277e+07
O00292	LFTY2_HUMAN	LEFTY2	Left-right determination factor 2	9.76766e+06
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	1.93261e+08
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	5.17635e+07
O00329	PK3CD_HUMAN	PIK3CD	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform	779496
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	2.25744e+06
O00339	MATN2_HUMAN	MATN2	Matrilin-2	3.4205e+07
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	2.32219e+08
O00401	WASL_HUMAN	WASL	Actin nucleation-promoting factor WASL	1.58251e+08
O00410	IPO5_HUMAN	IPO5	Importin-5	5.27188e+07
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	3.92432e+06
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	3.13816e+07
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	1.1244e+07
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	2.11754e+06
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	1.48948e+07
O00468	AGRIN_HUMAN	AGRN	Agrin	5.15681e+07
O00470	MEIS1_HUMAN	MEIS1	Homeobox protein Meis1	2.41796e+07
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	1.57644e+08
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	4.06319e+07
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	2.81021e+07
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	2.69014e+07
O00506	STK25_HUMAN	STK25	Serine/threonine-protein kinase 25	1.07459e+07
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	2.49822e+07
O00541	PESC_HUMAN	PES1	Pescadillo homolog	6.18807e+06
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	1.48971e+07
O00562	PITM1_HUMAN	PITPNM1	Membrane-associated phosphatidylinositol transfer protein 1	1.02711e+07
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	7.75511e+06
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	4.13094e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	1.10211e+08
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	1.23492e+07
O00592	PODXL_HUMAN	PODXL	Podocalyxin	4.50864e+07
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	7.54252e+06
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	1.7604e+07
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	1.31924e+07
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	3.87379e+07
O00757;P09467	F16P1_HUMAN;F16P2_HUMAN	FBP1;FBP2	Fructose-1,6-bisphosphatase isozyme 2	3.55534e+06
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	3.34835e+07
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	9.68089e+06
O14498	ISLR_HUMAN	ISLR	Immunoglobulin superfamily containing leucine-rich repeat protein	3.71907e+07
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	2.2581e+06
O14531	DPYL4_HUMAN	DPYSL4	Dihydropyrimidinase-related protein 4	2.72449e+07
O14558	HSPB6_HUMAN	HSPB6	Heat shock protein beta-6	7.70189e+08
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	1.2379e+07
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	1.83903e+07
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	6.06071e+07
O14602;P47813	IF1AX_HUMAN;IF1AY_HUMAN	EIF1AX;EIF1AY	Eukaryotic translation initiation factor 1A, Y-chromosomal	1.74568e+07
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	1.53824e+07
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	5.80745e+07
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	1.24991e+07
O14641	DVL2_HUMAN	DVL2	Segment polarity protein dishevelled homolog DVL-2	7.67105e+06
O14653	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2	1.29377e+07
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	9.41964e+06
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	1.78739e+06
O14662	STX16_HUMAN	STX16	Syntaxin-16	5.61446e+06
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	9.0878e+06
O14684	PTGES_HUMAN	PTGES	Prostaglandin E synthase	2.83084e+07
O14733	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	2.3063e+06
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	1.07932e+07
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	6.57112e+07
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	1.09411e+07
O14745	NHRF1_HUMAN	NHERF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	2.87301e+07
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	9.36113e+07
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	2.71687e+07
O14782;O15066;Q9BVG8;Q9P2E2	KIF17_HUMAN;KIF3B_HUMAN;KIF3C_HUMAN;KIFC3_HUMAN	KIF17;KIF3B;KIF3C;KIFC3	Kinesin-like protein KIF3C	5.84379e+06
O14786	NRP1_HUMAN	NRP1	Neuropilin-1	6.96372e+06
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	7.32316e+06
O14791	APOL1_HUMAN	APOL1	Apolipoprotein L1	1.92342e+07
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	7.91621e+07
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	1.70998e+07
O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	1.44682e+07
O14874	BCKD_HUMAN	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	8.04041e+06
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	1.41535e+08
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	9.40831e+06
O14920	IKKB_HUMAN	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	6.77905e+06
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	1.28689e+07
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	2.18697e+07
O14939	PLD2_HUMAN	PLD2	Phospholipase D2	968240
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	7.47711e+07
O14950;P19105	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	3.78832e+08
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	4.89359e+07
O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	2.71163e+06
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	6.26662e+07
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	5.32e+06
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	1.55704e+08
O14980	XPO1_HUMAN	XPO1	Exportin-1	5.39962e+07
O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	3.36997e+06
O15013	ARHGA_HUMAN	ARHGEF10	Rho guanine nucleotide exchange factor 10	6.5041e+06
O15020	SPTN2_HUMAN	SPTBN2	Spectrin beta chain, non-erythrocytic 2	1.01992e+07
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	8.21002e+06
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	1.72832e+07
O15040	TCPR2_HUMAN	TECPR2	Tectonin beta-propeller repeat-containing protein 2	3.50911e+06
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	1.22888e+08
O15047	SET1A_HUMAN	SETD1A	Histone-lysine N-methyltransferase SETD1A	2.39738e+06
O15061	SYNEM_HUMAN	SYNM	Synemin	1.89953e+07
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	2.70016e+07
O15075	DCLK1_HUMAN	DCLK1	Serine/threonine-protein kinase DCLK1	4.06903e+06
O15085	ARHGB_HUMAN	ARHGEF11	Rho guanine nucleotide exchange factor 11	4.33988e+06
O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1	1.52731e+07
O15121	DEGS1_HUMAN	DEGS1	Sphingolipid delta(4)-desaturase DES1	6.4512e+06
O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	2.97204e+07
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	6.92292e+07
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	1.00534e+08
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	2.61195e+08
O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	1.54862e+07
O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	1.54489e+08
O15198;P84022;Q15796	SMAD2_HUMAN;SMAD3_HUMAN;SMAD9_HUMAN	SMAD2;SMAD3;SMAD9	Mothers against decapentaplegic homolog 9	2.52524e+07
O15211	RGL2_HUMAN	RGL2	Ral guanine nucleotide dissociation stimulator-like 2	2.23811e+06
O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	3.59301e+07
O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	3.66419e+07
O15231	ZN185_HUMAN	ZNF185	Zinc finger protein 185	3.7571e+07
O15239	NDUA1_HUMAN	NDUFA1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1	4.94583e+06
O15247	CLIC2_HUMAN	CLIC2	Chloride intracellular channel protein 2	2.6479e+07
O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	1.232e+08
O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	1.08983e+07
O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	1.06924e+07
O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	1.12571e+07
O15321	TM9S1_HUMAN	TM9SF1	Transmembrane 9 superfamily member 1	3.85508e+06
O15327	INP4B_HUMAN	INPP4B	Inositol polyphosphate 4-phosphatase type II	6.73707e+06
O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	1.89887e+07
O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	2.70687e+07
O15357	SHIP2_HUMAN	INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	7.57152e+06
O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	1.94424e+07
O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	1.22483e+07
O15382	BCAT2_HUMAN	BCAT2	Branched-chain-amino-acid aminotransferase, mitochondrial	1.47314e+07
O15391;P25490;Q96MM3	TYY1_HUMAN;TYY2_HUMAN;ZFP42_HUMAN	YY1;YY2;ZFP42	Transcription factor YY2	6.35547e+06
O15397	IPO8_HUMAN	IPO8	Importin-8	5.06402e+06
O15400	STX7_HUMAN	STX7	Syntaxin-7	4.92144e+07
O15427	MOT4_HUMAN	SLC16A3	Monocarboxylate transporter 4	6.91441e+06
O15439	MRP4_HUMAN	ABCC4	ATP-binding cassette sub-family C member 4	5.06321e+06
O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2	2.4314e+07
O15484	CAN5_HUMAN	CAPN5	Calpain-5	2.39307e+07
O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6	1.08496e+07
O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	1.26806e+08
O15533	TPSN_HUMAN	TAPBP	Tapasin	5.53712e+07
O43143	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	5.99541e+07
O43148	MCES_HUMAN	RNMT	mRNA cap guanine-N7 methyltransferase	3.62132e+06
O43150	ASAP2_HUMAN	ASAP2	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2	6.30535e+06
O43155	FLRT2_HUMAN	FLRT2	Leucine-rich repeat transmembrane protein FLRT2	1.1896e+07
O43157	PLXB1_HUMAN	PLXNB1	Plexin-B1	1.3323e+07
O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B	1.95706e+07
O43172	PRP4_HUMAN	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	1.74051e+07
O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	5.22302e+07
O43181	NDUS4_HUMAN	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	1.70269e+07
O43189	PHF1_HUMAN	PHF1	PHD finger protein 1	4.69495e+06
O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	3.23969e+07
O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	3.43136e+07
O43251	RFOX2_HUMAN	RBFOX2	RNA binding protein fox-1 homolog 2	2.40165e+07
O43252	PAPS1_HUMAN	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1	2.83995e+07
O43281	EFS_HUMAN	EFS	Embryonal Fyn-associated substrate	8.11655e+06
O43290	SNUT1_HUMAN	SART1	U4/U6.U5 tri-snRNP-associated protein 1	1.59894e+07
O43292	GPAA1_HUMAN	GPAA1	Glycosylphosphatidylinositol anchor attachment 1 protein	1.83205e+07
O43293	DAPK3_HUMAN	DAPK3	Death-associated protein kinase 3	6.43364e+06
O43294	TGFI1_HUMAN	TGFB1I1	Transforming growth factor beta-1-induced transcript 1 protein	6.51599e+07
O43301	HS12A_HUMAN	HSPA12A	Heat shock 70 kDa protein 12A	4.98135e+07
O43310	CTIF_HUMAN	CTIF	CBP80/20-dependent translation initiation factor	4.22808e+06
O43314	VIP2_HUMAN	PPIP5K2	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	2.99332e+06
O43318	M3K7_HUMAN	MAP3K7	Mitogen-activated protein kinase kinase kinase 7	4.87367e+06
O43324	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	1.8885e+07
O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	2.25074e+08
O43395	PRPF3_HUMAN	PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	6.48866e+06
O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1	6.92565e+07
O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54	9.82546e+07
O43427	FIBP_HUMAN	FIBP	Acidic fibroblast growth factor intracellular-binding protein	1.50527e+07
O43432	IF4G3_HUMAN	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3	4.32415e+06
O43447	PPIH_HUMAN	PPIH	Peptidyl-prolyl cis-trans isomerase H	2.03018e+07
O43464	HTRA2_HUMAN	HTRA2	Serine protease HTRA2, mitochondrial	2.10328e+07
O43488	ARK72_HUMAN	AKR7A2	Aflatoxin B1 aldehyde reductase member 2	1.53975e+08
O43491	E41L2_HUMAN	EPB41L2	Band 4.1-like protein 2	5.4281e+07
O43504	LTOR5_HUMAN	LAMTOR5	Ragulator complex protein LAMTOR5	4.08531e+07
O43521	B2L11_HUMAN	BCL2L11	Bcl-2-like protein 11	2.35053e+06
O43556	SGCE_HUMAN	SGCE	Epsilon-sarcoglycan	1.98761e+07
O43592	XPOT_HUMAN	XPOT	Exportin-T	7.59801e+06
O43598	DNPH1_HUMAN	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	9.7675e+07
O43615	TIM44_HUMAN	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	1.15288e+07
O43617	TPPC3_HUMAN	TRAPPC3	Trafficking protein particle complex subunit 3	5.8945e+06
O43633	CHM2A_HUMAN	CHMP2A	Charged multivesicular body protein 2a	2.6668e+07
O43639	NCK2_HUMAN	NCK2	Cytoplasmic protein NCK2	1.6952e+06
O43660	PLRG1_HUMAN	PLRG1	Pleiotropic regulator 1	9.54878e+06
