Protein.Group	Protein.Names	Genes	First.Protein.Description	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R02\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R02.mzML
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	465820
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	2.07204e+06
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	495573
A8CG34;Q96HA1	P121A_HUMAN;P121C_HUMAN	POM121;POM121C	Nuclear envelope pore membrane protein POM 121C	3.05921e+06
A8MT69	CENPX_HUMAN	CENPX	Centromere protein X	545679
A8MV81;Q9Y241	HIG1A_HUMAN;HIG1C_HUMAN	HIGD1A;HIGD1C	HIG1 domain family member 1C	239583
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	1.29213e+08
A8MXU0	DB108_HUMAN	DEFB108A	Putative beta-defensin 108A	158677
A8MXV4	NUD19_HUMAN	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	494258
A8WHP8	PLIN1_CAEEL	plin-1	Perilipin-1 homolog	8.85094e+06
A8WHT1	TRM5_CAEEL	C53A5.17	tRNA (guanine(37)-N1)-methyltransferase	1.36289e+06
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	6.0786e+06
B1V8A0	SH3GH_CAEEL	unc-57	Endophilin-A homolog	6.04714e+06
B2D6K9	PPH6R_CAEEL	saps-1	Serine/threonine-protein phosphatase 6 regulatory subunit	426445
B2FDA8	SMC3_CAEEL	smc-3	Structural maintenance of chromosomes protein 3	4.09848e+06
C0HLB3;C0HLB4	VATL2_CAEEL;VATL3_CAEEL	vha-2;vha-3	V-type proton ATPase 16 kDa proteolipid subunit 2	6.39206e+06
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	2.95009e+06
C6KRN1	SAO1_CAEEL	sao-1	Suppressor of aph-1	3.29146e+06
D0PV95	DDX3_CAEEL	laf-1	ATP-dependent RNA helicase laf-1	6.5925e+07
D5MCN2	LARP1_CAEEL	larp-1	La-related protein 1	7.16914e+06
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	9.39575e+07
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	1.20065e+07
G4SLH0	TTN1_CAEEL	ttn-1	Titin homolog	6.16305e+06
G5EBV6	PGL3_CAEEL	pgl-3	Guanyl-specific ribonuclease pgl-3	229148
G5EBZ4	LE418_CAEEL	let-418	Protein let-418	1.21977e+06
G5ECM9	CPI2_CAEEL	cpi-2	Cystatin cpi-2	1.87573e+07
G5ECU1	SKR1_CAEEL	skr-1	Skp1-related protein	1.00713e+07
G5ECY0	DLG1_CAEEL	dlg-1	Disks large homolog 1	7.14537e+06
G5ED29	ATX2_CAEEL	atx-2	Ataxin-2 homolog	3.53958e+06
G5ED41	CAND1_CAEEL	cand-1	Cullin-associated NEDD8-dissociated protein 1	5.07426e+06
G5EDM4	NHRF1_CAEEL	nrfl-1	Na(+)/H(+) exchange regulatory cofactor-like protein nrfl-1	1.21175e+07
G5EDN6	CANB_CAEEL	cnb-1	Protein phosphatase 2B regulatory subunit cnb-1	3.62278e+06
G5EDP2	NLTP2_CAEEL	daf-22	Non-specific lipid-transfer protein-like 2	1.42165e+07
G5EDR3	2AB1_CAEEL	sur-6	Serine/threonine-protein phosphatase 2A regulatory subunit sur-6	3.74509e+06
G5EDZ2	UMPS_CAEEL	umps-1	Uridine 5'-monophosphate synthase	3.78887e+06
G5EDZ9	CPI1_CAEEL	cpi-1	Cystatin cpi-1	1.26108e+07
G5EE72	MRP5_CAEEL	mrp-5	Multidrug resistance-associated protein 5	499990
G5EEH9	NUP98_CAEEL	npp-10	Nuclear pore complex protein Nup98-Nup96	2.40396e+06
G5EEI4	ASP1_CAEEL	asp-1	Aspartic protease 1	5.46595e+07
G5EEM5	ZYG9_CAEEL	zyg-9	Zygote defective protein 9	3.27936e+06
G5EER4	FCL_CAEEL	ger-1	GDP-L-fucose synthase	553356
G5EES6	UFD3_CAEEL	ufd-3	Ubiquitin fusion degradation protein 3 homolog	3.35105e+06
G5EF60	STIM1_CAEEL	stim-1	Stromal interaction molecule 1	1.40713e+06
G5EFF7	UBQL_CAEEL	ubql-1	Ubiquilin	1.02009e+07
G5EFS4	DCPS_CAEEL	dcs-1	m7GpppX diphosphatase	5.48439e+06
G5EFT4	AMP1_CAEEL	ltah-1.1	Aminopeptidase ltah-1.1	1.50963e+06
G5EFZ1	GPMI_CAEEL	ipgm-1	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	1.71139e+07
G5EGA5	FAT2_CAEEL	fat-2	Delta(12) fatty acid desaturase fat-2	3.40697e+06
G5EGA6	DHRS4_CAEEL	dhrs-4	Dehydrogenase/reductase SDR family member 4	7.56034e+06
G5EGH7	LON8_CAEEL	lon-8	Protein lon-8	6.87751e+06
G5EGI7	ZIG1_CAEEL	zig-1	Zwei Ig domain protein zig-1	1.9261e+06
G5EGK8	PP2A_CAEEL	let-92	Serine/threonine-protein phosphatase 2A catalytic subunit	3.88638e+07
G5EGN2	FAT6_CAEEL	fat-6	Delta(9)-fatty-acid desaturase fat-6	3.39017e+06
G5EGP8	CATZ1_CAEEL	cpz-1	Cathepsin Z-1	2.27804e+07
H1UBK1	MAP2_CAEEL	map-2	Methionine aminopeptidase 2	8.31027e+06
H2KYE0	NRA4_CAEEL	nra-4	Nicotinic receptor-associated protein 4	6.94687e+06
H2KYQ5	GYG1_CAEEL	gyg-1	Glycogenin-1	9.1039e+06
H2KYS8	CPNA1_CAEEL	cpna-1	Copine family protein 1	1.65345e+06
H2L056	UBXN3_CAEEL	ubxn-3	UBX domain-containing protein 3	810914
K8ESC5	ATG41_CAEEL	atg-4.1	Cysteine protease atg-4.1	921145
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	1.02811e+07
L0R8F8	MIDUO_HUMAN	MIEF1	MIEF1 upstream open reading frame protein	1.58244e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	8.41513e+06
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	1.59245e+07
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	4.10829e+06
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	5.14394e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	8.01004e+06
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	9.16416e+06
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	8.38692e+06
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	5.76679e+06
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	1.39986e+06
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	3.52791e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	3.61918e+06
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	7.74265e+06
O00193	SMAP_HUMAN	SMAP	Small acidic protein	5.49524e+07
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	1.48054e+06
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	7.58021e+06
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	1.21224e+07
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	1.99996e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	1.64725e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	9.26058e+06
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	1.15189e+07
O00255	MEN1_HUMAN	MEN1	Menin	943901
O00257	CBX4_HUMAN	CBX4	E3 SUMO-protein ligase CBX4	1.33373e+07
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	3.67736e+07
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	1.55789e+07
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	1.25057e+06
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	8.75973e+06
O00287	RFXAP_HUMAN	RFXAP	Regulatory factor X-associated protein	257750
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	1.36273e+08
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	1.90078e+07
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	8.20122e+06
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	3.14791e+06
O00400	ACATN_HUMAN	SLC33A1	Acetyl-coenzyme A transporter 1	2.52594e+06
O00401	WASL_HUMAN	WASL	Neural Wiskott-Aldrich syndrome protein	4.27895e+06
O00410	IPO5_HUMAN	IPO5	Importin-5	2.83494e+07
O00418	EF2K_HUMAN	EEF2K	Eukaryotic elongation factor 2 kinase	5.11121e+06
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	8.94391e+07
O00423	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1	1.00061e+06
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	3.62124e+07
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	1.38521e+07
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	3.15029e+06
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	504829
O00458	IFRD1_HUMAN	IFRD1	Interferon-related developmental regulator 1	1.74303e+06
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	714961
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	2.5318e+06
O00468	AGRIN_HUMAN	AGRN	Agrin	175125
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	5.66433e+06
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	2.70359e+06
O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	5.37448e+06
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	4.36776e+07
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	2.90289e+07
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	1.51976e+06
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	3.82823e+06
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	3.13085e+06
O00541	PESC_HUMAN	PES1	Pescadillo homolog	1.5452e+07
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	3.07514e+06
O00562	PITM1_HUMAN	PITPNM1	Membrane-associated phosphatidylinositol transfer protein 1	932159
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	6.80371e+06
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	5.0687e+07
O00570	SOX1_HUMAN	SOX1	Transcription factor SOX-1	2.27963e+06
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	7.3095e+07
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	1.83392e+06
O00592	PODXL_HUMAN	PODXL	Podocalyxin	3.11585e+07
O00625	PIR_HUMAN	PIR	Pirin	1.68314e+07
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	1.13122e+07
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	3.80843e+06
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	5.29214e+06
O00750	P3C2B_HUMAN	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	336647
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	1.0502e+06
O00757;P09201;P09467	F16P1_HUMAN;F16P2_HUMAN;F16P_YEAST	FBP1;FBP2	Fructose-1,6-bisphosphatase isozyme 2	8.46638e+06
O00762	UBE2C_HUMAN	UBE2C	Ubiquitin-conjugating enzyme E2 C	4.71013e+06
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	1.39466e+07
O00767	ACOD_HUMAN	SCD	Acyl-CoA desaturase	2.03945e+07
O01159	RSP7_CAEEL	rsp-7	Probable splicing factor, arginine/serine-rich 7	950286
O01422	CSN2_CAEEL	csn-2	COP9 signalosome complex subunit 2	751582
O01479	TMOD_CAEEL	unc-94	Tropomodulin	1.3931e+06
O01498	STAM1_CAEEL	stam-1	Signal transducing adapter molecule 1	1.21499e+06
O01504	RLA2_CAEEL	C37A2.7	60S acidic ribosomal protein P2	2.6932e+08
O01530	ASP6_CAEEL	asp-6	Aspartic protease 6	3.87131e+07
O01541	SYAC_CAEEL	aars-2	Alanine--tRNA ligase, cytoplasmic	7.96746e+06
O01578	MPC2_CAEEL	mpc-2	Probable mitochondrial pyruvate carrier 2	6.02792e+06
O01592	CYSK3_CAEEL	cysl-3	Cysteine synthase 3	5.34835e+06
O01615	AN322_CAEEL	T19H12.2	Acidic leucine-rich nuclear phosphoprotein 32-related protein 2	1.07055e+07
O01634	INX12_CAEEL	inx-12	Innexin-12	1.15477e+06
O01658	NO66_CAEEL	jmjc-1	Bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66	295595
O01683;P41848	SSP1A_CAEEL;SSP1B_CAEEL	hmg-3;hmg-4	FACT complex subunit ssrp1-B	669344
O01692	RS17_CAEEL	rps-17	40S ribosomal protein S17	9.88016e+07
O01757	NAT10_CAEEL	nath-10	RNA cytidine acetyltransferase	5.56982e+06
O01761	UNC89_CAEEL	unc-89	Muscle M-line assembly protein unc-89	1.7505e+07
O01789	SMC1_CAEEL	him-1	Structural maintenance of chromosomes protein 1	1.14773e+06
O01802	RL7_CAEEL	rpl-7	60S ribosomal protein L7	1.2251e+08
O01803	RB11A_CAEEL	rab-11.1	Ras-related protein rab-11.1	7.50177e+06
O01805	ACBP1_CAEEL	acbp-1	Acyl-CoA-binding protein homolog 1	8.61579e+07
O01812	FABP6_CAEEL	lbp-6	Fatty acid-binding protein homolog 6	1.38363e+08
O01814	FABP5_CAEEL	lbp-5	Fatty acid-binding protein homolog 5	1.04825e+07
O01824	PDXK_CAEEL	pdxk-1	Putative pyridoxal kinase	4.26613e+06
O01829;Q21289	SSP10_CAEEL;SSP19_CAEEL	ssp-10;ssp-19	Sperm-specific class P protein 19	2.23748e+06
O01868	RL24_CAEEL	rpl-24.1	60S ribosomal protein L24	5.61824e+07
O01884	COQ6_CAEEL	coq-6	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial	488847
O01925	MBOA5_CAEEL	mboa-6	Lysophospholipid acyltransferase 5	831923
O01971	EMR1_CAEEL	emr-1	Emerin homolog 1	1.88806e+06
O01974	EIF3H_CAEEL	eif-3.H	Eukaryotic translation initiation factor 3 subunit H	5.27324e+06
O02056	RL4_CAEEL	rpl-4	60S ribosomal protein L4	1.5414e+08
O02108	CDC37_CAEEL	cdc-37	Probable Hsp90 co-chaperone cdc37	6.26417e+06
O02115	PCNA_CAEEL	pcn-1	Proliferating cell nuclear antigen	1.16003e+07
O02161	TIM44_CAEEL	tin-44	Probable mitochondrial import inner membrane translocase subunit tin-44	2.9946e+06
O02323	FABP7_CAEEL	lbp-7	Fatty acid-binding protein homolog 7	8.29728e+06
O02328	EIF3C_CAEEL	eif-3.C	Eukaryotic translation initiation factor 3 subunit C	1.98563e+07
O02365	IFA2_CAEEL	mua-6	Intermediate filament protein ifa-2	3.61514e+07
O02485	YDJ1_CAEEL	ZK1073.1	Uncharacterized protein ZK1073.1	3.06415e+06
O02621	GPX1_CAEEL	gpx-1	Glutathione peroxidase 1	667330
O02639	RL19_CAEEL	rpl-19	60S ribosomal protein L19	7.88787e+07
O02640	MDHM_CAEEL	mdh-2	Probable malate dehydrogenase, mitochondrial	1.58261e+08
O13297	CET1_YEAST	CET1	mRNA-capping enzyme subunit beta	2.06809e+06
O13516	RS9A_YEAST	RPS9A	40S ribosomal protein S9-A	6.72814e+07
O13525	COQ4_YEAST	COQ4	Ubiquinone biosynthesis protein COQ4, mitochondrial	556758
O13547	CCW14_YEAST	CCW14	Covalently-linked cell wall protein 14	4.83159e+06
O13563	RPN13_YEAST	RPN13	26S proteasome regulatory subunit RPN13	4.69811e+06
O14455	RL36B_YEAST	RPL36B	60S ribosomal protein L36-B	1.37397e+08
O14467	MBF1_YEAST	MBF1	Multiprotein-bridging factor 1	4.96948e+07
O14493	CLD4_HUMAN	CLDN4	Claudin-4	3.41534e+06
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	2.55357e+06
O14519	CDKA1_HUMAN	CDK2AP1	Cyclin-dependent kinase 2-associated protein 1	5.97688e+06
O14521	DHSD_HUMAN	SDHD	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial	5.70892e+06
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	4.37392e+06
O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	4.30573e+06
O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	8.12251e+06
O14556	G3PT_HUMAN	GAPDHS	Glyceraldehyde-3-phosphate dehydrogenase, testis-specific	4.95728e+06
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	1.94678e+07
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	6.05941e+06
O14578	CTRO_HUMAN	CIT	Citron Rho-interacting kinase	822863
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	6.05817e+06
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	1.31794e+07
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	5.1964e+06
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	1.8905e+06
O14646	CHD1_HUMAN	CHD1	Chromodomain-helicase-DNA-binding protein 1	4.21646e+06
O14647	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2	3.70446e+06
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	781728
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	3.50648e+06
O14662	STX16_HUMAN	STX16	Syntaxin-16	1.27541e+06
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	5.1054e+06
O14684	PTGES_HUMAN	PTGES	Prostaglandin E synthase	1.47899e+07
O14727	APAF_HUMAN	APAF1	Apoptotic protease-activating factor 1	330710
O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	3.16195e+07
O14733	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	1.24834e+06
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	4.98433e+06
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	1.95401e+07
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	2.04768e+07
O14745	NHRF1_HUMAN	SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	1.99673e+07
O14757	CHK1_HUMAN	CHEK1	Serine/threonine-protein kinase Chk1	1.01619e+06
O14763	TR10B_HUMAN	TNFRSF10B	Tumor necrosis factor receptor superfamily member 10B	1.65545e+06
O14772	FPGT_HUMAN	FPGT	Fucose-1-phosphate guanylyltransferase	288841
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	1.16023e+07
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	2.87296e+07
O14777	NDC80_HUMAN	NDC80	Kinetochore protein NDC80 homolog	1.28746e+06
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	2.49757e+06
O14802	RPC1_HUMAN	POLR3A	DNA-directed RNA polymerase III subunit RPC1	5.47335e+06
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	6.73497e+07
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	2.34744e+07
O14880	MGST3_HUMAN	MGST3	Microsomal glutathione S-transferase 3	2.69495e+07
O14893	GEMI2_HUMAN	GEMIN2	Gem-associated protein 2	6.3676e+06
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	2.1686e+06
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	5.84412e+06
O14920	IKKB_HUMAN	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	3.1254e+06
O14925;Q5SRD1	TI23B_HUMAN;TIM23_HUMAN	TIMM23;TIMM23B	Mitochondrial import inner membrane translocase subunit Tim23	2.83489e+06
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	1.87785e+07
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	5.14517e+06
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	2.4022e+07
O14950;P19105	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	2.38601e+07
O14957	QCR10_HUMAN	UQCR11	Cytochrome b-c1 complex subunit 10	664914
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	4.57172e+06
O14965	AURKA_HUMAN	AURKA	Aurora kinase A	4.69376e+06
O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	669830
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	9.91688e+06
O14975	S27A2_HUMAN	SLC27A2	Very long-chain acyl-CoA synthetase	2.03088e+07
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	785297
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	1.2055e+08
O14980	XPO1_HUMAN	XPO1	Exportin-1	2.28565e+07
O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	2.27805e+06
O15020	SPTN2_HUMAN	SPTBN2	Spectrin beta chain, non-erythrocytic 2	1.70698e+06
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	9.98123e+06
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	4.91423e+06
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	1.55006e+07
O15047	SET1A_HUMAN	SETD1A	Histone-lysine N-methyltransferase SETD1A	1.18688e+06
O15061	SYNEM_HUMAN	SYNM	Synemin	2.80463e+06
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	2.82936e+07
O15084	ANR28_HUMAN	ANKRD28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	1.4662e+06
O15091	MRPP3_HUMAN	PRORP	Mitochondrial ribonuclease P catalytic subunit	1.15981e+06
O15111	IKKA_HUMAN	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha	553456
