Protein.Group	Protein.Names	Genes	First.Protein.Description	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R01\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R01.mzML
H2L045	TENSH_CAEEL	tns-1	Tensin homolog	3.38175e+06
H2L056	UBXN3_CAEEL	ubxn-3	UBX domain-containing protein 3	2.00134e+06
K8ESC5	ATG41_CAEEL	atg-4.1	Cysteine protease atg-4.1	514963
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	6.05876e+06
L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	1.11691e+06
L0R8F8	MIDUO_HUMAN	MIEF1	MIEF1 upstream open reading frame protein	1.86241e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	5.50184e+06
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	1.52579e+07
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	6.05598e+06
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	6.86405e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	1.32938e+07
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	8.94793e+06
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	1.34002e+07
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	5.59872e+06
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	2.64258e+06
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	2.81138e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	1.28521e+07
O00180	KCNK1_HUMAN	KCNK1	Potassium channel subfamily K member 1	1.85458e+06
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	1.28115e+07
O00193	SMAP_HUMAN	SMAP	Small acidic protein	8.29017e+07
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	1.24296e+06
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	5.65428e+06
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	4.01437e+07
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	1.96623e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	1.75624e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	1.08849e+07
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	1.16353e+07
O00255	MEN1_HUMAN	MEN1	Menin	1.25635e+06
O00257	CBX4_HUMAN	CBX4	E3 SUMO-protein ligase CBX4	1.71015e+07
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	3.70311e+07
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	1.28572e+07
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	1.434e+06
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	9.11694e+06
O00287	RFXAP_HUMAN	RFXAP	Regulatory factor X-associated protein	565975
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	445729
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	1.76506e+08
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	3.09938e+07
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	9.39915e+06
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	3.14306e+06
O00400	ACATN_HUMAN	SLC33A1	Acetyl-coenzyme A transporter 1	2.97534e+06
O00401	WASL_HUMAN	WASL	Neural Wiskott-Aldrich syndrome protein	1.95676e+06
O00410	IPO5_HUMAN	IPO5	Importin-5	3.44052e+07
O00418	EF2K_HUMAN	EEF2K	Eukaryotic elongation factor 2 kinase	3.20844e+06
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	9.60747e+07
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	4.44267e+07
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	1.65606e+07
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	4.76405e+06
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	1.51637e+06
O00458	IFRD1_HUMAN	IFRD1	Interferon-related developmental regulator 1	1.694e+06
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	2.48424e+06
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	7.65234e+06
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	1.36974e+06
O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	1.0192e+07
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	4.95586e+07
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	1.71961e+07
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	1.16688e+06
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	5.11806e+06
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	3.39618e+06
O00541	PESC_HUMAN	PES1	Pescadillo homolog	1.59329e+07
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	2.43618e+06
O00562	PITM1_HUMAN	PITPNM1	Membrane-associated phosphatidylinositol transfer protein 1	1.83363e+06
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	4.0877e+07
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	6.25222e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	8.38383e+07
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	2.13194e+06
O00592	PODXL_HUMAN	PODXL	Podocalyxin	3.20861e+07
O00625	PIR_HUMAN	PIR	Pirin	3.01909e+07
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	1.21042e+07
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	2.5065e+06
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	5.94403e+06
O00750	P3C2B_HUMAN	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	243506
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	2.3889e+06
O00762	UBE2C_HUMAN	UBE2C	Ubiquitin-conjugating enzyme E2 C	6.62748e+06
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	1.70444e+07
O00767	ACOD_HUMAN	SCD	Acyl-CoA desaturase	2.07717e+07
O01479	TMOD_CAEEL	unc-94	Tropomodulin	1.09381e+06
O01498	STAM1_CAEEL	stam-1	Signal transducing adapter molecule 1	929834
O01504	RLA2_CAEEL	C37A2.7	60S acidic ribosomal protein P2	3.05361e+08
O01530	ASP6_CAEEL	asp-6	Aspartic protease 6	4.84049e+07
O01541	SYAC_CAEEL	aars-2	Alanine--tRNA ligase, cytoplasmic	1.48716e+07
O01578	MPC2_CAEEL	mpc-2	Probable mitochondrial pyruvate carrier 2	3.46619e+06
O01592	CYSK3_CAEEL	cysl-3	Cysteine synthase 3	6.08771e+06
O01615	AN322_CAEEL	T19H12.2	Acidic leucine-rich nuclear phosphoprotein 32-related protein 2	8.78103e+06
O01634	INX12_CAEEL	inx-12	Innexin-12	2.04265e+06
O01683;P41848	SSP1A_CAEEL;SSP1B_CAEEL	hmg-3;hmg-4	FACT complex subunit ssrp1-B	1.06756e+06
O01692	RS17_CAEEL	rps-17	40S ribosomal protein S17	9.67453e+07
O01757	NAT10_CAEEL	nath-10	RNA cytidine acetyltransferase	1.06985e+06
O01761	UNC89_CAEEL	unc-89	Muscle M-line assembly protein unc-89	2.13997e+07
O01763	NCBP1_CAEEL	ncbp-1	Nuclear cap-binding protein subunit 1	897993
O01789	SMC1_CAEEL	him-1	Structural maintenance of chromosomes protein 1	1.7556e+06
O01802	RL7_CAEEL	rpl-7	60S ribosomal protein L7	1.3484e+08
O01803	RB11A_CAEEL	rab-11.1	Ras-related protein rab-11.1	5.16411e+07
O01805	ACBP1_CAEEL	acbp-1	Acyl-CoA-binding protein homolog 1	1.15759e+08
O01812	FABP6_CAEEL	lbp-6	Fatty acid-binding protein homolog 6	1.33504e+08
O01814	FABP5_CAEEL	lbp-5	Fatty acid-binding protein homolog 5	1.36915e+07
O01824	PDXK_CAEEL	pdxk-1	Putative pyridoxal kinase	3.24314e+06
O01829;Q21289	SSP10_CAEEL;SSP19_CAEEL	ssp-10;ssp-19	Sperm-specific class P protein 19	1.94616e+06
O01868	RL24_CAEEL	rpl-24.1	60S ribosomal protein L24	6.217e+07
O01884	COQ6_CAEEL	coq-6	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial	1.59925e+06
O01925	MBOA5_CAEEL	mboa-6	Lysophospholipid acyltransferase 5	693152
O01971	EMR1_CAEEL	emr-1	Emerin homolog 1	1.99716e+06
O01974	EIF3H_CAEEL	eif-3.H	Eukaryotic translation initiation factor 3 subunit H	8.16932e+06
O02056	RL4_CAEEL	rpl-4	60S ribosomal protein L4	2.02385e+08
O02108	CDC37_CAEEL	cdc-37	Probable Hsp90 co-chaperone cdc37	6.62558e+06
O02115	PCNA_CAEEL	pcn-1	Proliferating cell nuclear antigen	8.0652e+06
O02161	TIM44_CAEEL	tin-44	Probable mitochondrial import inner membrane translocase subunit tin-44	4.64552e+06
O02323	FABP7_CAEEL	lbp-7	Fatty acid-binding protein homolog 7	8.84548e+06
O02328	EIF3C_CAEEL	eif-3.C	Eukaryotic translation initiation factor 3 subunit C	2.64399e+07
O02365	IFA2_CAEEL	mua-6	Intermediate filament protein ifa-2	2.54318e+07
O02485	YDJ1_CAEEL	ZK1073.1	Uncharacterized protein ZK1073.1	5.489e+06
O02495	SYB1_CAEEL	snb-1	Synaptobrevin-1	6.95777e+06
O02621	GPX1_CAEEL	gpx-1	Glutathione peroxidase 1	925279
O02639	RL19_CAEEL	rpl-19	60S ribosomal protein L19	8.60628e+07
O02640	MDHM_CAEEL	mdh-2	Probable malate dehydrogenase, mitochondrial	1.79327e+08
O02658;P91420	GLC7C_CAEEL;GLC7D_CAEEL	gsp-3;gsp-4	Serine/threonine-protein phosphatase PP1-gamma	404527
O13297	CET1_YEAST	CET1	mRNA-capping enzyme subunit beta	1.21618e+06
O13516	RS9A_YEAST	RPS9A	40S ribosomal protein S9-A	7.53951e+07
O13525	COQ4_YEAST	COQ4	Ubiquinone biosynthesis protein COQ4, mitochondrial	1.12371e+06
O13547	CCW14_YEAST	CCW14	Covalently-linked cell wall protein 14	6.40718e+06
O13563	RPN13_YEAST	RPN13	26S proteasome regulatory subunit RPN13	6.93007e+06
O14455	RL36B_YEAST	RPL36B	60S ribosomal protein L36-B	1.67799e+08
O14467	MBF1_YEAST	MBF1	Multiprotein-bridging factor 1	8.00254e+07
O14493	CLD4_HUMAN	CLDN4	Claudin-4	5.4131e+06
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	3.03926e+06
O14519;O75956	CDKA1_HUMAN;CDKA2_HUMAN	CDK2AP1;CDK2AP2	Cyclin-dependent kinase 2-associated protein 1	7.78561e+06
O14521	DHSD_HUMAN	SDHD	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial	4.16535e+06
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	3.2445e+06
O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	7.87782e+06
O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	7.27264e+06
O14556	G3PT_HUMAN	GAPDHS	Glyceraldehyde-3-phosphate dehydrogenase, testis-specific	9.92931e+06
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	2.30602e+07
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	7.04829e+06
O14578	CTRO_HUMAN	CIT	Citron Rho-interacting kinase	4.55146e+06
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	6.81784e+06
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	1.50488e+07
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	6.87708e+06
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	1.00735e+07
O14641;Q92997	DVL2_HUMAN;DVL3_HUMAN	DVL2;DVL3	Segment polarity protein dishevelled homolog DVL-2	830959
O14646	CHD1_HUMAN	CHD1	Chromodomain-helicase-DNA-binding protein 1	3.20995e+06
O14647	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2	5.78145e+06
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	691665
O14662	STX16_HUMAN	STX16	Syntaxin-16	1.32877e+06
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	6.4061e+06
O14684	PTGES_HUMAN	PTGES	Prostaglandin E synthase	1.49052e+07
O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	3.40597e+07
O14734	ACOT8_HUMAN	ACOT8	Acyl-coenzyme A thioesterase 8	472752
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	6.65362e+06
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	2.81704e+07
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	2.14235e+07
O14745	NHRF1_HUMAN	SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	2.33649e+07
O14757	CHK1_HUMAN	CHEK1	Serine/threonine-protein kinase Chk1	1.75168e+06
O14763	TR10B_HUMAN	TNFRSF10B	Tumor necrosis factor receptor superfamily member 10B	1.81545e+06
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	1.37479e+07
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	2.94733e+07
O14777	NDC80_HUMAN	NDC80	Kinetochore protein NDC80 homolog	1.07638e+06
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	3.75791e+06
O14802	RPC1_HUMAN	POLR3A	DNA-directed RNA polymerase III subunit RPC1	4.32219e+06
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	6.25674e+07
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	2.06929e+07
O14880	MGST3_HUMAN	MGST3	Microsomal glutathione S-transferase 3	5.81773e+07
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	1.6688e+06
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	1.56187e+07
O14925;Q5SRD1	TI23B_HUMAN;TIM23_HUMAN	TIMM23;TIMM23B	Mitochondrial import inner membrane translocase subunit Tim23	3.2202e+06
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	2.00876e+07
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	5.9037e+06
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	2.42381e+07
O14950;P19105	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	2.64422e+07
O14957	QCR10_HUMAN	UQCR11	Cytochrome b-c1 complex subunit 10	763498
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	7.91956e+06
O14965	AURKA_HUMAN	AURKA	Aurora kinase A	7.80686e+06
O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	690814
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	1.21334e+07
O14975	S27A2_HUMAN	SLC27A2	Very long-chain acyl-CoA synthetase	1.31436e+07
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	898706
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	5.27461e+07
O14980	XPO1_HUMAN	XPO1	Exportin-1	2.50584e+07
O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	1.99545e+06
O15013	ARHGA_HUMAN	ARHGEF10	Rho guanine nucleotide exchange factor 10	487167
O15020	SPTN2_HUMAN	SPTBN2	Spectrin beta chain, non-erythrocytic 2	4.30548e+06
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	1.01347e+07
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	1.58672e+07
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	1.62204e+07
O15047	SET1A_HUMAN	SETD1A	Histone-lysine N-methyltransferase SETD1A	2.04997e+06
O15061	SYNEM_HUMAN	SYNM	Synemin	2.49938e+06
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	3.12672e+07
O15084	ANR28_HUMAN	ANKRD28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	3.57813e+06
O15091	MRPP3_HUMAN	PRORP	Mitochondrial ribonuclease P catalytic subunit	1.08938e+06
O15111	IKKA_HUMAN	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha	848014
O15118	NPC1_HUMAN	NPC1	NPC intracellular cholesterol transporter 1	2.81561e+06
O15119	TBX3_HUMAN	TBX3	T-box transcription factor TBX3	1.42442e+06
O15121	DEGS1_HUMAN	DEGS1	Sphingolipid delta(4)-desaturase DES1	3.91826e+06
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	3.59534e+06
O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	1.09042e+06
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	1.69859e+07
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	1.37101e+07
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	1.18799e+07
O15156	ZBT7B_HUMAN	ZBTB7B	Zinc finger and BTB domain-containing protein 7B	93443.1
O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	1.8002e+07
O15162	PLS1_HUMAN	PLSCR1	Phospholipid scramblase 1	1.84731e+06
O15164	TIF1A_HUMAN	TRIM24	Transcription intermediary factor 1-alpha	2.12512e+06
O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	2.58594e+07
O15182	CETN3_HUMAN	CETN3	Centrin-3	597884
O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	2.18971e+07
O15213	WDR46_HUMAN	WDR46	WD repeat-containing protein 46	4.82534e+06
O15226	NKRF_HUMAN	NKRF	NF-kappa-B-repressing factor	2.82891e+07
