Protein.Group	Protein.Names	Genes	First.Protein.Description	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R02\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R02.mzML
A5JYX8	NCLN_CAEEL	nra-2	Nicalin	2.72339e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	3.34037e+07
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1.26147e+07
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	4.78227e+06
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	1.41826e+07
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	7.0697e+06
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	2.44144e+06
A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316	429038
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	5.98103e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	7.05824e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	787769
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	2.54628e+07
A6NNZ2	TBB8B_HUMAN	TUBB8B	Tubulin beta 8B	2.82053e+06
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	834973
A8MPP1;Q92771;Q96FC9	D11L8_HUMAN;DDX11_HUMAN;DDX12_HUMAN	DDX11;DDX11L8;DDX12P	Putative ATP-dependent RNA helicase DDX11-like protein 8	251642
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	1.44566e+08
A8MXV4	NUD19_HUMAN	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	591061
A8WHP8	PLIN1_CAEEL	plin-1	Perilipin-1 homolog	7.51307e+06
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	7.32124e+06
B1AJZ9	FHAD1_HUMAN	FHAD1	Forkhead-associated domain-containing protein 1	2.03105e+07
B1V8A0	SH3GH_CAEEL	unc-57	Endophilin-A homolog	4.52357e+06
B2D6K9	PPH6R_CAEEL	saps-1	Serine/threonine-protein phosphatase 6 regulatory subunit	1.11521e+06
B2FDA8	SMC3_CAEEL	smc-3	Structural maintenance of chromosomes protein 3	3.18871e+06
C0HKD6	SYWM_CAEEL	wars-2	Tryptophan--tRNA ligase, mitochondrial	1.15316e+06
C0HLB3;C0HLB4	VATL2_CAEEL;VATL3_CAEEL	vha-2;vha-3	V-type proton ATPase 16 kDa proteolipid subunit 2	1.03878e+07
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	3.12485e+06
C6KRN1	SAO1_CAEEL	sao-1	Suppressor of aph-1	4.61839e+06
D0PV95	DDX3_CAEEL	laf-1	ATP-dependent RNA helicase laf-1	4.8065e+07
D0VWM8	TADBP_CAEEL	tdp-1	Tar DNA-binding protein homolog 1	202723
D5MCN2	LARP1_CAEEL	larp-1	La-related protein 1	9.77815e+06
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	9.14652e+07
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	1.19658e+07
G4RT11	CDC26_CAEEL	cdc-26	Anaphase-promoting complex subunit CDC26	587425
G4SLH0	TTN1_CAEEL	ttn-1	Titin homolog	7.31091e+06
G5EBV6	PGL3_CAEEL	pgl-3	Guanyl-specific ribonuclease pgl-3	1.42072e+06
G5EBZ4	LE418_CAEEL	let-418	Protein let-418	1.52948e+06
G5EC86	MOE1_CAEEL	oma-1	CCCH-type zinc finger protein oma-1	803113
G5ECG0	TACC1_CAEEL	tac-1	Transforming acid coiled-coil-containing protein 1	1.36357e+06
G5ECM9	CPI2_CAEEL	cpi-2	Cystatin cpi-2	2.08941e+07
G5ECN9	NEC2_CAEEL	egl-3	Neuroendocrine convertase 2	2.11752e+06
G5ECU1	SKR1_CAEEL	skr-1	Skp1-related protein	1.28429e+07
G5ECY0	DLG1_CAEEL	dlg-1	Disks large homolog 1	1.5016e+07
G5ED29	ATX2_CAEEL	atx-2	Ataxin-2 homolog	5.23576e+06
G5ED41	CAND1_CAEEL	cand-1	Cullin-associated NEDD8-dissociated protein 1	7.7895e+06
G5EDM4	NHRF1_CAEEL	nrfl-1	Na(+)/H(+) exchange regulatory cofactor-like protein nrfl-1	1.97859e+07
G5EDN6	CANB_CAEEL	cnb-1	Protein phosphatase 2B regulatory subunit cnb-1	2.61109e+06
G5EDP2	NLTP2_CAEEL	daf-22	Non-specific lipid-transfer protein-like 2	1.50733e+07
G5EDR3	2AB1_CAEEL	sur-6	Serine/threonine-protein phosphatase 2A regulatory subunit sur-6	4.57305e+06
G5EDZ2	UMPS_CAEEL	umps-1	Uridine 5'-monophosphate synthase	4.8748e+06
G5EDZ9	CPI1_CAEEL	cpi-1	Cystatin cpi-1	1.63232e+07
G5EE72	MRP5_CAEEL	mrp-5	Multidrug resistance-associated protein 5	528999
G5EEG7	SMU1_CAEEL	smu-1	Smu-1 suppressor of mec-8 and unc-52 protein	871242
G5EEH9	NUP98_CAEEL	npp-10	Nuclear pore complex protein Nup98-Nup96	2.50083e+06
G5EEI4	ASP1_CAEEL	asp-1	Aspartic protease 1	7.1001e+07
G5EEM5	ZYG9_CAEEL	zyg-9	Zygote defective protein 9	3.03392e+06
G5EEM6	TAB1_CAEEL	tap-1	TGF-beta-activated kinase 1 and MAP3K7-binding protein 1	622287
G5EER4	FCL_CAEEL	ger-1	GDP-L-fucose synthase	1.24946e+06
G5EES6	UFD3_CAEEL	ufd-3	Ubiquitin fusion degradation protein 3 homolog	4.0398e+06
G5EF60	STIM1_CAEEL	stim-1	Stromal interaction molecule 1	1.23936e+06
G5EFF1	ASD2_CAEEL	asd-2	RNA-binding protein asd-2	1.13528e+06
G5EFF7	UBQL_CAEEL	ubql-1	Ubiquilin	1.325e+07
G5EFS4	DCPS_CAEEL	dcs-1	m7GpppX diphosphatase	3.55787e+06
G5EFT4	AMP1_CAEEL	ltah-1.1	Aminopeptidase ltah-1.1	2.67481e+06
G5EFZ1	GPMI_CAEEL	ipgm-1	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	2.02754e+07
G5EGA5	FAT2_CAEEL	fat-2	Delta(12) fatty acid desaturase fat-2	3.91823e+06
G5EGA6	DHRS4_CAEEL	dhrs-4	Dehydrogenase/reductase SDR family member 4	6.59004e+06
G5EGH7	LON8_CAEEL	lon-8	Protein lon-8	1.53048e+07
G5EGI7	ZIG1_CAEEL	zig-1	Zwei Ig domain protein zig-1	1.41683e+06
G5EGK8	PP2A_CAEEL	let-92	Serine/threonine-protein phosphatase 2A catalytic subunit	3.38328e+07
G5EGN2	FAT6_CAEEL	fat-6	Delta(9)-fatty-acid desaturase fat-6	2.71287e+06
G5EGP8	CATZ1_CAEEL	cpz-1	Cathepsin Z-1	2.38411e+07
H1UBK1	MAP2_CAEEL	map-2	Methionine aminopeptidase 2	1.11151e+07
H2KYE0	NRA4_CAEEL	nra-4	Nicotinic receptor-associated protein 4	1.95531e+07
H2KYQ5	GYG1_CAEEL	gyg-1	Glycogenin-1	1.20391e+07
H2KYS8	CPNA1_CAEEL	cpna-1	Copine family protein 1	1.51175e+06
H2L045	TENSH_CAEEL	tns-1	Tensin homolog	164903
H2L056	UBXN3_CAEEL	ubxn-3	UBX domain-containing protein 3	2.128e+06
K8ESC5	ATG41_CAEEL	atg-4.1	Cysteine protease atg-4.1	1.0135e+06
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	4.62947e+06
L0R8F8	MIDUO_HUMAN	MIEF1	MIEF1 upstream open reading frame protein	1.41639e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	3.43243e+06
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	2.05522e+07
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	4.13457e+06
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	5.85331e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	8.67377e+06
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	1.00661e+07
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	8.84532e+06
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	6.44212e+06
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	1.44456e+06
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	2.06589e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	3.81695e+06
O00180	KCNK1_HUMAN	KCNK1	Potassium channel subfamily K member 1	886301
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	7.94533e+06
O00193	SMAP_HUMAN	SMAP	Small acidic protein	6.867e+07
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	1.28913e+06
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	6.90217e+06
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	1.30035e+07
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	2.02237e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	1.49329e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	7.21818e+06
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	8.88048e+06
O00255	MEN1_HUMAN	MEN1	Menin	1.48715e+06
O00257	CBX4_HUMAN	CBX4	E3 SUMO-protein ligase CBX4	1.14412e+07
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	3.2859e+07
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	1.20833e+07
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	498108
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	1.15048e+07
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	4.01702e+06
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	1.23553e+08
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	2.04156e+07
O00308	WWP2_HUMAN	WWP2	NEDD4-like E3 ubiquitin-protein ligase WWP2	8.21299e+06
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	7.65639e+06
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	2.91128e+06
O00400	ACATN_HUMAN	SLC33A1	Acetyl-coenzyme A transporter 1	1.47867e+06
O00401	WASL_HUMAN	WASL	Neural Wiskott-Aldrich syndrome protein	3.08947e+06
O00410	IPO5_HUMAN	IPO5	Importin-5	2.47848e+07
O00418	EF2K_HUMAN	EEF2K	Eukaryotic elongation factor 2 kinase	2.31647e+06
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	9.78312e+07
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	3.53821e+07
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	1.43064e+07
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	4.2824e+06
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	6.68963e+06
O00458	IFRD1_HUMAN	IFRD1	Interferon-related developmental regulator 1	1.69045e+06
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	453465
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	2.26581e+06
O00468	AGRIN_HUMAN	AGRN	Agrin	540416
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	5.3468e+06
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	1.22891e+06
O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	7.975e+06
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	4.01178e+07
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	1.147e+07
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	5.1892e+06
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	3.1867e+06
O00541	PESC_HUMAN	PES1	Pescadillo homolog	1.62456e+07
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	2.13479e+06
O00562	PITM1_HUMAN	PITPNM1	Membrane-associated phosphatidylinositol transfer protein 1	1.06512e+06
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	1.76056e+07
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	6.17864e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	6.77187e+07
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	1.10863e+06
O00592	PODXL_HUMAN	PODXL	Podocalyxin	2.91818e+07
O00625	PIR_HUMAN	PIR	Pirin	1.28283e+07
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	9.27633e+06
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	5.19464e+06
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	4.39734e+06
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	2.64968e+06
O00757;P09201;P09467	F16P1_HUMAN;F16P2_HUMAN;F16P_YEAST	FBP1;FBP2	Fructose-1,6-bisphosphatase isozyme 2	6.40574e+06
O00762	UBE2C_HUMAN	UBE2C	Ubiquitin-conjugating enzyme E2 C	5.30891e+06
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	1.35691e+07
O00767	ACOD_HUMAN	SCD	Acyl-CoA desaturase	1.28648e+07
O01159	RSP7_CAEEL	rsp-7	Probable splicing factor, arginine/serine-rich 7	1.3308e+06
O01422	CSN2_CAEEL	csn-2	COP9 signalosome complex subunit 2	841740
O01479	TMOD_CAEEL	unc-94	Tropomodulin	3.12014e+06
O01498	STAM1_CAEEL	stam-1	Signal transducing adapter molecule 1	1.46856e+06
O01504	RLA2_CAEEL	C37A2.7	60S acidic ribosomal protein P2	3.01116e+08
O01513	YS4L_CAEEL	C48B6.2	Putative 40S ribosomal protein S4-like	1.82979e+06
O01530	ASP6_CAEEL	asp-6	Aspartic protease 6	5.41757e+07
O01541	SYAC_CAEEL	aars-2	Alanine--tRNA ligase, cytoplasmic	1.07567e+07
O01578	MPC2_CAEEL	mpc-2	Probable mitochondrial pyruvate carrier 2	3.51369e+06
O01592	CYSK3_CAEEL	cysl-3	Cysteine synthase 3	7.34701e+06
O01615	AN322_CAEEL	T19H12.2	Acidic leucine-rich nuclear phosphoprotein 32-related protein 2	1.40527e+07
O01634	INX12_CAEEL	inx-12	Innexin-12	8.5929e+06
O01658	NO66_CAEEL	jmjc-1	Bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66	642854
O01683;P41848	SSP1A_CAEEL;SSP1B_CAEEL	hmg-3;hmg-4	FACT complex subunit ssrp1-B	1.697e+06
O01692	RS17_CAEEL	rps-17	40S ribosomal protein S17	1.42395e+08
O01757	NAT10_CAEEL	nath-10	RNA cytidine acetyltransferase	1.2338e+06
O01761	UNC89_CAEEL	unc-89	Muscle M-line assembly protein unc-89	1.56703e+07
O01763	NCBP1_CAEEL	ncbp-1	Nuclear cap-binding protein subunit 1	1.29191e+06
O01789	SMC1_CAEEL	him-1	Structural maintenance of chromosomes protein 1	2.56434e+06
O01802	RL7_CAEEL	rpl-7	60S ribosomal protein L7	1.36178e+08
O01803	RB11A_CAEEL	rab-11.1	Ras-related protein rab-11.1	1.08572e+07
O01805	ACBP1_CAEEL	acbp-1	Acyl-CoA-binding protein homolog 1	9.91312e+07
O01812	FABP6_CAEEL	lbp-6	Fatty acid-binding protein homolog 6	1.3484e+08
O01814	FABP5_CAEEL	lbp-5	Fatty acid-binding protein homolog 5	1.64989e+07
O01824	PDXK_CAEEL	pdxk-1	Putative pyridoxal kinase	1.59061e+06
O01829;Q21289	SSP10_CAEEL;SSP19_CAEEL	ssp-10;ssp-19	Sperm-specific class P protein 19	3.14706e+06
O01868	RL24_CAEEL	rpl-24.1	60S ribosomal protein L24	6.70416e+07
O01884	COQ6_CAEEL	coq-6	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial	1.00803e+06
O01925	MBOA5_CAEEL	mboa-6	Lysophospholipid acyltransferase 5	2.34338e+06
O01971	EMR1_CAEEL	emr-1	Emerin homolog 1	3.17206e+06
O01974	EIF3H_CAEEL	eif-3.H	Eukaryotic translation initiation factor 3 subunit H	9.37446e+06
O02056	RL4_CAEEL	rpl-4	60S ribosomal protein L4	2.11999e+08
O02108	CDC37_CAEEL	cdc-37	Probable Hsp90 co-chaperone cdc37	9.03004e+06
O02115	PCNA_CAEEL	pcn-1	Proliferating cell nuclear antigen	1.15813e+07
O02161	TIM44_CAEEL	tin-44	Probable mitochondrial import inner membrane translocase subunit tin-44	3.7777e+06
O02323	FABP7_CAEEL	lbp-7	Fatty acid-binding protein homolog 7	8.04387e+06
O02328	EIF3C_CAEEL	eif-3.C	Eukaryotic translation initiation factor 3 subunit C	1.42344e+07
O02365	IFA2_CAEEL	mua-6	Intermediate filament protein ifa-2	2.56324e+07
O02485	YDJ1_CAEEL	ZK1073.1	Uncharacterized protein ZK1073.1	6.58625e+06
O02495	SYB1_CAEEL	snb-1	Synaptobrevin-1	6.56499e+06
O02621	GPX1_CAEEL	gpx-1	Glutathione peroxidase 1	1.28948e+06
O02639	RL19_CAEEL	rpl-19	60S ribosomal protein L19	9.18661e+07
O02640	MDHM_CAEEL	mdh-2	Probable malate dehydrogenase, mitochondrial	1.97347e+08
O02658;P91420	GLC7C_CAEEL;GLC7D_CAEEL	gsp-3;gsp-4	Serine/threonine-protein phosphatase PP1-gamma	365692
O13516	RS9A_YEAST	RPS9A	40S ribosomal protein S9-A	4.11315e+07
O13547	CCW14_YEAST	CCW14	Covalently-linked cell wall protein 14	2.14302e+06
O13563	RPN13_YEAST	RPN13	26S proteasome regulatory subunit RPN13	1.7961e+06
O14455	RL36B_YEAST	RPL36B	60S ribosomal protein L36-B	6.94029e+07
O14467	MBF1_YEAST	MBF1	Multiprotein-bridging factor 1	3.18675e+07
O14493	CLD4_HUMAN	CLDN4	Claudin-4	3.63599e+06
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	1.04191e+06
O14519	CDKA1_HUMAN	CDK2AP1	Cyclin-dependent kinase 2-associated protein 1	6.66207e+06
O14521	DHSD_HUMAN	SDHD	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial	4.43041e+06
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	2.89967e+06
O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	5.52962e+06
O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	5.24707e+06
O14556	G3PT_HUMAN	GAPDHS	Glyceraldehyde-3-phosphate dehydrogenase, testis-specific	5.52682e+06
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	1.85314e+07
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	5.62386e+06
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	7.61941e+07
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	1.65721e+07
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	4.97734e+06
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	604199
O14641;Q92997	DVL2_HUMAN;DVL3_HUMAN	DVL2;DVL3	Segment polarity protein dishevelled homolog DVL-2	529648
O14646	CHD1_HUMAN	CHD1	Chromodomain-helicase-DNA-binding protein 1	2.48322e+06
O14647	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2	3.0698e+06
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	871824
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	3.98328e+06
O14662	STX16_HUMAN	STX16	Syntaxin-16	2.4179e+06
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	5.35943e+06
O14684	PTGES_HUMAN	PTGES	Prostaglandin E synthase	1.18685e+07
O14686	KMT2D_HUMAN	KMT2D	Histone-lysine N-methyltransferase 2D	215039
O14727	APAF_HUMAN	APAF1	Apoptotic protease-activating factor 1	340701
O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	3.14409e+07
O14733	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	1.76046e+06
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	4.83276e+06
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	2.73239e+07
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	1.74749e+07
O14745	NHRF1_HUMAN	SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	1.99859e+07
O14757	CHK1_HUMAN	CHEK1	Serine/threonine-protein kinase Chk1	1.1925e+06
O14763	TR10B_HUMAN	TNFRSF10B	Tumor necrosis factor receptor superfamily member 10B	1.53648e+06
O14772	FPGT_HUMAN	FPGT	Fucose-1-phosphate guanylyltransferase	363637
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	1.09809e+07
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	2.54622e+07
O14777	NDC80_HUMAN	NDC80	Kinetochore protein NDC80 homolog	2.24587e+06
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	1.05064e+06
O14802	RPC1_HUMAN	POLR3A	DNA-directed RNA polymerase III subunit RPC1	3.45587e+06
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	6.05965e+07
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	2.09682e+07
O14880	MGST3_HUMAN	MGST3	Microsomal glutathione S-transferase 3	3.67563e+07
O14893	GEMI2_HUMAN	GEMIN2	Gem-associated protein 2	318976
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	2.1301e+06
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	2.9389e+06
O14920	IKKB_HUMAN	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	231557
O14925;Q5SRD1	TI23B_HUMAN;TIM23_HUMAN	TIMM23;TIMM23B	Mitochondrial import inner membrane translocase subunit Tim23	4.36698e+06
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	1.49448e+07
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	5.53269e+06
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	2.47258e+07
O14950;P19105	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	2.36398e+07
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	4.22292e+06
O14965	AURKA_HUMAN	AURKA	Aurora kinase A	6.19428e+06
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	9.34012e+06
O14975	S27A2_HUMAN	SLC27A2	Very long-chain acyl-CoA synthetase	1.43491e+07
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	826088
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	4.38195e+07
O14980	XPO1_HUMAN	XPO1	Exportin-1	2.26578e+07
O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	2.04971e+06
O15013	ARHGA_HUMAN	ARHGEF10	Rho guanine nucleotide exchange factor 10	408753
